,Concept_ID,he,uk
472,Geschäft::N,עסקה,заняття
473,Laden::N,חנות,магазин
474,Laden::N,חנות,крамниця
475,Preis::N,מחיר,ціна
476,Ware::N,סחורה,товар
477,Nutzen::N,תועלת,вигода
478,Nutzen::N,תועלת,користь
479,Reichtum::N,עשר,багатство
480,Welt::N,עולם,світ
481,Land::N,ארץ,країна
482,Staat::N,מדינה,держава
483,König::N,מלך,король
484,Macht::N,כוח,влада
485,Grenze::N,גבול,кордон
486,Krieg::N,מלחמה,війна
487,Feind::N,אויב,ворог
488,Gewalt::N,אלימות,насильство
489,Kampf::N,קרב,бій
490,Kampf::N,קרב,боротьба
491,Kampf::N,לחימה,бій
492,Kampf::N,לחימה,боротьба
493,Bogen[Waffe]::N,קשת,лук
494,Pfeil::N,חץ,стріла
495,Gewehr::N,רובה,рушниця
496,Gewehr::N,רובה,гвинтівка
497,Fehler::N,טעות,помилка
498,Lüge::N,שקר,брехня
499,Schaden::N,נזק,шкода
500,Schaden::N,נזק,збиток
501,Unglück::N,מזל רע,нещастя
502,Schuld::N,אשמה,провина
503,Alter::N,גיל,вік
504,Alter::N,גיל,літа
505,Schluss::N,סיום,кінець
506,Zeit::N,זמן,час
507,Tag::N,יום,день
508,Morgen::N,בקר,ранок
509,Mittag::N,צהרים,південь
510,Abend::N,ערב,вечір
511,Nacht::N,לילה,ніч
512,Woche::N,שבוע,тиждень
513,Monat::N,חדש,місяць
514,Jahr::N,שנה,рік
515,Frühling::N,אביב,весна
516,Sommer::N,קיץ,літо
517,Herbst::N,סתו,осінь
518,Winter::N,חרף,зима
519,Januar::N,ינואר,січень
520,Februar::N,פברואר,лютий
521,März::N,מרץ,березень
522,April::N,אפריל,квітень
523,Mai::N,מאי,травень
524,Juni::N,יוני,червень
525,Juli::N,יולי,липень
526,August::N,אוגוסט,серпень
527,September::N,ספטמבר,вересень
528,Oktober::N,אוקטובר,жовтень
529,November::N,נובמבר,листопад
530,Dezember::N,דצמבר,грудень
531,Montag::N,יום שני,понеділок
532,Dienstag::N,יום שלישי,вівторок
533,Mittwoch::N,יום רביעי,середа
534,Donnerstag::N,יום חמישי,четвер
535,Freitag::N,יום ששי,п’ятниця
536,Samstag::N,יום שבת,субота
537,Sonntag::N,יום ראשון,неділя
538,groß::A,גדול,великий
539,klein::A,קטן,малий
540,klein::A,קטן,маленький
541,lang::A,ארך,довгий
542,kurz::A,קצר,короткий
543,breit::A,רחב,широкий
544,schmal::A,צר,вузький
545,dicht::A,צפוף,густий
546,dick[Gegenstand]::A,עבה,товстий
547,dünn::A,דק,тонкий
548,fein::A,מעדן,дрібний
549,fest::A,מוצק,міцний
550,flach::A,שטוח,плоский
551,glatt::A,חלק,рівний
552,glatt::A,חלק,гладенький
553,hart::A,קשיח,твердий
554,weich::A,רך,м’який
555,rund::A,עגל,круглий
556,spitz::A,חד,гострокінцевий
557,scharf::A,חד,гострий
558,stumpf::A,קהה,тупий
559,schwer::A,כבד,важкий
560,schön::A,יפה,вродливий
561,heiß::A,חם,жаркий
562,heiß::A,חם,гарячий
563,warm::A,חם,теплий
564,kalt::A,קר,холодний
565,kühl::A,צונן,прохолодний
566,frisch::A,טרי,свіжий
567,feucht::A,לח,вогкий
568,nass::A,רטוב,мокрий
569,trocken::A,יבש,сухий
570,voll::A,מלא,повний
571,leer::A,ריק,пустий
572,offen::A,פתוח,відкритий
573,geschlossen::A,סגור,закритий
574,geschlossen::A,סגור,зачинений
575,sauber::A,נקי,чистий
576,sauber::A,נקי,охайний
577,schmutzig::A,מלכלך,брудний
578,roh::A,חי,сирий
579,reif::A,בשל,зрілий
580,lecker::A,טעים,смачний
581,süß::A,מתוק,солодкий
582,bitter::A,מר,гіркий
583,sauer::A,חמוץ,кислий
584,hell::A,בהיר,світлий
585,dunkel::A,עמום,темний
586,schwarz::A,שחר,чорний
587,weiß::A,לבן,сивий
588,rot::A,אדם,червоний
589,gelb::A,צהב,жовтий
590,blau::A,כחל,синій
591,grün::A,ירק,зелений
592,grau::A,אפר,сірий
593,bunt::A,צבעוני,барвистий
594,billig::A,זול,дешевий
595,teuer::A,יקר,дорогий
596,wertvoll::A,יקר ערך,цінний
597,blind::A,עור,сліпий
598,taub::A,חרש,глухий
599,kräftig::A,חסן,могутній
600,stark::A,חזק,сильний
601,schwach::A,חלש,слабкий
602,fett::A,שמן,жирний
603,fett::A,שמן,товстий
604,schlank::A,רזה,тонкий
605,schlank::A,רזה,стрункий
606,hübsch::A,יפה תאר,чарівний
607,böse::A,רשע,злий
608,böse::A,רשע,лихий
609,dumm::A,טפש,дурний
610,faul::A,עצלן,ледачий
611,fleißig::A,חרוץ,старанний
612,geizig::A,קמצן,скупий
613,klug::A,נבון,мудрий
614,klug::A,נבון,розумний
615,klug::A,פקח,мудрий
616,klug::A,פקח,розумний
617,geschickt::A,מימן,умілий
618,lieb::A,יקר,милий
619,lieb::A,אהוב,милий
620,lustig::A,עליז,веселий
621,sanft::A,עדין,лагідний
622,hungrig::A,רעב,голодний
623,krank::A,חולה,слабий
624,nackt::A,ערום,голий
625,traurig::A,עצוב,сумний
626,lebendig::A,חי,живий
627,gut::A,טוב,добрий
628,schlecht::A,גרוע,поганий
629,schlecht::A,גרוע,кепський
630,richtig::A,נכון,правильний
631,schlimm::A,רע,бридкий
632,wahr::A,אמתי,справжній
633,alt::A,ישן,старий
634,neu::A,חדש,новий
635,ehemalig::A,לשעבר,колишній
636,alt[Lebewesen]::A,זקן,старий
637,jung::A,צעיר,молодий
638,arm::A,עני,бідний
639,reich::A,עשיר,багатий
640,bekannt::A,ידוע,знайомий
641,berühmt::A,מפרסם,славетний
642,fremd::A,זר,чужий
643,verschieden::A,שונה,різний
644,nah::A,קרוב,близький
645,fern::A,רחוק,далекий
646,linker::A,שמאלי,лівий
647,rechter::A,ימין,правий
648,anderer::A,אחר,інакший
649,erster::A,ראשון,перший
650,zweiter::A,שני,другий
651,dritter::A,שלישי,третій
652,letzter::A,אחרון,останній
653,allein::ADV,לבד,сам
654,allein::ADV,לבד,один
655,auf einmal::ADV,בו-זמנית,відразу
656,zusammen::ADV,ביחד,разом
657,zusammen::ADV,ביחד,спільно
658,lange::ADV,הרבה זמן,довго
659,plötzlich::ADV,לפתע,раптом
660,plötzlich::ADV,פתאום,раптом
661,sofort::ADV,מיד,зараз
662,später::ADV,לאחר זמן,пізніше
663,später::ADV,יותר מאחר,пізніше
664,jetzt::ADV,עכשיו,тепер
665,heute::ADV,היום,сьогодні
666,morgen::ADV,מחר,завтра
667,bald::ADV,בקרוב,незабаром
668,dann::ADV,אחר-כך,потім
