,Concept_ID,ml,lbe
248,Gedächtnis::N,ഓർമ്മശക്തി,дакӏний личӏаву
249,Verstand::N,മനസ്സ്,аькьлу
250,Sinn::N,അർത്ഥം,мяъна
251,Grund::N,കാരണം,багьана
252,Wahrheit::N,സത്യം,тӏайламур
253,Wahrheit::N,സത്യം,хӏакьмур
254,Gespräch::N,സല്ലാപം,ихтилат
255,Märchen::N,യക്ഷിക്കഥ,магьа
256,Erzählung::N,കഥ,хавар
257,Nachricht::N,സന്ദേശം,хавар
258,Neuigkeit::N,വാർത്ത,хавар
259,Name::N,പേര്,цӏа
260,Rätsel::N,പ്രഹേളിക,ссигьа
261,Rede::N,സംസാരം,гъалгъа
262,Sprache::N,ഭാഷ,маз
263,Stimme::N,സ്വരം,чӏу
264,Stimme::N,സ്വരം,чӏукӏа
265,Wort::N,വാക്ക്,махъ
266,Zeichen::N,സംജ്ഞ,лишан
267,Ruf::N,വിളി,
268,Lärm::N,ആരവം,чӏу
269,Laut::N,ശബ്ദം,чӏу
270,Ton::N,സ്വരഭേദം,чӏу
271,Lied::N,പാട്ട്,балай
272,Ruhe::N,നിശ്ചലത,дигьалагру
273,Leute::N,ജനങ്ങൾ,инсантал
274,Volk::N,രാഷ്ടം,ил
275,Volk::N,രാഷ്ടം,халкь
276,Arbeit::N,ജോലി,заву
277,Gast::N,അതിലി,хъамаличу
278,Geschenk::N,സമ്മാനം,бухчакарши
279,Geschenk::N,സമ്മാനം,лажинккакку
280,Spiel::N,കളി,тӏуркӏу
281,Gesellschaft::N,കൂട്ടായ്മ,жямат
282,Gesellschaft::N,കൂട്ടായ്മ,ккуран
283,Hilfe::N,സഹായം,кумаг
284,Freund::N,സുഹൃത്ത്,дус
285,Kamerad::N,കൂട്ടാളി,хӏаласу
286,Angelegenheit::N,കാര്യം,иш
287,Anzahl::N,എണ്ണം,аьдад
288,Art::N,തരം,жинс
289,Stück::N,കഷണം,касак
290,Teil::N,ഭാഗം,бутӏа
291,Hälfte::N,പകുതി,дачӏи
292,Kreis::N,വൃത്തം,кюрщан
293,Kreuz::N,കുരിശടയാളം,ххач
294,Linie::N,വര,щва
295,Linie::N,രേഖ,щва
296,Strich::N,പക്ഷാഘാതം,щва
297,Abstand::N,വിടവ്,манзил
298,Entfernung::N,അകലം,манзил
299,Gegend::N,പ്രദേശം,кӏану
300,Platz::N,ഇടം,
301,Ort::N,സ്ഥലം,кӏану
302,Seite::N,വശം,чул
303,Seite::N,വശം,чулухалу
304,Mitte::N,മധ്യസ്ഥാനം,дя
305,Gegenstand::N,സാധനം,зат
306,Sache::N,വസ്തു,зат
307,Rand::N,തൊങ്ങൽ,зума
308,Kante::N,അറ്റം,
309,Ecke::N,മൂല,мурцӏу
310,Spitze::N,അഗ്രം,мицӏ
311,Ende::N,അവസാനം,зума
312,Loch::N,ദ്വാരം,ккутӏ
