,Concept_ID,tt,mrj
340,Höhe::N,биеклек,кӱкшӹц
341,Gewicht::N,авырлык,нелӹц
342,Menge::N,микъдар,шот
343,Haufen::N,өем,ара
344,Reihe::N,рәт,ряд
345,Boot::N,каек,пыш
346,Boot::N,көймә,пыш
347,Ruder::N,ишкәк,вешлӓ
348,Schlitten::N,чана,тир
349,Ski::N,чаңгы,ечӹ
350,Lagerfeuer::N,костёр,тыл
351,Last::N,йөк,нелӹц
352,Gang::N,йөреш,ход
353,Schritt::N,адым,ашкыл
354,Norden::N,төньяк,йыдпелвел
355,Süden::N,көньяк,кечӹвӓлвел
356,Westen::N,көнбатыш,кечӹ шӹцмӹ
357,Osten::N,шәрык,ирвел
358,Osten::N,шәрык,кечӹ лӱлтмӹ
359,Osten::N,көнчыгыш,ирвел
360,Osten::N,көнчыгыш,кечӹ лӱлтмӹ
361,Holz::N,агач,пушӓнгӹ
362,Brett::N,такта,ханга
363,Platte::N,плитә,плитӓ
364,Stütze::N,таяу,цӓрӓк
365,Stange::N,колга,равы
366,Stange::N,колга,намаш
367,Stock::N,таяк,панды
368,Stab::N,таяк,равы
369,Rohr::N,торба,пыч
370,Haus::N,өй,пöрт
371,Haus::N,йорт,пöрт
372,Heim::N,гаилә,пöрт
373,Heim::N,нәсел,пöрт
374,Ofen::N,мич,камака
375,Fußboden::N,идән,седӹрӓ
376,Tisch::N,өстәл,стöл
377,Stuhl::N,утыргыч,пöкен
378,Wiege::N,бишек,шипкӓ
379,Bett::N,ятак,койка
380,Bett::N,ятак,кравать
381,Bett::N,урын-җир,койка
382,Bett::N,урын-җир,кравать
383,Regal::N,киштә,полицӓ
384,Regal::N,шүрлек,полицӓ
385,Kiste::N,әрҗә,шӱ́ндӹк
386,Fenster::N,тәрәзә,окня
387,Tür::N,ишек,амаса
388,Tor::N,капка,хапка
389,Zaun::N,койма,забор
390,Dach::N,түбә,левӓш
391,Leiter::N,баскыч,ташкалтыш
392,Besen::N,себерке,сало
393,Besen::N,себерке,салко
394,Spaten::N,көрәк,кольмы
395,Schaufel::N,көрәк,лоток
396,Gabel::N,чәннечке,ви́лка
