,Concept_ID,hu,pt
612,Macht::N,hatalom,poder
613,Macht::N,hatalom,potência
614,Grenze::N,határ,fronteira
615,Krieg::N,háború,guerra
616,Feind::N,ellenség,inimigo
617,Gewalt::N,erőszak,violência
618,Kampf::N,harc,luta
619,Kampf::N,harc,combate
620,Bogen[Waffe]::N,íj,arco
621,Pfeil::N,nyíl,seta
622,Pfeil::N,nyíl,flecha
623,Gewehr::N,puska,espingarda
624,Gewehr::N,fegyver,espingarda
625,Fehler::N,hiba,erro
626,Fehler::N,hiba,falha
627,Lüge::N,hazugság,mentira
628,Schaden::N,kár,dano
629,Schaden::N,kár,estrago
630,Unglück::N,csapás,desgraça
631,Unglück::N,balszerencse,desgraça
632,Schuld::N,bűn,culpa
633,Alter::N,kor,idade
634,Schluss::N,vég,fim
635,Schluss::N,befejezés,fim
636,Zeit::N,idő,tempo
637,Tag::N,nap,dia
638,Morgen::N,reggel,manhã
639,Mittag::N,dél,meio-dia
640,Abend::N,este,noite
641,Abend::N,este,tardinha
642,Nacht::N,éj,noite
643,Nacht::N,éjszaka,noite
644,Woche::N,hét,semana
645,Monat::N,hó,mês
646,Monat::N,hónap,mês
647,Jahr::N,év,ano
648,Frühling::N,tavasz,primavera
649,Sommer::N,nyár,verão
650,Herbst::N,ősz,outono
651,Winter::N,tél,inverno
652,Januar::N,január,Janeiro
653,Februar::N,február,Fevereiro
654,März::N,március,Março
655,April::N,április,Abril
656,Mai::N,május,Maio
657,Juni::N,június,Junho
658,Juli::N,július,Julho
659,August::N,augusztus,Agosto
660,September::N,szeptember,Setembro
661,Oktober::N,október,Outubro
662,November::N,november,Novembro
663,Dezember::N,december,Dezembro
664,Montag::N,hétfő,segunda-feira
665,Dienstag::N,kedd,terça-feira
666,Mittwoch::N,szerda,quarta-feira
667,Donnerstag::N,csütörtök,quinta-feira
668,Freitag::N,péntek,sexta-feira
669,Samstag::N,szombat,sábado
670,Sonntag::N,vasárnap,domingo
671,groß::A,nagy,grande
672,klein::A,pici,pequeno
673,klein::A,kicsi,pequeno
674,lang::A,hosszú,comprido
675,kurz::A,rövid,curto
676,breit::A,széles,largo
677,schmal::A,keskeny,estreito
678,dicht::A,sűrű,denso
679,dick[Gegenstand]::A,vastag,grosso
680,dünn::A,vékony,delgado
681,fein::A,vékony,fino
682,fein::A,vékony,subtil
683,fest::A,szilárd,firme
