,Concept_ID,ca,tr
472,Figur::N,figura,şekil
473,Figur::N,figura,heykel
474,Puppe::N,nina,kukla
475,Beutel::N,bossa,kese
476,Beutel::N,bossa,torba
477,Bündel::N,feix,deste
478,Bündel::N,paquet,deste
479,Tasche::N,bossa,çanta
480,Eimer::N,galleda,kova
481,Deckel::N,tapa,kapak
482,Deckel::N,tapadora,kapak
483,Geschirr::N,vaixella,kap kacak
484,Sack::N,sac,torba
485,Sack::N,saca,torba
486,Tasse::N,tassa,fincan
487,Topf::N,pot,tencere
488,Topf::N,olla,tencere
489,Kessel::N,caldera,kazan
490,Essen::N,àpat,yemek
491,Essen::N,menjada,yemek
492,Nahrung::N,aliment,gıda
493,Nahrung::N,aliment,besin
494,Speise::N,plat,yemek
495,Fleisch::N,carn,et
496,Getreide::N,cereals,tahıl
497,Getreide::N,cereals,hububat
498,Brei::N,puré,ezme
499,Brot::N,pa,ekmek
500,Scheibe::N,tall,dilim
501,Scheibe::N,llesca,dilim
502,Fett::N,greix,yağ
503,Butter::N,mantega,tereyağı
504,Öl::N,oli,yağ
505,Öl::N,oli,akar yağ
506,Salz::N,sal,tuz
507,Suppe::N,sopa,çorba
508,Honig::N,mel,bal
509,Milch::N,llet,süt
510,Tee::N,te,çay
511,Leder::N,cuir,deri
512,Leder::N,cuir,meşin
513,Wolle::N,llana,yün
514,Stoff::N,tela,kumaş
515,Nadel::N,agulla,iğne
516,Faden::N,fil,tire
517,Faden::N,fil,iplik
518,Knopf::N,botó,düğme
519,Knoten::N,nus,düğüm
520,Farbe::N,pintura,boya
521,Kleidung::N,roba,giyim
522,Kleidung::N,vestits,giyim
523,Hemd::N,camisa,gömlek
524,Kragen::N,coll,yaka
525,Ärmel::N,màniga,yen
526,Ärmel::N,màniga,elbise kolu
527,Hose::N,pantalōns,pantolon
528,Gürtel::N,cinturó,kuşak
529,Mütze::N,gorra,bere
530,Mütze::N,gorra,kasket
531,Schuh::N,sabata,kundura
532,Schuh::N,sabata,ayakkabı
533,Stiefel::N,bota,çizme
534,Ring::N,anell,yüzük
535,Band::N,veta,bağ
536,Band::N,veta,şerit
537,Band::N,cinta,bağ
538,Band::N,cinta,şerit
539,Kamm::N,pinta,tarak
540,Spiegel::N,mirāll,ayna
541,Riemen::N,corretja,kayış
542,Schnur::N,corda,ip
543,Schnur::N,corda,sicim
544,Leine::N,corretja,kayış
545,Decke::N,manta,örtü
