,Concept_ID,sq,no
588,Februar::N,shkurt,februar
589,März::N,mars,mars
590,April::N,prill,april
591,Mai::N,maj,mai
592,Juni::N,qershor,juni
593,Juli::N,korrik,juli
594,August::N,gusht,august
595,September::N,shtator,september
596,Oktober::N,tetor,oktober
597,November::N,nëntor,november
598,Dezember::N,dhjetor,desember
599,Montag::N,hënë,mandag
600,Dienstag::N,martë,tirsdag
601,Mittwoch::N,mërkurë,onsdag
602,Donnerstag::N,enjte,torsdag
603,Freitag::N,premte,fredag
604,Samstag::N,shtunë,lørdag
605,Sonntag::N,diel,søndag
606,groß::A,madh,stor
607,klein::A,vogël,liten
608,lang::A,gjatë,lang
609,kurz::A,shkurtër,kort
610,breit::A,gjerë,bred
611,schmal::A,ngushtë,smal
612,dicht::A,dendur,tett
613,dick[Gegenstand]::A,trashë,tykk
614,dünn::A,hollë,tynn
615,fein::A,imët,fin
616,fest::A,fortë,fast
617,flach::A,sheshtë,flat
618,glatt::A,rrafshët,glatt
619,hart::A,fortë,hard
620,weich::A,butë,myk
621,weich::A,butë,bløt
622,rund::A,rrumbullakët,rund
623,spitz::A,majëmprehtë,spiss
624,scharf::A,mprehtë,kvass
625,stumpf::A,topitur,stubb
626,schwer::A,rëndë,tung
627,schön::A,bukur,pen
628,schön::A,bukur,vakker
629,heiß::A,nxehtë,het
630,warm::A,ngrohtë,varm
631,kalt::A,ftohtë,kald
632,kühl::A,freskët,kjølig
633,frisch::A,pastër,fersk
634,feucht::A,lagësht,fuktig
635,nass::A,lagur,våt
636,trocken::A,thatë,tørr
637,voll::A,plotë,full
638,leer::A,bosh,tom
639,leer::A,zbrazët,tom
640,offen::A,hapur,åpen
641,geschlossen::A,mbyllur,lukket
642,sauber::A,dëlirë,ren
643,schmutzig::A,ndyrë,skitten
644,roh::A,gjallë,rå
645,reif::A,arrirë,moden
646,lecker::A,shijshëm,lekker
647,süß::A,ëmbël,søt
648,bitter::A,hidhur,besk
649,bitter::A,hidhur,bitter
650,sauer::A,thartë,sur
651,hell::A,me dritë,lys
652,dunkel::A,errët,mørk
653,schwarz::A,i zi,svart
654,weiß::A,bardhë,hvit
655,rot::A,kuq,rød
656,gelb::A,verdhë,gul
657,blau::A,blu,blå
658,blau::A,kaltër,blå
659,grün::A,blertë,grønn
660,grün::A,gjelbër,grønn
661,grau::A,hirtë,grå
662,grau::A,bojë hiri,grå
663,bunt::A,shumëngjyrëshëm,broket
664,billig::A,lirë,billig
665,teuer::A,shtrenjtë,dyr
666,wertvoll::A,çmuar,verdifull
667,wertvoll::A,vlershëm,verdifull
668,blind::A,qorr,blind
669,blind::A,verbër,blind
670,taub::A,shurdhër,døv
671,kräftig::A,fuqishëm,kraftig
672,stark::A,fortë,sterk
673,schwach::A,dobët,svak
674,fett::A,dhjamur,fet
675,schlank::A,hollë,slank
676,hübsch::A,bukur,pen
677,hübsch::A,hijshëm,pen
678,böse::A,keq,slem
679,dumm::A,teveqel,dum
680,faul::A,dembel,lat
681,faul::A,dembel,doven
682,fleißig::A,zellshëm,flittig
683,geizig::A,kurnac,gjerrig
684,geizig::A,dorështrënguar,gjerrig
685,klug::A,mençur,klok
686,geschickt::A,aftë,hendig
687,geschickt::A,aftë,skikket
688,lieb::A,dashur,kjær
689,lieb::A,dashur,snill
690,lustig::A,gëzuar,morsom
691,sanft::A,butë,blid
692,hungrig::A,uritur,sulten
693,krank::A,sëmurë,syk
694,nackt::A,lakuriq,naken
695,nackt::A,zhveshur,naken
696,traurig::A,trishtuar,sørgmodig
697,lebendig::A,gjallë,levende
698,gut::A,mirë,god
699,schlecht::A,keq,dårlig
700,richtig::A,drejtë,riktig
701,schlimm::A,keq,slem
702,wahr::A,vërtetë,sann
703,alt::A,vjetër,gammel
704,neu::A,i ri,ny
705,ehemalig::A,dikurshëm,forhenværende
706,alt[Lebewesen]::A,plak,gammel
707,jung::A,i ri,ung
708,arm::A,varfër,fattig
709,arm::A,vobektë,fattig
710,reich::A,pasur,rik
711,bekannt::A,njohur,kjent
712,berühmt::A,famshëm,berømt
713,fremd::A,huaj,fremmed
714,verschieden::A,ndryshëm,forskjellig
715,nah::A,afërt,nær
716,fern::A,largët,fjern
717,linker::A,majtë,venstre
718,rechter::A,djathtë,høyre
719,anderer::A,tjetër,annen
720,erster::A,parë,første
721,zweiter::A,dytë,annen
722,dritter::A,i tretë,tredje
723,letzter::A,fundit,sist
724,allein::ADV,vetëm,alene
725,auf einmal::ADV,njëkohësisht,med ett
726,zusammen::ADV,bashkë,sammen
727,zusammen::ADV,së bashku,sammen
728,lange::ADV,për një kohë të gjatë,lenge
729,plötzlich::ADV,befas,plutselig
730,sofort::ADV,menjëherë,straks
731,sofort::ADV,aty për aty,straks
732,später::ADV,më vonë,senere
733,jetzt::ADV,tash,nå
734,heute::ADV,sot,i dag
735,morgen::ADV,nesër,i morgen
736,bald::ADV,shpejt,snart
737,bald::ADV,së shpejti,snart
738,dann::ADV,pastaj,så
739,gestern::ADV,dje,i går
740,einst::ADV,dikur,engang
741,damals::ADV,atëherë,den gang
742,danach::ADV,mandej,deretter
743,vorher::ADV,më parë,før
744,vorher::ADV,më parë,i forveien
745,zuerst::ADV,së pari,først
746,einmal::ADV,njëherë,en gang
747,manchmal::ADV,nganjëherë,somme tider
748,oft::ADV,shpesh,ofte
749,immer::ADV,përherë,alltid
750,immer::ADV,gjithnjë,alltid
751,niemals::ADV,kurrë,aldri
752,niemals::ADV,asnjëherë,aldri
753,hier::ADV,këtu,her
754,hierhin::ADV,knej,hit
755,von hier::ADV,që këtej,herfra
756,von hier::ADV,prej këtej,herfra
757,dort::ADV,aty,der
758,dort::ADV,atje,der
759,dorthin::ADV,anej,dit
760,geradeaus::ADV,drejt,rett fram
761,vorwärts::ADV,mbroth,fram
762,vorwärts::ADV,mbroth,framover
763,vorwärts::ADV,përpara,fram
764,vorwärts::ADV,përpara,framover
765,rückwärts::ADV,mbrapsht,baklengs
766,zurück::ADV,prapa,tilbake
767,zurück::ADV,mbrapsht,tilbake
768,unten::ADV,poshtë,nede
769,hinab::ADV,përposh,ned
770,hinab::ADV,përposh,nedover
771,oben::ADV,lart,oppe
772,oben::ADV,lart,ovenpå
773,oben::ADV,sipër,oppe
774,oben::ADV,sipër,ovenpå
775,hinauf::ADV,lart,opp
776,hinauf::ADV,lart,oppover
777,hinauf::ADV,përpjetë,opp
778,hinauf::ADV,përpjetë,oppover
779,überall::ADV,kudo,overalt
780,nicht::ADV,s',ikke
781,nicht::ADV,nuk,ikke
782,ein wenig::ADV,një tis,litt
783,kaum::ADV,mezi,neppe
784,sehr::ADV,fort,svært
785,sehr::ADV,shumë,svært
786,so::ADV,ashtu,så
787,so::ADV,kështu,så
788,noch::ADV,ende,enda
789,noch::ADV,akoma,enda
790,nur::ADV,vetëm,bare
791,schon::ADV,tashmë,alt
792,schon::ADV,tashmë,allerede
793,wieder::ADV,përsëri,igjen
794,vergebens::ADV,kot,forgjeves
795,vor::PRP,para,foran
796,vor::PRP,para,utenfor
797,hinter::PRP,prapa,bak
798,hinter::PRP,prapa,bakom
799,hinter::PRP,mbrapa,bak
800,hinter::PRP,mbrapa,bakom
801,unter::PRP,nën,under
802,durch::PRP,nëpër,gjennom
803,durch::PRP,nëpër,igjennom
804,neben::PRP,pranë,ved siden av
805,neben::PRP,përbri,ved siden av
806,zwischen::PRP,midis,mellom
807,zwischen::PRP,ndërmjet,mellom
808,wegen::PRP,për,på grunn av
809,dies::PRN,ky,dette
810,das::PRN,ky,det
811,alles::PRN,gjithçka,alt
812,ich::PRN,unë,jeg
813,du::PRN,ti,du
814,er::PRN,ai,han
815,wir::PRN,ne,vi
816,ihr::PRN,ju,dere
817,sie::PRN,ata,de
818,was::FPRN,ç',hva
819,was::FPRN,çfarë,hva
820,wer::FPRN,kush,hvem
821,wo::FADV,ku,hvor
822,wohin::FADV,për ku,hvor ... hen
823,wie::FADV,si,hvordan
824,warum::FADV,pse,hvorfor
825,warum::FADV,përse,hvorfor
826,wieviel::FNUM,sa,hvor mye
827,eins::NUM,një,en
828,eins::NUM,një,ett
829,zwei::NUM,dy,to
830,drei::NUM,tre,tre
831,vier::NUM,katër,fire
832,fünf::NUM,pesë,fem
833,sechs::NUM,gjashtë,seks
834,sieben::NUM,shtatë,sju
835,acht::NUM,tetë,åtte
836,neun::NUM,nëntë,ni
837,zehn::NUM,dhjetë,ti
838,elf::NUM,njëmbëdhjetë,elleve
839,zwölf::NUM,dymbëdhjetë,tolv
840,zwanzig::NUM,njëzet,tjue
841,dreißig::NUM,tridhjetë,tretti
842,vierzig::NUM,dyzet,førti
843,fünfzig::NUM,pesëdhjetë,femti
844,sechzig::NUM,gjashtëdhjetë,seksti
845,siebzig::NUM,shtatëdhjetë,sytti
846,achtzig::NUM,tetëdhjetë,åtti
847,neunzig::NUM,nëntëdhjetë,nitti
848,hundert::NUM,qind,hundre
849,tausend::NUM,mijë,tusen
850,und::CNJ,e,og
851,und::CNJ,dhe,og
852,oder::CNJ,a,eller
853,oder::CNJ,apo,eller
854,stehen::V,rri,stå
855,sitzen::V,rri,sitte
856,liegen::V,rri shtrirë,ligge
857,hängen::V,varem,henge
858,werden::V,bëhem,bli
859,passieren::V,ndodh,skje
860,passieren::V,ndodh,hende
861,beginnen::V,filloj,begynne
862,enden::V,përfundoj,ende
863,enden::V,përfundoj,slutte
864,wechseln::V,ndërroj,veksle
865,aufgehen[Sonne]::V,hapem,stå opp
866,untergehen[Sonne]::V,hyj,gå ned
867,untergehen[Sonne]::V,perëndoj,gå ned
868,scheinen[Sonne]::V,ndriçoj,skinne
869,donnern::V,gjëmoj,tordne
870,donnern::V,bubulloj,tordne
871,wehen::V,fryj,blåse
872,strömen::V,derdh,strømme
873,fließen::V,rrjedh,flyte
874,sich drehen::V,rrotullohem,dreie seg
875,schwanken::V,dyzoj,svaie
876,schwingen::V,dridhem,svinge
877,fallen::V,bie,falle
878,brennen::V,digjem,brenne
879,rauchen::V,nxjerr tym,ryke
880,regnen::V,bie shi,regne
