,Concept_ID,hy,ka
411,Löffel::N,գդալ,კოვზი
412,Messer::N,դանակ,დანა
413,Nagel::N,մեխ,ლურსმანი
414,Netz::N,ցանց,ბადე
415,Haken::N,կարթ,კავი
416,Haken::N,կարթ,კაუჭი
417,Griff::N,կոթ,ტარი
418,Griff::N,բռնակ,ტარი
419,Schloss::N,կողպեք,კლიტე
420,Schloss::N,կողպեք,საკეტი
421,Bild::N,նկար,სურათი
422,Bild::N,պատկեր,სურათი
423,Figur::N,քանդակ,ფიგურა
424,Figur::N,պատկեր,ფიგურა
425,Puppe::N,տիկնիկ,თოჯინა
426,Beutel::N,տոպրակ,პარკი
427,Bündel::N,կապոց,გალა
428,Bündel::N,կապոց,ასხმა
429,Tasche::N,պայուսակ,ჩანთა
430,Eimer::N,դույլ,ჩამჩა
431,Deckel::N,կափարիչ,ხუფი
432,Deckel::N,կափարիչ,სარქველი
433,Geschirr::N,ամանեղեն,ჭურჭელი
434,Sack::N,պարկ,ტომარა
435,Sack::N,տոպրակ,ტომარა
436,Tasse::N,թաս,ფინჯანი
437,Tasse::N,գավաթ,ფინჯანი
438,Topf::N,անոթ,ქოთანი
439,Kessel::N,կաթսա,ქვაბი
440,Essen::N,կերակուր,ჭამა
441,Nahrung::N,ուտելիք,საზრდო
442,Nahrung::N,ուտելիք,საკვები
443,Speise::N,խորտիկ,საჭმელი
444,Speise::N,կերակուր,საჭმელი
445,Fleisch::N,միս,ხორცი
446,Getreide::N,հացահատիկ,მარცვლოვანი
447,Brei::N,լանդակ,ფაფა
448,Brot::N,հաց,პური
449,Scheibe::N,կտոր,ნაჭერი
450,Scheibe::N,պատառ,ნაჭერი
451,Fett::N,ճարպ,ქონი
452,Fett::N,ճարպ,ცხიმი
453,Butter::N,կարագ,კარაქი
454,Öl::N,ձեթ,ზეთი
455,Salz::N,աղ,მარილი
456,Suppe::N,սուպ,სუფი
457,Suppe::N,ապուր,სუფი
458,Honig::N,մեղր,თაფლი
459,Milch::N,կաթ,რძე
460,Tee::N,թեյ,ჩაი
461,Leder::N,կաշի,ტყავი
462,Wolle::N,բուրդ,მატყლი
463,Stoff::N,գործվածք,ქსოვილი
464,Nadel::N,ասեղ,ნემსი
465,Faden::N,թել,ძაფი
466,Faden::N,թել,მკედი
467,Knopf::N,կոճակ,ღილი
468,Knoten::N,հանգույց,ნასკვი
469,Farbe::N,ներկ,საღებავი
470,Kleidung::N,հագուստ,ტანსაცმელი
471,Hemd::N,վերնաշապիկ,ხალათი
472,Hemd::N,վերնաշապիկ,პერანგი
473,Kragen::N,օձիք,საყელო
474,Ärmel::N,թեւք,სახელო
475,Hose::N,շալվար,შარვალი
476,Gürtel::N,գոտի,ქამარი
477,Mütze::N,կեպի,ქუდი
478,Schuh::N,կոշիկ,ფეხსაცმელი
479,Stiefel::N,երկարաճիթ կոշիկ,ჩექმა
480,Ring::N,զնգալ,ბეჭედი
481,Band::N,ժապավեն,ბაფთი
482,Kamm::N,սանր,სავარცხელი
483,Spiegel::N,հայելի,სარკე
484,Riemen::N,փոկ,ღვედი
485,Schnur::N,լար,ლარი
486,Leine::N,փոկ,ჯაჭვი
487,Decke::N,վերմակ,საბანი
488,Kissen::N,բարձ,ბალიში
489,Tuch::N,թաշկինակ,მაუდი
490,Tuch::N,թաշկինակ,თავშალი
491,Handtuch::N,սրբիչ,ხელსახოცი
492,Kraft::N,ուժ,ძალა
493,Stärke::N,պնդություն,ღონე
494,Stärke::N,ամրություն,ღონე
495,Gesundheit::N,առողջություն,ჯანმრთელობა
496,Krankheit::N,ախտ,სენი
497,Krankheit::N,ախտ,ავადმყოფობა
498,Krankheit::N,հիվանդություն,სენი
499,Krankheit::N,հիվանդություն,ავადმყოფობა
500,Schmerz::N,ցավ,ტკივილი
501,Schmerz::N,տանջանք,ტკივილი
502,Wunde::N,վերք,იარი
503,Wunde::N,վերք,ჭრილობა
504,Fieber::N,տենդ,ციება
505,Arznei::N,դեղ,წამალი
506,Brücke::N,կամուրջ,ხიდი
507,Brunnen::N,հոր,ჭა
508,Brunnen::N,ջրհոր,ჭა
509,Weide::N,արոտավայր,საძოვარი
510,Pfad::N,արահետ,ბილიკი
511,Weg::N,ուղի,გზა
512,Straße::N,ճանապարհ,შარაგზა
513,Dorf::N,գյուղ,დაბა
514,Dorf::N,գյուղ,სოფელი
515,Stadt::N,քաղաք,ქალაქი
516,Brief::N,նամակ,წერილი
517,Buch::N,գիրք,წიგნი
518,Buchstabe::N,տառ,ასო
519,Buchstabe::N,գիր,ასო
520,Zeitung::N,լրագիր,გაზეთი
521,Leben::N,կյանք,სიცოცხლე
522,Tod::N,մահ,სიკვდილი
523,Grab::N,գերեզման,სამარე
524,Grab::N,գերեզման,საფლავი
525,Kirche::N,եկեղեցի,ეკლესია
526,Sünde::N,մեղք,ცოდვა
527,Gott::N,աստված,ღმერთი
528,Arbeiter::N,բանվոր,მუშა
529,Arbeiter::N,աշխատող,მუშა
530,Chef::N,տեր,გამგე
531,Meister::N,վարպետ,ოსტატი
532,Arzt::N,բժիշկ,ექიმი
533,Arzt::N,բժիշկ,მკურნალი
534,Lehrer::N,ուսուցիչ,მასწავლებელი
535,Geld::N,փող,ფული
536,Geschäft::N,գործ,საქმე
537,Geschäft::N,գործ,ბიზნესი
538,Geschäft::N,աշխատանք,საქმე
539,Geschäft::N,աշխատանք,ბიზნესი
540,Laden::N,կրպակ,დუქანი
541,Laden::N,կրպակ,მაღაზია
542,Laden::N,խանութ,დუქანი
543,Laden::N,խանութ,მაღაზია
544,Preis::N,գին,ფასი
545,Ware::N,ապրանք,საქონელი
546,Nutzen::N,օգուտ,ხეირი
547,Reichtum::N,հարստություն,სიმდიდრე
548,Welt::N,աշխարհ,მსოფლიო
549,Land::N,երկիր,მხარე
550,Land::N,երկիր,ქვეყანა
551,Staat::N,պետություն,სახელმწიფო
552,König::N,արքա,მეფე
553,König::N,թագավոր,მეფე
554,Macht::N,իշխանություն,ძლიერება
555,Grenze::N,սահման,ზღვარი
556,Krieg::N,պատերազմ,ომი
557,Feind::N,թշնամի,მტერი
558,Gewalt::N,բռնություն,სისასტიკე
559,Gewalt::N,սաստկություն,სისასტიკე
560,Kampf::N,մարտ,ბრძოლა
561,Bogen[Waffe]::N,աղեղ,მშვილდი
562,Pfeil::N,նետ,ისარი
563,Pfeil::N,նետ,მახვილი
564,Gewehr::N,հրացան,თოფი
