,Concept_ID,te,ta
493,dick[Gegenstand]::A,దట్టమైన,தடித்த
494,dünn::A,పలుచని,சன்னமான
495,fein::A,నాజాకైన,மெல்லிய
496,fest::A,దృడమైవ,உறுதியாள
497,flach::A,చదువైన,தட்டையான
498,glatt::A,నున్నని,வழுவழுப்பான
499,hart::A,కఠినమైన,கடினமான
500,weich::A,మృదువైన,மென்மையான
501,rund::A,గుండ్రని,உருண்டையான
502,spitz::A,మొనగల,திகந்தமாக
503,scharf::A,పదనైన,கூரான
504,stumpf::A,వాడిలేని,உளம் திறந்த
505,schwer::A,బరువ్తెన,கனமான
506,schön::A,సుందరమైన,அழகான
507,heiß::A,వేడియైన,சூடான
508,warm::A,వెచ్చని,இதமான
509,kalt::A,చల్లని,குளிர்ச்சியான
510,kühl::A,చల్లని,குளிர்ச்சியான
511,frisch::A,తాజాయైన,சுத்தமான
512,feucht::A,చెమ్మగానున్న,ஈரமான
513,nass::A,తడిగామన్న,ஈரமான
514,trocken::A,ఎండిన,உலர்ந்த
515,voll::A,నిండు,நிரம்பிய
516,leer::A,శూన్యమైన,காலியான
517,offen::A,తెఱచియున్న,திறந்த
518,geschlossen::A,మూసిన,மூடப்பட்ட
519,sauber::A,పరిశుద్ధమైన,சுத்தமான
520,schmutzig::A,ముఱికియైన,அழக்கான
521,roh::A,పచ్చి,கச்சா
522,reif::A,పండివ,பழுத்த
523,lecker::A,రుచి గల,சுவைமிக்க
524,süß::A,తియ్యని,இனிப்பான
525,bitter::A,చేదైన,கசப்பான
526,sauer::A,పుల్లని,புளிப்பாக
527,hell::A,కాంతిగల,பளபளப்பான
528,dunkel::A,చీకటియైన,கருமையான
529,schwarz::A,నల్లని,கருப்பு வண்ண
530,weiß::A,తెలుపు,வெண்மையன
531,rot::A,ఎఱ్ఱని,சிவப்பு
532,gelb::A,పసుపు పచ్చ,மஞ்சள் வண்ணம்
533,blau::A,నీలవర్ణము,நீல வண்ண
534,grün::A,ఆకుపచ్చని,பச்சை வண்ண
535,grau::A,నెరిసిన,சாம்பல் நிற
536,bunt::A,రంగేలీ,வண்ண மயமான
537,billig::A,చౌకయైన,மலிவான
538,teuer::A,వెలపొడుగైన,விலை அதிகமான
539,wertvoll::A,విలుప్తెన,மதிப்புள்ள
540,blind::A,గ్రుడ్డి,பார்வையற்ற
541,taub::A,చెవిటి,செவிடான
542,kräftig::A,శక్తి గల,வலிமையான
543,stark::A,బలమైన,பலமான
544,schwach::A,బలహీనమైన,பலவீனமான
545,fett::A,క్రొవ్విన,பருமனாக
546,schlank::A,సన్నని,ஒல்லியான
547,hübsch::A,సాగప్తెన,அழகிய
548,böse::A,చెడ్డ,கேடு விளைவிக்கும்
549,dumm::A,తెలివిలేని,முட்டாள்தனமான
550,faul::A,సోమరియైన,சோம்பலான
551,fleißig::A,శ్రద్దగల,ஊக்கந்தளராத
552,geizig::A,పిసినారియైన,கஞேசத்தனமான
553,klug::A,తెలివిగల,சாதுரியமான
554,geschickt::A,నిపుణతగల,திறமையள்ள
555,lieb::A,ప్రియమైన,அன்புக்குரிய
556,lustig::A,ఉల్లాసము గల,களிப்புமிக்க
557,sanft::A,సాధువైన,சாதுவான
558,hungrig::A,ఆకలిగొనిన,பசியுடன்
559,krank::A,వ్యాధిగల,நோயுற்று
560,nackt::A,దిగంబరమైన,ஆடையற்ற
561,traurig::A,విచారముగల,சோகமான
562,lebendig::A,ప్రాణముతో నున్న,பிழைப்பு
563,gut::A,మంచి,நல்ல
564,schlecht::A,చెడ్డ,கெட்ட
565,richtig::A,సరియైన,சரியான
566,schlimm::A,అసహ్యమైన,அருவருப்பான
567,wahr::A,నిజమైన,உண்மையான
568,alt::A,ముసలి,பழைய
569,neu::A,క్రొత్త,புதிய
570,ehemalig::A,పూర్వపు,முன்நாள்
571,alt[Lebewesen]::A,ముసలి,வயதான
572,jung::A,పసి,இளமையான
573,arm::A,బీద,ஏழ்மையான
574,reich::A,ధనవంతుడైన,செல்வம் படைத்த
575,bekannt::A,తెలిసిన,பழக்கப்பட்ட
576,berühmt::A,ప్రపిద్దికెక్కివ,புகழ்பெற்ற
577,fremd::A,అన్యమైన,அயல் நாட்டு
578,verschieden::A,భేదమైన,வித்தியாசமான
579,nah::A,దగ్గఱనున్న,பக்கத்தில் உள்ள
580,fern::A,దూరమందున్న,தொலை தூரத்தில்
581,linker::A,ఎడమప్రక్కగ,மீந்திருக்கும்
582,rechter::A,కుడి,வலதுபக்கம்
583,anderer::A,వేఱ్తెన,மற்ற
584,erster::A,మొదటి,முதனமையான
585,zweiter::A,రెండన,இரண்டாவது
586,dritter::A,మూడో,மூன்றாவது
587,letzter::A,కడపటి,கடைசி
588,allein::ADV,ఒంటిగా,தனியாக
589,auf einmal::ADV,హరాత్తుగ,தடீரென்று
590,zusammen::ADV,కలిసి,சேர்ந்து
591,lange::ADV,బహుకాలము,அதிக நோம்
592,plötzlich::ADV,హరాత్తుగ,தடீரென்று
593,sofort::ADV,తక్షణము,உடனடியாக
594,später::ADV,ఇటీవలి,பிறகு
595,jetzt::ADV,ఇప్పుడు,இப்பொழது
596,heute::ADV,నేడు,இன்று
597,morgen::ADV,ఱేపు,நாளைக்கு
598,bald::ADV,శీఘ్రముగ,சீக்கிரம்
