,Concept_ID,la,kv
436,Band::N,redimiculum,ленточка
437,Kamm::N,pecten,сынан
438,Spiegel::N,speculum,зеркало
439,Riemen::N,lorum,ремень
440,Schnur::N,linum,гез
441,Leine::N,retinaculum,повод
442,Decke::N,lodix,одеяло
443,Kissen::N,pulvinus,подушка
444,Tuch::N,velum,чышьян
445,Handtuch::N,mantele,чышкӧт
446,Kraft::N,vis,прак
447,Stärke::N,robur,вын
448,Gesundheit::N,valetudo,здоровье
449,Krankheit::N,morbus,шог
450,Schmerz::N,dolor,зубыт
451,Wunde::N,vulnus,рана
452,Fieber::N,febris,лёк тресся
453,Fieber::N,febris,кынтан шогӧт
454,Arznei::N,remedium,лекарство
455,Brücke::N,pons,пос
456,Brunnen::N,puteus,колодец 
457,Weide::N,pascua,пода йирсян
458,Pfad::N,semita,туй
459,Weg::N,iter,туй
460,Straße::N,via,туй
461,Dorf::N,vicus,деревня
462,Stadt::N,urbs,город
463,Stadt::N,oppidum,город
464,Brief::N,epistula,гижӧт
465,Buch::N,liber,книга
466,Buchstabe::N,littera,буква
467,Zeitung::N,diurnum,газета
468,Leben::N,vita,олан
469,Tod::N,mors,кулӧм
470,Grab::N,sepulcrum,гу
471,Kirche::N,ecclesia,вичку
472,Sünde::N,peccatum,грек
473,Gott::N,deus,ен
474,Arbeiter::N,operarius,уджалiсь
475,Chef::N,praefectus,начальник
476,Meister::N,magister,мастер
477,Arzt::N,medicus,врач
478,Lehrer::N,magister,велӧтісь
479,Geld::N,aes,деньга
480,Geld::N,pecunia,деньга
481,Geschäft::N,negotium,удж
482,Laden::N,taberna,магазин
483,Preis::N,pretium,дон
484,Ware::N,merx,товар
485,Nutzen::N,utilitas,путь
486,Reichtum::N,opes,богатство
487,Reichtum::N,divitiae,богатство
488,Welt::N,mundus,му
489,Land::N,terra,страна
490,Staat::N,res publica,государство
491,König::N,rex,кан
492,Macht::N,potestas,власть
493,Grenze::N,limes,граница
494,Krieg::N,bellum,война
495,Feind::N,inimicus,враг
496,Gewalt::N,vis,
497,Kampf::N,pugna,нярасьӧм
498,Kampf::N,pugna,вермасьӧм
499,Bogen[Waffe]::N,arcus,лук
500,Pfeil::N,sagitta,ньӧв
501,Gewehr::N,sclopetum,ружьё
502,Fehler::N,error,ошибка
503,Lüge::N,mendacium,ылӧтӧм
504,Lüge::N,mendacium,пӧрьялӧм
505,Schaden::N,damnum,лёк
506,Schaden::N,detrimentum,лёк
507,Unglück::N,miseria,пик
508,Unglück::N,miseria,оказзё
509,Unglück::N,calamitas,пик
510,Unglück::N,calamitas,оказзё
511,Schuld::N,culpa,вина
512,Alter::N,aetas,
513,Schluss::N,finis,ком
514,Zeit::N,tempus,кад
515,Tag::N,dies,лун
516,Morgen::N,mane,асыв
517,Mittag::N,meridies,луншӧр кад
518,Abend::N,vesper,рыт
519,Nacht::N,nox,ой
520,Woche::N,septimana,неделя
