,Concept_ID,mdf,cv
381,Ski::N,сокс,йӗлтӗр
382,Lagerfeuer::N,то́лмар,вут
383,Lagerfeuer::N,то́лмар,кӑвайт
384,Last::N,канкс,сулмаклӑх
385,Last::N,канкс,йывӑр япала
386,Last::N,сталма,сулмаклӑх
387,Last::N,сталма,йывӑр япала
388,Gang::N,молема,куҫӑм
389,Schritt::N,аськолкс,утӑм
390,Schritt::N,аськолкс,пусӑм
391,Norden::N,якшама шире,ҫурҫӗр
392,Süden::N,ля́мбе ши́ре,кӑнтӑр
393,Westen::N,ши валгома шире,анӑҫ
394,Westen::N,ши валгома шире,хӗвел анӑҫ
395,Osten::N,шинь стяма шире,хӗвел тухӑҫ
396,Holz::N,вирь,йывӑҫ
397,Holz::N,шуфта,йывӑҫ
398,Brett::N,лавця,хӑма
399,Platte::N,плита́,плита
400,Stütze::N,неже,ура
401,Stange::N,олга,шерте
402,Stock::N,байдек,патак
403,Stab::N,олгоня,шӑчӑ
404,Rohr::N,турама,пӑрӑх
405,Haus::N,куд,ҫурт
406,Heim::N,куд,кил
407,Ofen::N,пянакуд,кӑмака
408,Fußboden::N,кия́кс,урай
409,Tisch::N,шра,сӗтел
410,Tisch::N,моркш,сӗтел
411,Stuhl::N,стул,пукан
412,Wiege::N,нюря́м,сӑпка
413,Bett::N,ацам,кравать
414,Regal::N,лавцяланга,ҫӳлӗк
415,Regal::N,лавцяланга,сентре
416,Kiste::N,парга,ещӗк
417,Kiste::N,парга,сунтӑх
418,Fenster::N,валмья,чӳрече
419,Tür::N,кенкш,алӑк
420,Tor::N,ортат,хапха
421,Zaun::N,перяфкс,хӳме
422,Dach::N,кудпря,тӑрӑ
423,Leiter::N,куцема,пусма
424,Besen::N,тяльме,шӑпӑр
425,Spaten::N,ка́йме,кӗреҫе
426,Schaufel::N,ко́поня,кӗреҫе
427,Schaufel::N,ця́рдом,кӗреҫе
428,Gabel::N,ця́нгоня,вилка
429,Löffel::N,куцю,кашӑк
430,Messer::N,пеель,ҫӗҫӗ
431,Nagel::N,эска,пӑта
432,Haken::N,кя́чказ,йӑрхах
433,Haken::N,кя́чказ,ҫекӗл
434,Griff::N,недь,хӑлӑп
435,Griff::N,кунда́мка,хӑлӑп
436,Schloss::N,замо́к,ҫӑра
437,Bild::N,карти́на,сӑн
438,Bild::N,карти́на,сӑнлӑх
439,Bild::N,карти́на,картина
440,Figur::N,ронга-понда,кӗлетке
441,Puppe::N,ня́ка,пукане
442,Beutel::N,кяскав,михӗ
443,Bündel::N,кярьме,ҫыхӑ
444,Bündel::N,кярьме,тӗрке
445,Tasche::N,кошяльня,сумка
446,Eimer::N,ве́дарка,витре
447,Deckel::N,тавадкс,хупӑ
448,Deckel::N,вельхкс,хупӑ
449,Geschirr::N,кядьге,савӑт-сапа
450,Sack::N,кяскав,михӗ
451,Tasse::N,ша́ваня,курка
452,Topf::N,кавозь,кастрюль
453,Kessel::N,сргавозь,хуран
454,Essen::N,ярхцама,апат
455,Nahrung::N,ярхцампяль,апат-ҫимӗс
456,Speise::N,ярхцама,апат
457,Speise::N,ярхцама,ҫимӗҫ
458,Fleisch::N,пал,аш
459,Fleisch::N,пал,какай
460,Fleisch::N,сиволь,аш
461,Fleisch::N,сиволь,какай
