,Concept_ID,ab,ba
380,Tasche::N,арҭмаҟ,сумка
381,Eimer::N,аведра,биҙрә
382,Deckel::N,ахҩа,ҡапҡас
383,Geschirr::N,ачысмаҭəа,һауыт-һаба
384,Sack::N,асакь,тоҡ
385,Tasse::N,аҵəца,сынаяҡ
386,Topf::N,акаструлиа,кәстрүл
387,Kessel::N,ачуан,ҡаҙан
388,Nahrung::N,афатə,аҙыҡ
389,Speise::N,афатə,аш
390,Fleisch::N,акəац,ит
391,Getreide::N,ачакуа,иген
392,Getreide::N,ачакуа,ашлыҡ
393,Brei::N,ақашь,бутҡа
394,Brot::N,ача,икмәк
395,Scheibe::N,аҽыҭ,телем
396,Scheibe::N,аҿаҵа,телем
397,Fett::N,ашша,май
398,Butter::N,ахəша,май
399,Öl::N,азеҭ,май буяуы
400,Salz::N,аџьыка,тоҙ
401,Suppe::N,асуҧ,һурпа
402,Honig::N,ацха,бал
403,Milch::N,ахш,һөт
404,Tee::N,ачаи,сәй
405,Leder::N,ацəа,күн
406,Wolle::N,аласа,йөн
407,Stoff::N,Аба,туҡыма
408,Nadel::N,агəыр,энә
409,Faden::N,арахəыц,еп
410,Knopf::N,аҳəынҵəра,төймә
411,Knoten::N,аиқəҳəала,төйөн
412,Farbe::N,ашəыга,буяу
413,Kleidung::N,амаҭəа,кейем
414,Hemd::N,акьаҿ,күлдәк
415,Kragen::N,ахəда,яға
416,Ärmel::N,амаӷра,ең
417,Hose::N,аиқəа,салбар
418,Gürtel::N,амаҟа,ҡайыш
419,Mütze::N,ахылҧа,бүрк
420,Schuh::N,аимаа,туфли
421,Stiefel::N,амагə,итек
422,Ring::N,амацəаз,йөҙөк
423,Ring::N,амацəаз,балдаҡ
424,Band::N,алента,таҫма
425,Kamm::N,ахҳəа,тараҡ
426,Spiegel::N,асаркьа,көзгө
427,Riemen::N,аа,ҡайыш
428,Schnur::N,ашаха,бау
429,Leine::N,аҕура,бау
430,Decke::N,ахыза,одеяд
431,Kissen::N,ахчы,мендәр
432,Tuch::N,акасы,яулыҡ
433,Handtuch::N,ампахьшьы,таҫтамал
434,Kraft::N,амч,көс
435,Stärke::N,амч,көс
436,Gesundheit::N,агəабзиара,һаулыҡ
437,Krankheit::N,ачымазара,сир
438,Krankheit::N,ачымазара,ауырыу
439,Schmerz::N,ахьаа,һыҙлау
440,Schmerz::N,ахьаа,әрнеү
441,Wunde::N,ахəра,йәрәхәт
442,Fieber::N,ашоура,тапма
443,Fieber::N,ашоура,биҙгәк
444,Arznei::N,ахəшə,дарыу
445,Brücke::N,ацҳа,күпер
446,Brunnen::N,аҵыџь,ҡоҙоҡ
447,Weide::N,аҳəырҭа,көтөүлек
448,Pfad::N,амхəасҭа,һуҡмаҡ
449,Weg::N,амҩа,юл
450,Straße::N,амҩа,урам
451,Dorf::N,ақыҭа,ауыл
452,Stadt::N,ақалақь,ҡала
453,Brief::N,ашəҟəы,хат
454,Buch::N,ашəҟəы,китап
455,Buch::N,ашəҟəы,кенәгә
456,Buchstabe::N,анбан,хәреф
457,Zeitung::N,агазеҭ,гәзит
458,Leben::N,аҧсҭазаара,йәшәү
459,Tod::N,аҧсра,үлем
460,Grab::N,анышəынҭра,ҡәбер
461,Kirche::N,ауахəама,сиркәү
462,Sünde::N,агəнаҳа,гөнаһ
463,Gott::N,анцəа,алла
464,Gott::N,анцəа,хоҙай
465,Arbeiter::N,аусуҩ,эшсе
466,Chef::N,Аиҳабы,башлыҡ
467,Meister::N,аҟаза,оҫта
468,Arzt::N,аҳақьым,врач
469,Lehrer::N,арҵаҩы,уҡытыусы
470,Geld::N,аҧара,аҡса
471,Laden::N,амагазин,магазин
472,Preis::N,ахə,хаҡ
473,Ware::N,атауар,тауар
474,Nutzen::N,ақьар,файҙа
475,Reichtum::N,абеиара,байлыҡ
476,Welt::N,адунеи,донъя
477,Land::N,атəыла,ил
478,Staat::N,аҳəынҭқарра,дәүләт
479,König::N,акрал,король
480,Macht::N,амчра,власть
481,Grenze::N,аҳəаа,сик
482,Krieg::N,аибашьра,һуғыш
483,Feind::N,Аҕа,йылан
484,Gewalt::N,ақəымчра,көслөк
485,Kampf::N,ақəҧара,көрәш
486,Bogen[Waffe]::N,ахыц,йәйә
487,Pfeil::N,ахəымпал,уҡ
488,Gewehr::N,ашəақь,мылтыҡ
489,Fehler::N,агха,хата
490,Lüge::N,амц,ялған
491,Schaden::N,аҧырхага,зыян
492,Schaden::N,аҧырхага,зарар
493,Unglück::N,арыцҳара,ҡаза
494,Schuld::N,ахара,ғәйеп
495,Alter::N,ақəра,йәш
496,Schluss::N,анҵəамҭа,һуң
497,Schluss::N,анҵəамҭа,аҙаҡ
498,Zeit::N,аамта,мәл
499,Zeit::N,аамта,заман
500,Tag::N,амш,көн
501,Morgen::N,ашара,иртә
502,Morgen::N,ашара,иртәнсәк
503,Morgen::N,ашьыбжь,иртә
504,Morgen::N,ашьыбжь,иртәнсәк
505,Mittag::N,шьыбжьон,төш
506,Abend::N,ахəылҧаз,кис
507,Abend::N,ахəлбыҽха,кис
508,Nacht::N,аҵх,төн
509,Woche::N,амчыбжь,аҙна
510,Frühling::N,ааҕын,яҙ
