,Concept_ID,uz,hr
574,Morgen::N,saboh,jutro
575,Mittag::N,kun tushlik,podne
576,Abend::N,oqshom,veče
577,Abend::N,oqshom,večer
578,Nacht::N,tun,noć
579,Woche::N,hafta,sedmica
580,Monat::N,oy,mjesec
581,Jahr::N,yil,godina
582,Frühling::N,bahor,proljeće
583,Sommer::N,yoz,ljeto
584,Herbst::N,kuz,jesen
585,Herbst::N,xazon,jesen
586,Winter::N,qish,zima
587,Januar::N,yanvar',januar
588,Januar::N,yanvar',siječanj
589,Februar::N,fevral',veljača
590,Februar::N,fevral',februar
591,März::N,mart,mart
592,März::N,mart,ožujak
593,April::N,aprel',april
594,April::N,aprel',travanj
595,Mai::N,may,maj
596,Mai::N,may,svibanj
597,Juni::N,iyun',juni
598,Juni::N,iyun',lipanj
599,Juli::N,iyul',juli
600,Juli::N,iyul',srpanj
601,August::N,avgust,august
602,August::N,avgust,kolovoz
603,September::N,sentyabr',rujan
604,September::N,sentyabr',septembar
605,Oktober::N,oktyabr',oktobar
606,Oktober::N,oktyabr',listopad
607,November::N,noyabr',studeni
608,November::N,noyabr',novembar
609,Dezember::N,dekabr',prosinac
610,Montag::N,dushanba,ponedjeljak
611,Montag::N,dushanba,ponedjeljnik
612,Dienstag::N,seshanba,utorak
613,Dienstag::N,seshanba,utornik
614,Mittwoch::N,chorshanba,srijeda
615,Donnerstag::N,payshanba,četvrtak
616,Freitag::N,juma,petak
617,Samstag::N,shanba,subota
618,Sonntag::N,yakshanba,nedjelja
619,groß::A,buyuk,velik
620,klein::A,kichik,mali
621,klein::A,kichik,malen
622,lang::A,uzun,dug
623,lang::A,uzun,dugačak
624,kurz::A,qisqa,kratak
625,breit::A,keng,širok
626,schmal::A,änsiz,uski
627,schmal::A,änsiz,uzak
628,dicht::A,quyuq,gust
629,dick[Gegenstand]::A,qalin,debeo
630,dünn::A,ingichka,tanak
631,fein::A,mayin,fin
632,fein::A,mayin,tanak
633,fest::A,qattiq,čvrst
634,flach::A,yalpoq,ravan
635,flach::A,yalpoq,plosnat
636,glatt::A,tekis,gladak
637,hart::A,qattiq,tvrd
638,weich::A,yumshoq,mek
639,weich::A,yumshoq,mekan
640,rund::A,yumaloq,okrugao
641,spitz::A,uchli,oštar
642,spitz::A,uchli,šiljast
643,scharf::A,keskir,oštar
644,scharf::A,keskir,bridak
645,stumpf::A,to'mtoq,tup
646,schwer::A,salmoqli,težak
647,schön::A,go'zal,krasan
648,heiß::A,qiziq,vruć
649,warm::A,issiq,topao
650,kalt::A,sovuq,hladan
651,kühl::A,salqin,hladan
652,frisch::A,toza,svjež
653,feucht::A,namli,vlažan
654,nass::A,nam,mokar
655,trocken::A,quruq,suh
656,voll::A,to'la,pun
657,leer::A,puch,prazan
658,offen::A,ochiq,otvoren
659,geschlossen::A,berk,zatvoren
660,sauber::A,ozoda,čist
661,schmutzig::A,kir,nečist
662,schmutzig::A,kir,blatan
663,roh::A,xom,sirov
664,reif::A,pishiq,zreo
665,lecker::A,shirin,tečan
666,lecker::A,shirin,ukusan
667,süß::A,shirin,sladak
668,bitter::A,achchiq,gorak
669,sauer::A,achchiq,kiseo
670,hell::A,yorug',vedar
671,hell::A,yorug',svijetao
672,dunkel::A,qorong'i,taman
673,schwarz::A,qora,crn
674,weiß::A,oq,bio
675,weiß::A,oq,bijel
676,rot::A,qizil,crven
677,gelb::A,sariq,žut
678,blau::A,zangori,plav
679,blau::A,zangori,modar
680,grün::A,yashil,zelen
681,grau::A,bo'z,siv
682,bunt::A,ola,šaren
683,billig::A,arzon,jeftin
684,teuer::A,qimmat,skup
685,wertvoll::A,qimmat,vrijedan
686,wertvoll::A,qimmat,dragocjen
687,blind::A,ko'r,slijep
688,taub::A,garang,gluh
689,kräftig::A,kuchli,snažan
690,stark::A,quvvatli,jak
691,stark::A,quvvatli,snažan
692,schwach::A,kuchsiz,slab
693,fett::A,semiz,pretio
694,schlank::A,ingichka,vitak
695,hübsch::A,ko'rkam,zgodan
696,böse::A,yovuz,zao
697,böse::A,yovuz,opak
698,dumm::A,aqlsiz,glup
699,faul::A,ärinchak,lijen
700,fleißig::A,ishchan,radin
701,fleißig::A,ishchan,marljiv
702,geizig::A,qurumsoq,škrt
703,klug::A,oqil,razborit
704,geschickt::A,äpchil,vješt
705,lieb::A,aziz,drag
706,lustig::A,chaqchaq,veseo
707,sanft::A,asta,blag
708,hungrig::A,och,gladan
709,krank::A,kasal,bolestan
710,nackt::A,yalang,nag
711,traurig::A,xafa,tužan
712,traurig::A,xafa,žalostan
713,lebendig::A,hayotiy,živ
714,gut::A,soz,dobar
715,schlecht::A,yomon,loš
716,schlecht::A,yomon,rđav
717,richtig::A,rost,tačan
718,richtig::A,rost,ispravan
719,schlimm::A,yovuz,zao
720,schlimm::A,yovuz,zločest
721,wahr::A,haqiqiy,istinit
722,alt::A,äski,star
723,neu::A,yangi,nov
724,ehemalig::A,sobiq,bivši
725,alt[Lebewesen]::A,qari,star
726,jung::A,navqiron,mlad
727,arm::A,abgor,ubog
728,arm::A,abgor,siromašan
729,reich::A,boy,bogat
730,bekannt::A,ma'lum,poznat
731,berühmt::A,mashhur,čuven
732,berühmt::A,mashhur,slavan
733,fremd::A,yot,tuđ
734,fremd::A,yot,stran
735,verschieden::A,turli,razan
736,verschieden::A,turli,različan
737,nah::A,yaqindagi,blizak
738,fern::A,uzoq,dalek
739,fern::A,uzoq,daljnji
740,linker::A,so'l,lijevi
741,rechter::A,o'ng,desni
742,anderer::A,boshqa,drugi
743,anderer::A,boshqa,drugačiji
744,erster::A,birinchi,prvi
745,zweiter::A,ikkinchi,drugi
746,dritter::A,uchinchi,treći
747,letzter::A,oxirgi,zadnji
748,allein::ADV,o'zicha,sam
749,auf einmal::ADV,varakay,istodobno
750,zusammen::ADV,barobar,skupa
751,zusammen::ADV,barobar,zajedno
752,lange::ADV,uzoq,dugo
753,plötzlich::ADV,qo'qqisdan,naglo
754,plötzlich::ADV,qo'qqisdan,iznenada
755,sofort::ADV,darrov,odmah
756,später::ADV,so'ngra,kasnije
757,jetzt::ADV,hozirgina,sad
758,jetzt::ADV,hozirgina,sada
759,heute::ADV,bugun,danas
760,morgen::ADV,ärta,sutra
761,bald::ADV,toz,skoro
762,bald::ADV,toz,doskora
763,dann::ADV,keyin,zatim
764,gestern::ADV,kecha,juče
765,gestern::ADV,kecha,jučer
766,einst::ADV,avvallari,negda
767,einst::ADV,avvallari,nekada
768,damals::ADV,ugal,tada
769,damals::ADV,ugal,onda
770,danach::ADV,so'ngra,poslije
