,Concept_ID,kn,mrj
227,Tante::N,ಚಿಕ್ಕಮ್ಮ,куака
228,Ehemann::N,ಗಂಡ,мары
229,Ehefrau::N,ಹೆಂಡತಿ,вӓтӹ
230,Freude::N,ನಲಿವು,ӹвӹртӹмӓш
231,Gelächter::N,ನಗೆ,ваштылмаш
232,Glück::N,ಆನಂದ,пиӓл
233,Kummer::N,ದುಃಖ,ясы
234,Wunsch::N,ಬಯಕೆ,охата
235,Wunsch::N,ಬಯಕೆ,шанымаш
236,Lust::N,ಇಷ್ಟ,шӓр
237,Lust::N,ಇಷ್ಟ,охата
238,Lust::N,ಇಷ್ಟ,шанымаш
239,Geist::N,ಆತ್ಮ,тух
240,Gedanke::N,ಯೋಚನೆ,шанымаш
241,Gedächtnis::N,ಸ್ಮರಣೆ,ӓш
242,Verstand::N,ಮನಸ್ಸು,ыш
243,Sinn::N,ಅರ್ಥ,кын
244,Grund::N,ಕಾರಣ,вир
245,Wahrheit::N,ಸತ್ಯ,тöр
246,Gespräch::N,ಸಂಭಾಷಣೆ,хытырымаш
247,Märchen::N,ಸುಳ್ಳು ಕಥೆ,ямак
248,Erzählung::N,ಕಥೆ,шайыштмаш
249,Nachricht::N,ಸಂದೇಶ,увертӓрӹмӓш
250,Neuigkeit::N,ಸುದ್ದಿ,увер
251,Name::N,ಹೆಸರು,лӹм
252,Rätsel::N,ಒಗಟು,тышты
253,Rede::N,ಮಾತು,шая
254,Rede::N,ಮಾತು,шамак
255,Sprache::N,ಭಾಷೆ,йӹлмӹ
256,Stimme::N,ಧ್ವನಿ,юк
257,Wort::N,ಮಾತು,шамак
258,Zeichen::N,ಗುರುತು,палӹ
259,Ruf::N,ಕೂಗು,сӹгӹрӹмӓш
260,Lärm::N,ಸದ್ದು,юкланымащ
261,Laut::N,ಶಬ್ದ,юк
262,Ton::N,ನಾದ,юк
263,Lied::N,ಗಾನ,мыры
264,Ruhe::N,ಶಾಂತಿ,тыр
265,Leute::N,ಮಂದಿ,эдемвлӓ
266,Volk::N,ಜನಾಂಗ,халык
267,Arbeit::N,ಕೆಲಸ,пӓшӓ
268,Gast::N,ಅತಿಥಿ,хына
269,Geschenk::N,ಕಾಣಿಕೆ,подарка
270,Spiel::N,ಆಟ,мадыш
271,Gesellschaft::N,ಸಂಗ,йӓл
272,Gesellschaft::N,ಸಂಗ,йӓлвлӓ
273,Hilfe::N,ಸಹಾಯ,палшык
274,Freund::N,ಸ್ನೇಹಿತ,тӓнг
275,Kamerad::N,ಜೊತೆಗಾರ,тос
276,Angelegenheit::N,ವಿಚಾರ,дела
277,Angelegenheit::N,ವಿಚಾರ,йела
278,Angelegenheit::N,ವಿಚಾರ,йыла
279,Angelegenheit::N,ವಿಚಾರ,пӓшӓ
280,Anzahl::N,ಎಣಿಕೆ,шот
281,Art::N,ತರ,цӹре
282,Stück::N,ತುಂಡು,лаштык
283,Teil::N,ಭಾಗ,пай
284,Teil::N,ಭಾಗ,часть
285,Hälfte::N,ಅರ್ಧ,пел
286,Kreis::N,ವೃತ್ತ,тӹртӹш
287,Kreuz::N,ಶಿಲುಬೆ,крестӹ
288,Linie::N,ರೀಖೆ,
289,Strich::N,ಗೀಟು,
290,Abstand::N,ಅಂತರ,ло
291,Entfernung::N,ದೂರ,ло
292,Gegend::N,ವಿಸ್ತೀರ್ಣ,вӓр
293,Platz::N,ಅಂತರ,вӓр
294,Ort::N,ಸ್ಥಳ,вӓр
295,Seite::N,ಪಕ್ಷ,öрдӹж
296,Mitte::N,ನಡು,ло
297,Gegenstand::N,ವಸ್ತು,хӓдӹр
298,Sache::N,ವಸ್ತು,хӓдӹр
299,Rand::N,ಅಂಚು,шöр
300,Kante::N,ಅಂಚು,шöр
301,Ecke::N,ಮೂಲೆ,лык
302,Spitze::N,ತುದಿ,вуй
303,Ende::N,ಕೊನೆ,вуй
304,Ende::N,ಕೊನೆ,мычаш
305,Loch::N,ತೂತು,ыраж
306,Winkel::N,ಕೋನ,лык
307,Muster::N,ನಮೂನೆ,тӹрлец
308,Größe::N,ಪ್ರಮಾಣ,кӱкшӹц
309,Länge::N,ಉದ್ದ,кыт
310,Höhe::N,ಎತ್ತರ,кӱкшӹц
311,Gewicht::N,ತೂಕ,нелӹц
312,Menge::N,ಮೊತ್ತ,шот
313,Haufen::N,ರಾಶಿ,ара
314,Reihe::N,ಸಾಲು,ряд
315,Boot::N,ದೋಣಿ,пыш
316,Ruder::N,ಹುಟ್ಟು,вешлӓ
317,Schlitten::N,ಚಕ್ರವಿಲ್ಲದ ಜಾರುಬಮ್ಡಿ,тир
318,Ski::N,ಜಾರುಪಟ್ಟಿ,ечӹ
319,Lagerfeuer::N,ಶಿಬಿರಾಗ್ನಿ,тыл
320,Last::N,ಹೊರೆ,нелӹц
321,Gang::N,ತಿರುಗಾಟ,ход
322,Schritt::N,ಹೆಜ್ಜೆ,ашкыл
323,Norden::N,ಉತ್ತರ,йыдпелвел
324,Süden::N,ದಕ್ಷಿಣ,кечӹвӓлвел
325,Westen::N,ಪಶ್ಚಿಮ,кечӹ шӹцмӹ
326,Osten::N,ಮೂಡಲು,ирвел
327,Osten::N,ಮೂಡಲು,кечӹ лӱлтмӹ
328,Holz::N,ಚೌಬೀನೆ,пушӓнгӹ
329,Brett::N,ಹಲಗೆ,ханга
330,Platte::N,ಹಲಗೆ,плитӓ
331,Stütze::N,ಆಸರೆ,цӓрӓк
332,Stange::N,ಕಂಬ,равы
333,Stange::N,ಕಂಬ,намаш
334,Stock::N,ಕೋಲು,панды
335,Stab::N,ದೊಣ್ಣೆ,равы
336,Rohr::N,ನಳಿಕೆ,пыч
337,Haus::N,ಮನೆ,пöрт
338,Heim::N,ಗೃಹ,пöрт
339,Ofen::N,ಒಲೆ,камака
340,Fußboden::N,ನೆಲ,седӹрӓ
341,Tisch::N,ಮೇಜು,стöл
342,Stuhl::N,ಕುರ್ಚಿ,пöкен
343,Wiege::N,ತೊಟ್ಟಿಲು,шипкӓ
344,Bett::N,ಹಾಸಿಗೆ,койка
345,Bett::N,ಹಾಸಿಗೆ,кравать
