,Concept_ID,uz,no
368,Nagel::N,mix,spiker
369,Netz::N,to'r,nett
370,Haken::N,ilgak,krok
371,Griff::N,sop,tak
372,Griff::N,sop,håndtak
373,Griff::N,tutqich,tak
374,Griff::N,tutqich,håndtak
375,Schloss::N,qulf,lås
376,Bild::N,rasm,bilde
377,Figur::N,shakl,figur
378,Puppe::N,ko'g'irchoq,dukke
379,Beutel::N,to'rva,pose
380,Bündel::N,bog'lam,bylt
381,Tasche::N,kissa,veske
382,Eimer::N,chelak,bøtte
383,Deckel::N,qopqoq,lokk
384,Geschirr::N,idish,kjøkkentøy
385,Sack::N,qop,sekk
386,Tasse::N,piyola,kopp
387,Topf::N,tuvak,gryte
388,Kessel::N,qozon,kjele
389,Essen::N,tomoq,mål
390,Nahrung::N,emak,mat
391,Nahrung::N,emak,næring
392,Speise::N,taom,matrett
393,Fleisch::N,go'sht,kjøtt
394,Getreide::N,g'alla,korn
395,Brei::N,bo'tqa,grøt
396,Brot::N,non,brød
397,Scheibe::N,disk,skive
398,Fett::N,moy,fett
399,Butter::N,yog',smør
400,Öl::N,moy,olje
401,Salz::N,tuz,salt
402,Suppe::N,sho'rva,suppe
403,Honig::N,asal,honning
404,Milch::N,sut,melk
405,Tee::N,choy,te
406,Leder::N,charm,lær
407,Leder::N,charm,skinn
408,Wolle::N,jun,ull
409,Stoff::N,mato,tøy
410,Stoff::N,mato,stoff
411,Nadel::N,igna,nål
412,Faden::N,ip,tråd
413,Knopf::N,tugma,knapp
414,Knoten::N,tugun,knute
415,Farbe::N,bo'yok,farge
416,Kleidung::N,kiyim,påkledning
417,Hemd::N,ko'ylak,skjorte
418,Kragen::N,yoqa,krage
419,Ärmel::N,yeng,erme
420,Hose::N,shim,bukse
421,Gürtel::N,tasma,belte
422,Mütze::N,shapka,lue
423,Schuh::N,but,sko
424,Stiefel::N,botinka,støvel
425,Ring::N,yuzuk,ring
426,Band::N,rishta,band
427,Kamm::N,taroq,kam
428,Spiegel::N,ko'zgu,speil
429,Riemen::N,qayish,rem
430,Schnur::N,bog'ich,snor
431,Leine::N,etak,line
432,Decke::N,odyol,teppe
433,Kissen::N,yostiq,pute
434,Tuch::N,gazlama,tøy
435,Handtuch::N,sochiq,håndkle
436,Kraft::N,kuch,kraft
437,Stärke::N,quvvat,styrke
438,Gesundheit::N,sog'lik,helse
439,Gesundheit::N,sog'lik,sunnhet
440,Krankheit::N,kasallik,syke
441,Krankheit::N,kasallik,sykdom
442,Schmerz::N,og'riq,smerte
443,Wunde::N,yara,sår
444,Fieber::N,bezgak,feber
445,Arznei::N,dori,medisin
446,Arznei::N,dori,legemiddel
447,Brücke::N,ko'prik,bro
448,Brunnen::N,buloq,brønn
449,Weide::N,yaylov,beite
450,Pfad::N,dorojka,sti
451,Weg::N,yo'l,vei
452,Straße::N,ko'cha,gate
453,Dorf::N,ovul,landsby
454,Stadt::N,shahar,by
455,Brief::N,maktub,brev
456,Buch::N,kitob,bok
457,Buchstabe::N,harf,bokstav
458,Zeitung::N,gazet,avis
459,Leben::N,hayot,liv
460,Tod::N,o'lim,død
461,Grab::N,go'r,grav
462,Kirche::N,cherkov,kirke
463,Sünde::N,gunoh,synd
464,Gott::N,olloh,gud
465,Arbeiter::N,ishchi,arbeider
466,Chef::N,rais,sjef
467,Meister::N,usta,mester
468,Arzt::N,hakim,lege
469,Lehrer::N,muallim,lærer
470,Geld::N,pul,penger
471,Geschäft::N,savdo,forretning
472,Laden::N,do'kon,butikk
473,Preis::N,baho,pris
474,Ware::N,mol,vare
475,Nutzen::N,foyda,nytte
476,Reichtum::N,boylik,rikdom
477,Welt::N,olam,verden
478,Land::N,o'lka,land
479,Staat::N,davlat,stat
480,König::N,qirol,konge
481,Macht::N,iqtidor,makt
482,Grenze::N,chegara,grense
483,Krieg::N,harb,krig
484,Feind::N,dushman,fiende
485,Gewalt::N,zo'rlik,vold
486,Kampf::N,kurash,kamp
487,Bogen[Waffe]::N,yoy,bue
488,Pfeil::N,o'q,pil
489,Gewehr::N,vintovka,gevær
490,Fehler::N,xato,feil
491,Lüge::N,yolg'on,løgn
492,Schaden::N,ziyon,skade
493,Unglück::N,balo,uhell
494,Schuld::N,ayb,skyld
495,Alter::N,yosh,alder
496,Schluss::N,tamom,slutt
497,Zeit::N,vaqt,tid
498,Tag::N,kun,dag
499,Morgen::N,saboh,morgen
500,Mittag::N,kun tushlik,middag
501,Abend::N,oqshom,aften
502,Nacht::N,tun,natt
503,Woche::N,hafta,uke
504,Monat::N,oy,måned
505,Jahr::N,yil,år
506,Frühling::N,bahor,vår
507,Sommer::N,yoz,sommer
508,Herbst::N,kuz,høst
509,Herbst::N,xazon,høst
510,Winter::N,qish,vinter
511,Januar::N,yanvar',januar
512,Februar::N,fevral',februar
513,März::N,mart,mars
514,April::N,aprel',april
515,Mai::N,may,mai
516,Juni::N,iyun',juni
517,Juli::N,iyul',juli
518,August::N,avgust,august
519,September::N,sentyabr',september
520,Oktober::N,oktyabr',oktober
521,November::N,noyabr',november
522,Dezember::N,dekabr',desember
523,Montag::N,dushanba,mandag
524,Dienstag::N,seshanba,tirsdag
525,Mittwoch::N,chorshanba,onsdag
526,Donnerstag::N,payshanba,torsdag
527,Freitag::N,juma,fredag
528,Samstag::N,shanba,lørdag
529,Sonntag::N,yakshanba,søndag
530,groß::A,buyuk,stor
531,klein::A,kichik,liten
532,lang::A,uzun,lang
533,kurz::A,qisqa,kort
534,breit::A,keng,bred
535,schmal::A,änsiz,smal
536,dicht::A,quyuq,tett
537,dick[Gegenstand]::A,qalin,tykk
538,dünn::A,ingichka,tynn
539,fein::A,mayin,fin
540,fest::A,qattiq,fast
541,flach::A,yalpoq,flat
542,glatt::A,tekis,glatt
543,hart::A,qattiq,hard
544,weich::A,yumshoq,myk
545,weich::A,yumshoq,bløt
546,rund::A,yumaloq,rund
547,spitz::A,uchli,spiss
548,scharf::A,keskir,kvass
549,stumpf::A,to'mtoq,stubb
550,schwer::A,salmoqli,tung
551,schön::A,go'zal,pen
552,schön::A,go'zal,vakker
553,heiß::A,qiziq,het
554,warm::A,issiq,varm
555,kalt::A,sovuq,kald
556,kühl::A,salqin,kjølig
557,frisch::A,toza,fersk
558,feucht::A,namli,fuktig
559,nass::A,nam,våt
560,trocken::A,quruq,tørr
561,voll::A,to'la,full
562,leer::A,puch,tom
563,offen::A,ochiq,åpen
564,geschlossen::A,berk,lukket
565,sauber::A,ozoda,ren
566,schmutzig::A,kir,skitten
567,roh::A,xom,rå
568,reif::A,pishiq,moden
569,lecker::A,shirin,lekker
570,süß::A,shirin,søt
571,bitter::A,achchiq,besk
572,bitter::A,achchiq,bitter
573,sauer::A,achchiq,sur
574,hell::A,yorug',lys
575,dunkel::A,qorong'i,mørk
576,schwarz::A,qora,svart
577,weiß::A,oq,hvit
578,rot::A,qizil,rød
579,gelb::A,sariq,gul
580,blau::A,zangori,blå
581,grün::A,yashil,grønn
582,grau::A,bo'z,grå
583,bunt::A,ola,broket
584,billig::A,arzon,billig
585,teuer::A,qimmat,dyr
586,wertvoll::A,qimmat,verdifull
587,blind::A,ko'r,blind
588,taub::A,garang,døv
589,kräftig::A,kuchli,kraftig
590,stark::A,quvvatli,sterk
591,schwach::A,kuchsiz,svak
592,fett::A,semiz,fet
593,schlank::A,ingichka,slank
594,hübsch::A,ko'rkam,pen
595,böse::A,yovuz,slem
596,dumm::A,aqlsiz,dum
597,faul::A,ärinchak,lat
598,faul::A,ärinchak,doven
599,fleißig::A,ishchan,flittig
600,geizig::A,qurumsoq,gjerrig
601,klug::A,oqil,klok
602,geschickt::A,äpchil,hendig
603,geschickt::A,äpchil,skikket
604,lieb::A,aziz,kjær
605,lieb::A,aziz,snill
606,lustig::A,chaqchaq,morsom
607,sanft::A,asta,blid
608,hungrig::A,och,sulten
609,krank::A,kasal,syk
610,nackt::A,yalang,naken
611,traurig::A,xafa,sørgmodig
612,lebendig::A,hayotiy,levende
613,gut::A,soz,god
614,schlecht::A,yomon,dårlig
615,richtig::A,rost,riktig
616,schlimm::A,yovuz,slem
617,wahr::A,haqiqiy,sann
618,alt::A,äski,gammel
619,neu::A,yangi,ny
620,ehemalig::A,sobiq,forhenværende
621,alt[Lebewesen]::A,qari,gammel
622,jung::A,navqiron,ung
623,arm::A,abgor,fattig
624,reich::A,boy,rik
625,bekannt::A,ma'lum,kjent
626,berühmt::A,mashhur,berømt
627,fremd::A,yot,fremmed
628,verschieden::A,turli,forskjellig
629,nah::A,yaqindagi,nær
630,fern::A,uzoq,fjern
631,linker::A,so'l,venstre
632,rechter::A,o'ng,høyre
633,anderer::A,boshqa,annen
634,erster::A,birinchi,første
635,zweiter::A,ikkinchi,annen
636,dritter::A,uchinchi,tredje
637,letzter::A,oxirgi,sist
638,allein::ADV,o'zicha,alene
639,auf einmal::ADV,varakay,med ett
640,zusammen::ADV,barobar,sammen
641,lange::ADV,uzoq,lenge
