,Concept_ID,kv,te
599,arm::A,гов,బీద
600,arm::A,беднӧй,బీద
601,reich::A,эма,ధనవంతుడైన
602,bekannt::A,тӧдса,తెలిసిన
603,fremd::A,чужӧй,అన్యమైన
604,verschieden::A,быдкодь,భేదమైన
605,nah::A,матiсь,దగ్గఱనున్న
606,fern::A,ылicь,దూరమందున్న
607,linker::A,шульга,ఎడమప్రక్కగ
608,rechter::A,веськытланись,కుడి
609,anderer::A,мукӧд,వేఱ్తెన
610,erster::A,медодзза,మొదటి
611,zweiter::A,кыкӧт,రెండన
612,dritter::A,куимӧт,మూడో
613,dritter::A,куимӧдз,మూడో
614,letzter::A,бӧрья,కడపటి
615,letzter::A,мёдбӧрья,కడపటి
616,auf einmal::ADV,тшӧтш,హరాత్తుగ
617,zusammen::ADV,ӧтлаын,కలిసి
618,lange::ADV,дыр,బహుకాలము
619,plötzlich::ADV,друг,హరాత్తుగ
620,sofort::ADV,тшӧтш,తక్షణము
621,später::ADV,медбӧрын,ఇటీవలి
622,jetzt::ADV,ӧні,ఇప్పుడు
623,heute::ADV,талун,నేడు
624,morgen::ADV,ашын,ఱేపు
625,bald::ADV,чожа,శీఘ్రముగ
626,dann::ADV,сыбӧрын,అప్పుడు
627,gestern::ADV,тӧн,నిన్నటి దినము
628,einst::ADV,ӧтпыр,పూర్వమొకప్పుడు
629,damals::ADV,сэк,అప్పుడు
630,damals::ADV,сэки,అప్పుడు
631,danach::ADV,сэсся,అప్పుడు
632,vorher::ADV,одзжык,ఎదుట
633,zuerst::ADV,наперво,మొదటిలో
634,einmal::ADV,ӧтпыр,ఒకసారి
635,manchmal::ADV,мукӧдпыр,అప్పటప్పటికి
636,oft::ADV,-лы-,తఱచుగా
637,immer::ADV,быдпыр,ఎల్లప్పుడు
638,immer::ADV,быдпырся,ఎల్లప్పుడు
639,niemals::ADV,некӧр,ఎప్పుడునులేదు
640,hier::ADV,татӧн,ఇక్కడ
641,hierhin::ADV,татчӧ,ఇక్కడకు
642,von hier::ADV,тасянь,ఇక్కడనుండి
643,dort::ADV,сэтӧн,అక్కడ
644,dorthin::ADV,сэтчин,అక్కడికి
645,geradeaus::ADV,веськыта,సూటిగా
646,vorwärts::ADV,одзӧ,ముందుకు
647,rückwärts::ADV,бӧр,వెనుకకు
648,zurück::ADV,бӧр,వెనుకభాగము
649,unten::ADV,увтын,క్రింద
650,hinab::ADV,увтас,కిందికి
651,oben::ADV,вевдӧрас,మీద
652,hinauf::ADV,вывлань,పైకి
653,hinauf::ADV,вывланьӧ,పైకి
654,überall::ADV,быдлан,అంతటా
655,nicht::ADV,ог,కాదు
656,ein wenig::ADV,-ышт,కొంచెము
657,ein wenig::ADV,невна,కొంచెము
658,kaum::ADV,ӧдва,చాలిచాలక
659,sehr::ADV,вывтi,చాల
660,so::ADV,сiдз,ఆలాగున
661,noch::ADV,эшӧ,ఇప్పటికిని
662,nur::ADV,только,మాత్రము
663,schon::ADV,ни,ఇదివఱకే
664,wieder::ADV,бӧра,తిరిగి
665,vergebens::ADV,весись,నిష్ఫలముగా
666,vor::PRP,одзас,ముందు
667,hinter::PRP,бӧрӧ,వెనుక
668,unter::PRP,увтын,క్రింద
669,durch::PRP,пыр,ద్వారా
670,neben::PRP,бокам,దగ్గెర
671,neben::PRP,боксиным,దగ్గెర
672,zwischen::PRP,коласас,మధ్య
673,wegen::PRP,понда,కారణంగా
674,dies::PRN,эта,ఇది
675,das::PRN,сiя,అది
676,alles::PRN,быдӧс,సకలము
