,Concept_ID,ca,lt
748,traurig::A,trist,liūdnas
749,lebendig::A,viu,gyvas
750,gut::A,bo,geras
751,schlecht::A,dolēnt,blogas
752,schlecht::A,dolēnt,prastas
753,richtig::A,just,tikras
754,richtig::A,just,teisingas
755,richtig::A,correcte,tikras
756,richtig::A,correcte,teisingas
757,schlimm::A,greu,blogas
758,schlimm::A,greu,prastas
759,wahr::A,vertader,tikras
760,wahr::A,veritable,tikras
761,alt::A,vell,senas
762,neu::A,nou,naujas
763,ehemalig::A,antic,buvęs
764,alt[Lebewesen]::A,vell,pagyvenęs
765,jung::A,jove,jaunas
766,arm::A,pobre,neturtingas
767,reich::A,ric,turtingas
768,bekannt::A,conegut,žinomas
769,bekannt::A,conegut,pažįstamas
770,berühmt::A,famós,žymus
771,berühmt::A,famós,garsus
772,fremd::A,estrany,svetimas
773,verschieden::A,diferent,įvairus
774,nah::A,pròxim,artimas
775,fern::A,llunyà,tolimas
776,fern::A,distant,tolimas
777,linker::A,esquerre,kairys
778,rechter::A,dret,dešinys
779,anderer::A,altre,kitas
780,erster::A,primer,pirmas
781,zweiter::A,segon,antras
782,dritter::A,tercer,trečias
783,letzter::A,últim,paskutinis
784,allein::ADV,sol,vienas
785,auf einmal::ADV,d'una vegada,iš karto
786,zusammen::ADV,junt,kartu
787,zusammen::ADV,junt,drauge
788,lange::ADV,molt de temps,ilgai
789,plötzlich::ADV,de cop,staiga
790,plötzlich::ADV,de sobte,staiga
791,sofort::ADV,de seguida,tuojau
792,später::ADV,més tard,vėliau
793,später::ADV,més tard,paskiau
794,jetzt::ADV,ara,dabãr
795,heute::ADV,avūi,šiandien
796,morgen::ADV,demà,rytoj
797,bald::ADV,aviāt,greitai
798,bald::ADV,aviāt,netrukus
799,dann::ADV,després,po to
800,gestern::ADV,ahir,vakar
801,einst::ADV,anteriorment,kadaise
802,einst::ADV,anteriorment,kitą kartą
803,damals::ADV,llavōrs,anuomet
804,damals::ADV,llavōrs,anuokart
805,damals::ADV,aleshores,anuomet
806,damals::ADV,aleshores,anuokart
807,danach::ADV,després,po to
808,danach::ADV,després,paskui
809,vorher::ADV,abāns,anksčiau
810,zuerst::ADV,primer,pirma
811,zuerst::ADV,primer,iš pradžių̃
812,einmal::ADV,una vegada,kartą
