,Concept_ID,os,hu
1453,ausziehen::V,ласын,levesz
1454,anziehen::V,скæнын,felölt
1455,anziehen::V,скæнын,felvesz
1456,sich anziehen::V,дзаума скæнын,öltözik
1457,sich anziehen::V,дзаума скæнын,felöltözik
1458,sich anziehen::V,дарæс скæнын,öltözik
1459,sich anziehen::V,дарæс скæнын,felöltözik
1460,kämmen::V,ныффасын,fésül
1461,kämmen::V,æрфасын,fésül
1462,schmücken::V,фӕлындын,díszít
1463,sagen::V,зæгъын,mond
1464,sprechen::V,дзурын,beszél
1465,reden::V,ныхас кӕнын,beszél
1466,sich unterhalten::V,ныхас кæнын,beszélget
1467,fragen::V,фӕрсын,kérdez
1468,bitten::V,курын,kér
1469,erzählen::V,радзурын,mesél
1470,erzählen::V,радзурын,elbeszél
1471,erzählen::V,ратаурæгъ кæнын,mesél
1472,erzählen::V,ратаурæгъ кæнын,elbeszél
1473,mitteilen::V,фехъусын кæнын,közöl
1474,nennen::V,хонын,hív
1475,nennen::V,хонын,nevez
1476,rufen::V,сидын,hív
1477,prahlen::V,ӕппӕлын,dicsekszik
1478,übersetzen::V,ратæлмац кæнын,fordít
1479,denken::V,ӕнхъӕлын,gondol
1480,denken::V,хъуыды кӕнын,gondol
1481,glauben::V,уырнын,hisz
1482,bemerken::V,фенын,észrevesz
1483,erkennen::V,базонын,ráismer
1484,erkennen::V,базонын,felismer
1485,begreifen::V,ӕмбарын,felfog
1486,begreifen::V,бамбарын,felfog
1487,lernen::V,ахуыр кӕнын,tanul
1488,lernen::V,ахуыр кӕнын,megtanul
1489,wissen::V,зонын,tud
1490,sich erinnern an::V,зæрдыл æрлæууын,emlékszik
1491,sich erinnern an::V,æрымысын,emlékszik
1492,sich erinnern an::V,æрбаймысын,emlékszik
1493,sich erinnern an::V,æрхъуыды кæнын,emlékszik
1494,vergessen::V,ферох кæнын,felejt
1495,vergessen::V,ферох кæнын,elfelejt
1496,vergessen::V,айрох кæнын,felejt
1497,vergessen::V,айрох кæнын,elfelejt
1498,messen::V,барын,mér
1499,messen::V,барын,megmér
1500,zählen::V,нымайын,számol
1501,zählen::V,нымайын,megszámol
1502,rechnen::V,хынцын,számít
1503,lesen::V,кӕсын,olvas
1504,lesen::V,фӕрсын,olvas
1505,malen::V,ныв кӕнын,fest
1506,zeichnen::V,ныв кӕнын,rajzol
1507,schreiben::V,фыссын,ír
1508,besitzen::V,хицау уын,birtokol
1509,kaufen::V,балхӕнын,vesz
1510,kaufen::V,балхӕнын,megvesz
1511,verkaufen::V,уӕй кӕнын,elad
1512,bezahlen::V,бафидын,fizet
1513,bezahlen::V,бафидын,kifizet
1514,zahlen::V,фидын,fizet
1515,zahlen::V,фидын,megfizet
1516,beherrschen::V,æлдариуæг кæнын,ural
1517,ertragen::V,бавзарын,elbír
1518,ertragen::V,бавзарын,elvisel
1519,Leine::N,,póráz
1520,rauschen::V,,zúg
1521,treten::V,,rúg
1522,verstehen::V,,ért
1523,verstehen::V,,megért
