,Concept_ID,sah,ady
336,Schritt::N,хардыы,лъэубэ́къу
337,Norden::N,хоту,темы́р
338,Süden::N,соҕуруу,къыблэ́
339,Westen::N,арҕаа,тыгъэкъохьа́пӏ
340,Osten::N,илин,тыгьэкъокӏы́пӏ
341,Holz::N,мас,чъыгы́
342,Brett::N,дуоска,пхъэ́мбгъу
343,Brett::N,хаптаһын,пхъэ́мбгъу
344,Platte::N,билиитэ,упсыхьагъ
345,Stütze::N,тулааһын,кӏэгъэкъон
346,Stange::N,ураҕас,къорэ́гъ
347,Stock::N,мас,бэщ
348,Stock::N,баалкы,бэщ
349,Stab::N,ураҕас,бэщ кӏы́хь
350,Rohr::N,турба,онджэкъ
351,Haus::N,дьиэ,унэ́
352,Heim::N,дьиэ,унэ́
353,Ofen::N,оһох,гъэжъэн
354,Fußboden::N,муоста,джэхашъу
355,Tisch::N,остуол,стол
356,Stuhl::N,устуул,пхъэнтӏэ́кӏу
357,Wiege::N,биһик,кушъэ́
358,Bett::N,кырабаат,пӏэкӏо́р
359,Regal::N,долбуур,мэкӏай
360,Kiste::N,дьааһык,ящык
361,Fenster::N,түннүк,шъхьаныгъу́пчъ
362,Tür::N,аан,пчъэ
363,Tor::N,аан,къэла́пчъ
364,Zaun::N,соппулуот,шӏыхьагъэ́
365,Dach::N,кырыыса,шъхьэ́
366,Leiter::N,кирилиэс,лъэо́й
367,Leiter::N,кирилиэс,дэкӏояпӏэ́
368,Besen::N,миинньик,пхъэнкӏы́пхъ
369,Spaten::N,күрдьэх,къазгъы́р
370,Schaufel::N,күрдьэх,хэӏалъ
371,Gabel::N,биилкэ,цацэ
372,Löffel::N,луоска,джэмы́шх
373,Messer::N,быһах,шъэжъы́й
374,Nagel::N,тоһоҕо,гъучӏыӏу́н
375,Netz::N,илим,хъытыу
376,Haken::N,көхө,хьажтӏаркъу
377,Griff::N,ук,къопс
378,Griff::N,тутаах,къопс
379,Schloss::N,күлүүс,ӏункӏы́бз
380,Bild::N,хартыына,сурэ́т
381,Figur::N,фигура,
382,Puppe::N,куукула,нысхъа́п
383,Beutel::N,мөһөөччук,дзыо́
384,Bündel::N,баайыы,
385,Tasche::N,суумка,ӏэлъмэ́къ
386,Eimer::N,биэдэрэ,щалъ
387,Deckel::N,хаппах,шъхьэ
388,Geschirr::N,иһит,хьакъу-шыкъу
389,Sack::N,куул,дзыо́
390,Tasse::N,сэлиэнэй,чашк
391,Topf::N,көстүрүүҥкэ,кастрюль
392,Kessel::N,хочуол,шыуа́н
393,Essen::N,аһылык,шхэн
394,Nahrung::N,ас,шхэн
395,Speise::N,аһылык,шхыныгъу
396,Fleisch::N,эт,лы
397,Getreide::N,злактар,лэжьыгъацэ́
398,Brei::N,хааһы,пӏастэ́
399,Brot::N,килиэп,хьалыгъу
400,Scheibe::N,куһуок,такъы́р
401,Fett::N,сыа,дагъэ́
402,Butter::N,арыы,тхъу
403,Öl::N,арыы,тхъу
404,Salz::N,туус,щыгъу
405,Suppe::N,мин,хьантхъупс
406,Honig::N,мүөт,шъоу́
407,Milch::N,үүт,щэ
408,Tee::N,чэй,щай
409,Leder::N,тирии,кӏы́шъу
410,Wolle::N,түү,цы
411,Stoff::N,таҥас,шэкӏы
412,Nadel::N,иннэ,бгъэ́хаӏу
413,Faden::N,сап,ӏуда́н
