,Concept_ID,ro,ko
525,Schmerz::N,durere,아픔고통
526,Wunde::N,rană,상처
527,Fieber::N,febră,열별
528,Arznei::N,leac,약
529,Arznei::N,medicament,약
530,Brücke::N,pod,교량
531,Brücke::N,punte,교량
532,Brunnen::N,puț,원천
533,Weide::N,izlaz,목장
534,Weide::N,pășune,목장
535,Pfad::N,cărare,좁은길
536,Weg::N,drum,길
537,Straße::N,cale,길
538,Straße::N,stradă,길
539,Dorf::N,sat,촌
540,Dorf::N,sat,촌락
541,Stadt::N,oraș,도시
542,Brief::N,scrisoare,서한
543,Buch::N,carte,책
544,Buchstabe::N,literă,문자
545,Buchstabe::N,caracter,문자
546,Zeitung::N,ziar,신문
547,Zeitung::N,gazetă,신문
548,Leben::N,viață,삶
549,Tod::N,moarte,죽음
550,Grab::N,groapă,무덤
551,Grab::N,mormânt,무덤
552,Kirche::N,biserică,교회
553,Sünde::N,păcat,부정
554,Gott::N,zeu,하느님
555,Arbeiter::N,muncitor,일하는사람
556,Chef::N,șef,사장
557,Meister::N,meșter,명인
558,Meister::N,meșter,대가
559,Meister::N,maestru,명인
560,Meister::N,maestru,대가
561,Arzt::N,medic,의사
562,Arzt::N,doctor,의사
563,Lehrer::N,profesor,교사
564,Lehrer::N,învățător,교사
565,Geld::N,bani,돈
566,Geld::N,parale,돈
567,Geschäft::N,treabă,일
568,Geschäft::N,afacere,일
569,Laden::N,magazin,가게
570,Laden::N,prăvălie,가게
571,Preis::N,preț,가격
572,Ware::N,marfă,상품
573,Nutzen::N,folos,이익
574,Nutzen::N,profit,이익
575,Reichtum::N,avuție,많음
576,Reichtum::N,bogăție,많음
577,Welt::N,lume,세상
578,Land::N,țară,지방
579,Staat::N,stat,국가
580,König::N,rege,국왕
581,Macht::N,putere,힘
582,Macht::N,putință,힘
583,Grenze::N,hotar,국경
584,Grenze::N,graniță,국경
585,Grenze::N,frontieră,국경
586,Krieg::N,război,전쟁
587,Feind::N,dușman,적
588,Gewalt::N,violență,권력
589,Kampf::N,luptă,전투
590,Bogen[Waffe]::N,arc,활
591,Pfeil::N,săgeată,화살
592,Gewehr::N,armă,무기
593,Gewehr::N,pușcă,무기
594,Fehler::N,eroare,오류
595,Fehler::N,greșeală,오류
596,Lüge::N,minciună,거짓말
597,Schaden::N,daună,손상
598,Schaden::N,pagubă,손상
599,Unglück::N,nenorocire,불행
600,Schuld::N,vină,부채
601,Alter::N,etate,연령
602,Alter::N,vârstă,연령
603,Schluss::N,sfârșit,마감
604,Zeit::N,timp,때
605,Zeit::N,timp,시간
606,Zeit::N,vreme,때
607,Zeit::N,vreme,시간
608,Tag::N,zi,하루
609,Morgen::N,dimineață,이침
610,Mittag::N,prânz,대낮
611,Mittag::N,amiază,대낮
612,Abend::N,seară,저녁
613,Nacht::N,noapte,밤
614,Woche::N,săptămână,근무일
615,Monat::N,lună,달
616,Jahr::N,an,해
617,Frühling::N,primăvară,봄
618,Sommer::N,vară,여름
619,Herbst::N,toamnă,가을
620,Winter::N,iarnă,겨울
621,Januar::N,ianuarie,일월
622,Februar::N,februarie,이월
623,März::N,martie,삼월
624,April::N,aprilie,사월
625,Mai::N,mai,오월
626,Juni::N,iunie,유월
627,Juli::N,iulie,칠월
628,August::N,august,팔월
629,September::N,septembrie,구월
630,Oktober::N,octombrie,시월
631,November::N,noiembrie,십일월
632,Dezember::N,decembrie,십이월
633,Montag::N,luni,월요일
634,Dienstag::N,marți,화요일
635,Mittwoch::N,miercuri,수요일
636,Donnerstag::N,joi,모교일
637,Freitag::N,vineri,그묘일
638,Samstag::N,sâmbătă,토요일
639,Sonntag::N,duminică,일요일
640,groß::A,mare,큰
641,klein::A,mic,자근
642,lang::A,lung,긴
643,kurz::A,scurt,짧은
644,breit::A,lat,넓은
645,breit::A,larg,넓은
646,schmal::A,strâmt,좁은
647,dicht::A,des,농밀한
648,dick[Gegenstand]::A,gros,두꺼운
649,dünn::A,subțire,얇은
650,fein::A,fin,미세한
651,fein::A,subțire,미세한
652,fest::A,tare,굳은
653,fest::A,solid,굳은
654,flach::A,șes,얕은
655,flach::A,plan,얕은
656,glatt::A,lins,반들반들한
657,hart::A,dur,굳은
658,weich::A,moale,연한
659,rund::A,rotund,둥근
660,rund::A,circular,둥근
661,spitz::A,ascuțit,뾰족한
662,scharf::A,tăios,날카로운
663,scharf::A,ascuțit,날카로운
664,stumpf::A,tocit,무딘
665,schwer::A,greu,무거운
666,schön::A,frumos,멋진
667,heiß::A,cald,뜨거운
668,heiß::A,fierbinte,뜨거운
669,warm::A,cald,따뜻한
670,warm::A,fierbinte,따뜻한
