,Concept_ID,mrj,br
409,Leder::N,шарга,lêr
410,Leder::N,кавашты,lêr
411,Wolle::N,миж,gloan
412,Stoff::N,матер,danvez
413,Stoff::N,матери,danvez
414,Nadel::N,им,nadoz
415,Faden::N,шӹртӹ,neudenn
416,Knopf::N,полдыш,bouton
417,Knoten::N,пӱкшем,skoulm
418,Farbe::N,чиӓ,liv
419,Farbe::N,крӓскӓ,liv
420,Kleidung::N,выргем,dilhad
421,Hemd::N,тыгыр,roc'hed
422,Kragen::N,шӱ,gouzoug
423,Ärmel::N,шокш,milgin
424,Hose::N,ялаш,bragoù
425,Gürtel::N,ӹштӹ,gouriz
426,Mütze::N,упш,boned
427,Schuh::N,ту́фльы,botez
428,Stiefel::N,кем,botez
429,Ring::N,шӓргӓш,gwalenn
430,Band::N,лемтӓ,bagad
431,Kamm::N,шерге,krib
432,Spiegel::N,тӹгӹр,melezour
433,Riemen::N,прӓжӓ,lerenn
434,Schnur::N,кӓндӹра,kordenn
435,Leine::N,керем,roll
436,Decke::N,одеял,golo
437,Kissen::N,кӹпцӹк,goubenner
438,Tuch::N,савыц,mezher
439,Handtuch::N,шӹргӹсавыц,toailhon
440,Handtuch::N,шӹргӹмсавыц,toailhon
441,Kraft::N,ви,nerzh
442,Stärke::N,ви,nerzhder
443,Gesundheit::N,шу,yec'hed
444,Gesundheit::N,шулык,yec'hed
445,Krankheit::N,мыж,klañved
446,Schmerz::N,карштыш,poan
447,Schmerz::N,карштыш,droug
448,Wunde::N,шушыр,gloazadenn
449,Fieber::N,ӱштӹмыж,terzhienn
450,Arznei::N,лекӓрцӹ,louzoù
451,Brücke::N,кӹвер,pont
452,Brunnen::N,вӹдсӹнзӓ,puñs
453,Weide::N,ныр,prad
454,Pfad::N,ялгорны,gwenodenn
455,Weg::N,корны,hent
456,Straße::N,корны,ru
457,Straße::N,корны,hent
458,Dorf::N,сола,kêr
459,Dorf::N,сола,kêriadenn
460,Stadt::N,города,kêr
461,Brief::N,сирмӓш,lizher
462,Buch::N,книгӓ,levr
463,Buchstabe::N,буква́,lizherenn
464,Zeitung::N,газет,kazetenn
465,Zeitung::N,кайзет,kazetenn
466,Leben::N,житя,buhez
467,Tod::N,смöрт,marv
468,Grab::N,шӹгер,bez
469,Grab::N,мыгилӓ,bez
470,Grab::N,шӹгерлӓ,bez
471,Kirche::N,церкӹ,iliz
472,Sünde::N,сулык,pec'hed
473,Gott::N,йымы,doue
474,Arbeiter::N,пӓшӓзӹ,labourer
475,Arbeiter::N,пӓшӓзӹ,micherour
476,Chef::N,вуй,penn
477,Meister::N,мастар,mestr
478,Arzt::N,доктор,mezeg
479,Arzt::N,доктор,medisin
480,Lehrer::N,тымдышы,skolaer
481,Lehrer::N,тымдышы,kelenner
482,Geld::N,окса,arc'hant
483,Geschäft::N,торге́йӹмӓш,stal
484,Laden::N,лапка,stal
485,Laden::N,магазин,stal
486,Preis::N,ӓк,priz
487,Ware::N,товар,marc'hadourezh
488,Nutzen::N,пайда,gounidegezh
489,Nutzen::N,пайда,lañs
490,Nutzen::N,пайда,profit
491,Nutzen::N,пайда,spleit
492,Reichtum::N,перке,pinvidigezh
493,Welt::N,сӓндӓлӹк,douar
494,Welt::N,свет,douar
495,Land::N,сӓндӓлӹк,bro
496,Staat::N,кугижӓншӹ,stad
497,König::N,король,roue
498,Macht::N,власть,galloud
499,Grenze::N,пӹсмӓн,harzoù
500,Krieg::N,вырсы,brezel
501,Feind::N,тышман,eneber
502,Gewalt::N,ви,tâerder
503,Kampf::N,кредӓлмӓш,kann
504,Bogen[Waffe]::N,янгеж,gwareg
505,Pfeil::N,пикш,saezh
506,Gewehr::N,пичӓл,fuzuilh
507,Fehler::N,самынь,fazi
508,Lüge::N,шая,gaou
509,Schaden::N,вре́дӓ,gwall
510,Unglück::N,пёда,gwalleur
511,Unglück::N,тымаша,gwalleur
512,Schuld::N,вуйнамат,kablusted
513,Schuld::N,вуйнамат,pec'hedigezh
514,Alter::N,иӓш,oad
515,Alter::N,игечӹ,oad
516,Schluss::N,пӹтӓртӹш,diwezh
517,Zeit::N,веремӓ,amzer
518,Tag::N,кечӹ,deizh
519,Morgen::N,ир,beure
520,Morgen::N,ир,mintin
521,Morgen::N,ирок,beure
522,Morgen::N,ирок,mintin
523,Mittag::N,кечӹвӓл,kreisteiz
524,Abend::N,вады,abardaez
525,Nacht::N,йыд,noz
526,Woche::N,ӓрня,sizhun
527,Monat::N,тӹ́лзӹ,miz
528,Jahr::N,год,bloaz
529,Frühling::N,шошым,nevezamzer
530,Sommer::N,кӓнгӹж,hañv
531,Herbst::N,шӹжӹ,diskaramzer
532,Winter::N,тел,goañv
533,Winter::N,телӹ,goañv
