,Concept_ID,kv,pl
634,geizig::A,горшаліcь,skąpy
635,klug::A,авья,mądry
636,klug::A,вежӧра,mądry
637,geschickt::A,кипода,zręczny
638,lieb::A,муса,miły
639,lieb::A,дзулиньӧй,miły
640,lustig::A,гажа,wesoły
641,sanft::A,лебезнӧй,łagodny
642,hungrig::A,тшыг,głodny
643,krank::A,шогалiсь,chory
644,nackt::A,куш,nagi
645,traurig::A,жугыль,smutny
646,lebendig::A,ловья,żywy
647,gut::A,бур,dobry
648,schlecht::A,умӧль,zły
649,schlimm::A,нештӧм,zły
650,alt::A,важ,stary
651,neu::A,виль,nowy
652,ehemalig::A,вӧвлӧм,były
653,alt[Lebewesen]::A,года,stary
654,alt[Lebewesen]::A,годдэза,stary
655,jung::A,том,młody
656,arm::A,гов,ubogi
657,arm::A,гов,biedny
658,arm::A,беднӧй,ubogi
659,arm::A,беднӧй,biedny
660,reich::A,эма,bogaty
661,bekannt::A,тӧдса,znany
662,fremd::A,чужӧй,obcy
663,fremd::A,чужӧй,cudzy
664,verschieden::A,быдкодь,różny
665,nah::A,матiсь,bliski
666,fern::A,ылicь,daleki
667,linker::A,шульга,lewy
668,rechter::A,веськытланись,prawy
669,anderer::A,мукӧд,inny
670,erster::A,медодзза,pierwszy
671,zweiter::A,кыкӧт,drugi
672,dritter::A,куимӧт,trzeci
673,dritter::A,куимӧдз,trzeci
674,letzter::A,бӧрья,ostatni
675,letzter::A,мёдбӧрья,ostatni
676,auf einmal::ADV,тшӧтш,naraz
677,zusammen::ADV,ӧтлаын,razem
678,lange::ADV,дыр,długo
679,plötzlich::ADV,друг,nagle
680,sofort::ADV,тшӧтш,natychmiast
681,später::ADV,медбӧрын,później
682,jetzt::ADV,ӧні,teraz
683,jetzt::ADV,ӧні,obecnie
684,heute::ADV,талун,dziś
685,heute::ADV,талун,dzisiaj
686,morgen::ADV,ашын,jutro
687,bald::ADV,чожа,wkrótce
688,dann::ADV,сыбӧрын,potem
689,gestern::ADV,тӧн,wczoraj
690,einst::ADV,ӧтпыр,kiedyś
691,einst::ADV,ӧтпыр,niegdyś
692,damals::ADV,сэк,wtedy
693,damals::ADV,сэк,wówczas
694,damals::ADV,сэки,wtedy
695,damals::ADV,сэки,wówczas
696,danach::ADV,сэсся,następnie
697,vorher::ADV,одзжык,przedtem
698,zuerst::ADV,наперво,naprzód
699,zuerst::ADV,наперво,najpierw
700,einmal::ADV,ӧтпыр,raz
701,manchmal::ADV,мукӧдпыр,czasem
702,oft::ADV,-лы-,często
703,immer::ADV,быдпыр,zawsze
704,immer::ADV,быдпырся,zawsze
705,niemals::ADV,некӧр,nigdy
706,hier::ADV,татӧн,tu
707,hier::ADV,татӧн,tutaj
708,hierhin::ADV,татчӧ,tu
709,von hier::ADV,тасянь,stąd
710,dort::ADV,сэтӧн,tam
711,dorthin::ADV,сэтчин,tam
712,geradeaus::ADV,веськыта,prosto
713,vorwärts::ADV,одзӧ,naprzód
714,rückwärts::ADV,бӧр,wstecz
715,zurück::ADV,бӧр,z powrotem
716,unten::ADV,увтын,u dołu
717,unten::ADV,увтын,na dole
718,hinab::ADV,увтас,na_dół
719,hinab::ADV,увтас,w_dół
720,oben::ADV,вевдӧрас,w górze
721,oben::ADV,вевдӧрас,na górze
722,hinauf::ADV,вывлань,w górę
723,hinauf::ADV,вывлань,na górę
724,hinauf::ADV,вывланьӧ,w górę
725,hinauf::ADV,вывланьӧ,na górę
726,überall::ADV,быдлан,wszędzie
727,nicht::ADV,ог,nie
728,ein wenig::ADV,-ышт,trochę
729,ein wenig::ADV,невна,trochę
730,kaum::ADV,ӧдва,ledwie
731,kaum::ADV,ӧдва,prawie nie
732,sehr::ADV,вывтi,bardzo
733,so::ADV,сiдз,tak
734,noch::ADV,эшӧ,jeszcze
735,nur::ADV,только,tylko
736,schon::ADV,ни,już
737,wieder::ADV,бӧра,znów
738,wieder::ADV,бӧра,znowu
739,vergebens::ADV,весись,na próżno
740,vor::PRP,одзас,przed
741,hinter::PRP,бӧрӧ,za
742,unter::PRP,увтын,pod
743,durch::PRP,пыр,przez
744,neben::PRP,бокам,obok
745,neben::PRP,боксиным,obok
746,zwischen::PRP,коласас,między
747,wegen::PRP,понда,z powodu
748,dies::PRN,эта,to
749,das::PRN,сiя,to
750,alles::PRN,быдӧс,wszystko
751,ich::PRN,ме,ja
752,du::PRN,тэ,ty
753,er::PRN,сiя,on
754,wir::PRN,мийӧ,my
755,ihr::PRN,ті,wy
756,sie::PRN,нія,oni
757,was::FPRN,мый,co
758,wer::FPRN,кин,kto
759,wo::FADV,кытӧн,gdzie
760,wohin::FADV,кытчӧ,dokąd
761,wie::FADV,дзик,jak
762,warum::FADV,мыля,dlaczego
763,warum::FADV,мыйсянь,dlaczego
764,wieviel::FNUM,мымда,ile
765,eins::NUM,ӧт,jeden
766,zwei::NUM,кык,dwa
767,drei::NUM,куим,trzy
768,vier::NUM,нёль,cztery
769,fünf::NUM,вит,pięć
770,sechs::NUM,квать,sześć
771,sieben::NUM,сизим,siedem
772,acht::NUM,кыкьямыс,osiem
773,neun::NUM,ӧкмыс,dziewięć
774,zehn::NUM,дас,dziesięć
775,elf::NUM,дасотік,jedenaście
776,zwölf::NUM,даскык,dwanaście
777,zwanzig::NUM,кыкдас,dwadzieścia
778,dreißig::NUM,куимдас,trzydzieści
779,vierzig::NUM,нёльдас,czterdzieści
780,fünfzig::NUM,витдас,pięćdziesiąt
781,sechzig::NUM,кватьдас,sześćdziesiąt
782,siebzig::NUM,сизимдас,siedemdziesiąt
783,achtzig::NUM,кыкьямысдас,osiemdziesiąt
784,neunzig::NUM,ӧкмысдас,dziewięćdziesiąt
785,hundert::NUM,сто,sto
786,tausend::NUM,тысяча,tysiąc
787,und::CNJ,и,i
788,und::CNJ,да,i
789,oder::CNJ,или,lub
790,oder::CNJ,или,albo
791,stehen::V,сулавны,stać
