,Concept_ID,zh,hr
411,Messer::N,刀,nož
412,Nagel::N,钉子,čavao
413,Netz::N,网,mreža
414,Haken::N,钩子,kuka
415,Griff::N,把柄,držak
416,Griff::N,把柄,ručica
417,Schloss::N,锁,brava
418,Bild::N,图画,slika
419,Figur::N,人像,figura
420,Puppe::N,娃娃,lutka
421,Beutel::N,袋子,kesa
422,Bündel::N,捆,snop
423,Bündel::N,捆,svežanj
424,Tasche::N,手提包,torba
425,Tasche::N,手提包,taška
426,Eimer::N,桶,kabao
427,Deckel::N,盖子,poklopac
428,Geschirr::N,餐具,suđe
429,Geschirr::N,餐具,posuđe
430,Sack::N,袋子,džak
431,Sack::N,袋子,vreća
432,Tasse::N,杯子,šalica
433,Topf::N,锅,lonac
434,Kessel::N,水壶,kazan
435,Essen::N,进餐,obrok
436,Nahrung::N,食物,hrana
437,Speise::N,菜肴,jelo
438,Fleisch::N,肉,meso
439,Getreide::N,谷物,žito
440,Getreide::N,谷物,žitarice
441,Brei::N,粥,kaša
442,Brot::N,面包,kruh
443,Scheibe::N,片,kriška
444,Fett::N,脂肪,mast
445,Fett::N,脂肪,salo
446,Butter::N,黄油,buter
447,Butter::N,黄油,maslac
448,Öl::N,油,ulje
449,Salz::N,盐,sol
450,Suppe::N,汤,supa
451,Honig::N,蜂蜜,med
452,Milch::N,奶,mlijeko
453,Tee::N,茶,čaj
454,Leder::N,皮革,koža
455,Wolle::N,毛线,vuna
456,Stoff::N,织物,štof
457,Stoff::N,织物,tkanina
458,Nadel::N,针,igla
459,Faden::N,线,nit
460,Faden::N,线,konac
461,Knopf::N,纽扣,dugme
462,Knoten::N,结,čvor
463,Knoten::N,结,uzao
464,Farbe::N,颜色,farba
465,Kleidung::N,衣服,odjeća
466,Hemd::N,衬衫,košulja
467,Kragen::N,领子,ovratnik
468,Ärmel::N,袖子,rukav
469,Hose::N,裤子,hlače
470,Gürtel::N,腰带,pas
471,Gürtel::N,腰带,pojas
472,Mütze::N,帽子,kapa
473,Schuh::N,鞋,cipela
474,Stiefel::N,靴子,čizma
475,Ring::N,戒指,prsten
476,Band::N,带子,vrpca
477,Kamm::N,梳子,češalj
478,Spiegel::N,镜子,zrcalo
479,Spiegel::N,镜子,ogledalo
480,Riemen::N,皮带,kaiš
481,Riemen::N,皮带,remen
482,Schnur::N,绳子,vrpca
483,Leine::N,皮带,uzica
484,Decke::N,被子,ćebe
485,Decke::N,被子,pokrivač
486,Kissen::N,软垫,jastuk
487,Tuch::N,巾,rubac
488,Tuch::N,巾,marama
489,Handtuch::N,手巾,ručnik
490,Kraft::N,力,snaga
491,Stärke::N,力量,jakost
492,Gesundheit::N,健康,zdravlje
493,Krankheit::N,病,bolest
494,Schmerz::N,痛,bol
495,Wunde::N,伤口,rana
496,Fieber::N,发烧,groznica
497,Arznei::N,药,lijek
498,Brücke::N,桥,most
499,Brücke::N,桥,ćuprija
500,Brunnen::N,井,bunar
501,Brunnen::N,井,zdenac
502,Weide::N,牧场,paša
503,Weide::N,牧场,pašnjak
504,Pfad::N,小路,staza
505,Weg::N,路,put
506,Straße::N,街,drum
507,Straße::N,街,cesta
508,Dorf::N,村庄,selo
509,Stadt::N,城市,grad
510,Stadt::N,城市,varoš
511,Brief::N,信,list
512,Brief::N,信,pismo
513,Buch::N,书,knjiga
514,Buchstabe::N,字母,slovo
515,Zeitung::N,报纸,novine
516,Leben::N,生命,život
517,Tod::N,死亡,smrt
518,Grab::N,坟墓,raka
519,Kirche::N,教堂,crkva
520,Sünde::N,罪,grijeh
521,Gott::N,上帝,bog
522,Arbeiter::N,工人,radnik
523,Chef::N,上司,šef
524,Meister::N,师傅,majstor
525,Arzt::N,医生,liječnik
526,Lehrer::N,教师,učitelj
527,Geld::N,钱,novac
528,Geschäft::N,交易,posao
529,Geschäft::N,交易,trgovina
530,Laden::N,商店,dućan
531,Preis::N,价格,cijena
532,Ware::N,商品,roba
533,Nutzen::N,好处,korist
534,Reichtum::N,财富,bogatstvo
535,Welt::N,世界,svijet
536,Land::N,国家,zemlja
537,Staat::N,国家,država
538,König::N,国王,kralj
539,Macht::N,权力,moć
540,Macht::N,权力,vlast
541,Grenze::N,边界,granica
542,Krieg::N,战争,rat
543,Feind::N,敌人,neprijatelj
544,Gewalt::N,暴力,sila
545,Gewalt::N,暴力,nasilje
546,Kampf::N,战斗,boj
547,Kampf::N,战斗,borba
548,Bogen[Waffe]::N,弓,luk
549,Pfeil::N,箭,strijela
550,Gewehr::N,枪,puška
551,Fehler::N,错误,pogreška
552,Fehler::N,错误,griješka
553,Lüge::N,谎话,laž
554,Schaden::N,损失,šteta
555,Unglück::N,不幸,nesreća
556,Schuld::N,过错,krivnja
557,Alter::N,年龄,dob
558,Schluss::N,结束,kraj
559,Schluss::N,结束,konac
560,Zeit::N,时间,doba
561,Zeit::N,时间,vrijeme
562,Tag::N,天,dan
563,Morgen::N,早晨,jutro
564,Mittag::N,中午,podne
565,Abend::N,晚上,veče
566,Abend::N,晚上,večer
567,Nacht::N,夜,noć
568,Woche::N,星期,sedmica
569,Monat::N,月,mjesec
570,Jahr::N,年,godina
571,Frühling::N,春天,proljeće
572,Sommer::N,夏天,ljeto
573,Herbst::N,秋天,jesen
574,Winter::N,冬天,zima
575,Januar::N,一月,januar
576,Januar::N,一月,siječanj
577,Februar::N,二月,veljača
578,Februar::N,二月,februar
579,März::N,三月,mart
580,März::N,三月,ožujak
581,April::N,四月,april
582,April::N,四月,travanj
583,Mai::N,五月,maj
584,Mai::N,五月,svibanj
585,Juni::N,六月,juni
586,Juni::N,六月,lipanj
587,Juli::N,七月,juli
588,Juli::N,七月,srpanj
589,August::N,八月,august
590,August::N,八月,kolovoz
591,September::N,九月,rujan
592,September::N,九月,septembar
593,Oktober::N,十月,oktobar
594,Oktober::N,十月,listopad
595,November::N,十一月,studeni
596,November::N,十一月,novembar
597,Dezember::N,十二月,prosinac
598,Montag::N,星期一,ponedjeljak
599,Montag::N,星期一,ponedjeljnik
600,Dienstag::N,星期二,utorak
601,Dienstag::N,星期二,utornik
602,Mittwoch::N,星期三,srijeda
603,Donnerstag::N,星期四,četvrtak
604,Freitag::N,星期五,petak
605,Samstag::N,星期六,subota
606,Sonntag::N,星期日,nedjelja
607,groß::A,大,velik
608,klein::A,小,mali
609,klein::A,小,malen
610,lang::A,长,dug
611,lang::A,长,dugačak
612,kurz::A,短,kratak
613,breit::A,宽,širok
614,schmal::A,细长的,uski
615,schmal::A,细长的,uzak
616,dicht::A,密,gust
617,dick[Gegenstand]::A,厚,debeo
618,dünn::A,薄,tanak
619,fein::A,细小,fin
620,fein::A,细小,tanak
621,fest::A,固体,čvrst
622,flach::A,平坦,ravan
623,flach::A,平坦,plosnat
624,glatt::A,光滑,gladak
625,hart::A,硬,tvrd
626,weich::A,软,mek
627,weich::A,软,mekan
628,rund::A,圆,okrugao
629,spitz::A,尖,oštar
630,spitz::A,尖,šiljast
631,scharf::A,锋利,oštar
632,scharf::A,锋利,bridak
633,stumpf::A,钝,tup
634,schwer::A,重,težak
635,schön::A,美丽,krasan
636,heiß::A,烫,vruć
637,warm::A,暖和,topao
638,kalt::A,冷,hladan
639,kühl::A,凉,hladan
640,frisch::A,新鲜,svjež
641,feucht::A,潮湿,vlažan
642,nass::A,湿,mokar
643,trocken::A,干,suh
644,voll::A,满,pun
645,leer::A,空,prazan
646,offen::A,敞开,otvoren
647,geschlossen::A,关闭,zatvoren
648,sauber::A,干净,čist
649,schmutzig::A,肮脏,nečist
650,schmutzig::A,肮脏,blatan
651,roh::A,生,sirov
652,reif::A,成熟,zreo
653,lecker::A,好吃,tečan
654,lecker::A,好吃,ukusan
655,süß::A,甜,sladak
656,bitter::A,苦,gorak
657,sauer::A,酸,kiseo
658,hell::A,亮,vedar
659,hell::A,亮,svijetao
660,dunkel::A,阴暗,taman
661,schwarz::A,黑,crn
662,weiß::A,白,bio
663,weiß::A,白,bijel
664,rot::A,红,crven
665,gelb::A,黄,žut
666,blau::A,蓝,plav
667,blau::A,蓝,modar
668,grün::A,绿,zelen
669,grau::A,灰色,siv
670,bunt::A,五彩,šaren
671,billig::A,便宜,jeftin
672,teuer::A,贵,skup
673,wertvoll::A,贵重,vrijedan
674,wertvoll::A,贵重,dragocjen
675,blind::A,瞎,slijep
676,taub::A,聋,gluh
677,kräftig::A,强壮,snažan
678,stark::A,强壮,jak
679,stark::A,强壮,snažan
680,schwach::A,弱,slab
681,fett::A,胖,pretio
682,schlank::A,苗条,vitak
683,hübsch::A,漂亮,zgodan
684,böse::A,邪恶,zao
685,böse::A,邪恶,opak
686,dumm::A,笨,glup
687,faul::A,懒惰,lijen
688,fleißig::A,勤奋,radin
689,fleißig::A,勤奋,marljiv
690,geizig::A,吝啬,škrt
691,klug::A,聪明,razborit
692,geschickt::A,灵巧,vješt
693,lieb::A,可爱,drag
694,lustig::A,快乐,veseo
695,sanft::A,柔和,blag
696,hungrig::A,饥饿,gladan
697,krank::A,患病,bolestan
698,nackt::A,裸体,nag
699,traurig::A,悲哀,tužan
700,traurig::A,悲哀,žalostan
701,lebendig::A,活,živ
702,gut::A,好,dobar
703,schlecht::A,坏,loš
704,schlecht::A,坏,rđav
705,richtig::A,正确,tačan
706,richtig::A,正确,ispravan
707,schlimm::A,糟糕,zao
708,schlimm::A,糟糕,zločest
709,wahr::A,真,istinit
