,Concept_ID,sah,ca
554,Nacht::N,түүн,nit
555,Woche::N,нэдиэлэ,setmana
556,Monat::N,ый,mes
557,Jahr::N,сыл,any
558,Jahr::N,дьыл,any
559,Frühling::N,саас,primavera
560,Sommer::N,сайын,estīu
561,Herbst::N,күһүн,tardor
562,Winter::N,кыһын,hivērn
563,Januar::N,тохсунньу,gener
564,Februar::N,олунньу,febrer
565,März::N,кулун тутар,març
566,April::N,муус устар ый,abril
567,Mai::N,ыам ыйа,maig
568,Juni::N,бэс ыйа,juny
569,Juli::N,от ыйа,juliol
570,August::N,атырдьах ыйа,agost
571,September::N,балаҕан ыйа,setembre
572,Oktober::N,алтынньы,octubre
573,November::N,сэтинньи,novembre
574,Dezember::N,ахсынньы,desembre
575,Montag::N,бэнидиэнньик,dilluns
576,Dienstag::N,оптуорунньук,dimarts
577,Mittwoch::N,сэрэдэ,dimecres
578,Donnerstag::N,чэппиэр,dijous
579,Freitag::N,бээтинсэ,divendres
580,Samstag::N,субуота,dissabte
581,Sonntag::N,баскыһыанньа,diumenge
582,groß::A,бөдөҥ,gros
583,groß::A,улахан,gros
584,klein::A,кыр,petīt
585,lang::A,уһун,llarg
586,kurz::A,кылгас,curt
587,breit::A,кэтит,ample
588,schmal::A,кыараҕас,estret
589,dicht::A,хойуу,dens
590,dick[Gegenstand]::A,суон,gruixūt
591,dick[Gegenstand]::A,хойуу,gruixūt
592,dünn::A,чараас,prim
593,fein::A,бытархай,fi
594,fein::A,синньигес,fi
595,fest::A,бөҕө,ferm
596,fest::A,бөҕө,sòlid
597,fest::A,кытаанах,ferm
598,fest::A,кытаанах,sòlid
599,flach::A,хаптаҕай,pla
600,glatt::A,кылааккай,llis
601,hart::A,хатан,dur
602,hart::A,кытаанах,dur
603,weich::A,сымнаҕас,tou
604,rund::A,төгүрүк,rodó
605,spitz::A,сытыы,punxegut
606,spitz::A,уһуктаах,punxegut
607,scharf::A,сытыы,agut
608,stumpf::A,сыппах,rom
609,stumpf::A,сыппах,esmussat
610,schwer::A,ыарахан,pesāt
611,schön::A,кыраһыабай,bonīc
612,heiß::A,итии,calēnt
613,warm::A,ичигэс,càlid
614,kalt::A,тымныы,fred
615,kühl::A,сөрүүн,fresc
616,frisch::A,ыраас,fresc
617,frisch::A,сөрүүн,fresc
618,frisch::A,тымныы,fresc
619,feucht::A,сииктээх,humit
620,nass::A,инчэҕэй,mullat
621,trocken::A,кураан,sec
622,voll::A,толору,ple
623,leer::A,иччитэх,buit
624,offen::A,аһаҕас,obert
625,geschlossen::A,бүтэй,tancat
626,sauber::A,сэбэр,net
627,schmutzig::A,кирдээх,brut
628,roh::A,сиикэй,cru
629,reif::A,буспут,madur
630,reif::A,сиппит-хоппут,madur
631,lecker::A,минньигэс,deliciós
632,süß::A,минньигэс,dolç
633,bitter::A,аһыы,amarg
634,sauer::A,аһыы,agre
635,hell::A,сырдык,clar
636,dunkel::A,хараҥа,fosc
637,schwarz::A,хара,negre
638,weiß::A,үрүҥ,blanc
639,weiß::A,маҥан,blanc
640,rot::A,кыһыл,vermēll
641,gelb::A,саһархай,groc
642,blau::A,күөх,blau
643,grün::A,күөх,verd
644,grün::A,от күөҕэ,verd
645,grau::A,сиэрэй,gris
646,bunt::A,эриэн,multicolor
647,billig::A,чэпчэки,barat
648,teuer::A,сыаналаах,car
649,wertvoll::A,сыаналаах,preciós
650,blind::A,хараҕа суох,cec
651,taub::A,дьүлэй,sord
652,kräftig::A,модун,fort
653,kräftig::A,модун,vigorós
654,stark::A,күүстээх,fort
655,schwach::A,мөлтөх,feble
656,fett::A,эмис,gras
657,schlank::A,дьылҕан,esvelt
658,schlank::A,дьыпсаҕай,esvelt
659,hübsch::A,олус кэрэ,maco
660,hübsch::A,көрүөхтэн үчүгэй,maco
661,böse::A,өһүөннээх,dolent
662,dumm::A,акаары,ximple
663,dumm::A,акаары,estúpid
664,faul::A,нэс,gandūl
665,faul::A,нэс,mandrós
666,fleißig::A,кыһамньылаах,diligēnt
667,geizig::A,иҥсэлээх,avar
668,klug::A,өйдөөх,intel·ligent
669,geschickt::A,наһаа дьоҕурдаах,hàbil
670,lieb::A,тапталлаах,amat
671,lieb::A,тапталлаах,estimat
672,lustig::A,көрдөөх,alegre
673,sanft::A,намчы,suau
674,sanft::A,сымнаҕас,suau
675,hungrig::A,аччык,afamat
676,krank::A,ыалдьар,malālt
677,nackt::A,сыгынньах,nu
678,traurig::A,санаарҕабыллаах,trist
679,lebendig::A,тыыннаах,viu
680,gut::A,үтүө,bo
681,gut::A,үчүгэй,bo
682,schlecht::A,куһаҕан,dolēnt
683,richtig::A,сөп,just
684,richtig::A,сөп,correcte
685,schlimm::A,сидьиҥ,greu
686,schlimm::A,быдьар,greu
687,wahr::A,кырдьык,vertader
688,wahr::A,кырдьык,veritable
689,alt::A,былыргы,vell
690,neu::A,саҥа,nou
691,ehemalig::A,урукку,antic
692,alt[Lebewesen]::A,кырдьаҕас,vell
693,jung::A,эдэр,jove
694,arm::A,дьадаҥы,pobre
695,reich::A,баай,ric
696,bekannt::A,билэр,conegut
697,berühmt::A,аатырбыт,famós
698,fremd::A,атын,estrany
699,verschieden::A,араас,diferent
700,nah::A,чугас,pròxim
701,fern::A,ыраах,llunyà
702,fern::A,ыраах,distant
703,linker::A,хаҥас,esquerre
704,rechter::A,уҥа,dret
705,anderer::A,атын,altre
706,erster::A,маҥнайгы,primer
707,zweiter::A,иккис,segon
708,dritter::A,үһүс,tercer
709,letzter::A,тиһэх,últim
710,allein::ADV,соҕотох,sol
711,auf einmal::ADV,биирдэ,d'una vegada
712,zusammen::ADV,холбуу,junt
713,lange::ADV,уһуннук,molt de temps
714,plötzlich::ADV,эмискэ,de cop
715,plötzlich::ADV,эмискэ,de sobte
716,sofort::ADV,тута,de seguida
717,später::ADV,хойут,més tard
718,jetzt::ADV,билигин,ara
719,heute::ADV,бүгүн,avūi
720,morgen::ADV,сарсын,demà
721,bald::ADV,өтөр,aviāt
722,dann::ADV,кэнна,després
723,gestern::ADV,бэҕэһээ,ahir
724,einst::ADV,биир төгүл,anteriorment
725,einst::ADV,арай биирдэ,anteriorment
726,damals::ADV,оччоҕо,llavōrs
727,damals::ADV,оччоҕо,aleshores
728,danach::ADV,аары,després
729,danach::ADV,ол кэнниттэн,després
730,vorher::ADV,урут,abāns
731,zuerst::ADV,маҥнай,primer
732,einmal::ADV,биирдэ,una vegada
733,manchmal::ADV,арыт,de vegades
734,oft::ADV,чаастатык,sovint
735,immer::ADV,мэлдьи,sempre
736,niemals::ADV,хаһан да,no ... mai
737,hier::ADV,маныаха,aquí
738,hierhin::ADV,бэттэх,per aquí
739,von hier::ADV,мантан,des d'aquí
740,dort::ADV,онно,allí
741,dorthin::ADV,онно,hi
742,geradeaus::ADV,быһа,tot dret
743,geradeaus::ADV,быһаччы,tot dret
744,vorwärts::ADV,инники,endavānt
745,rückwärts::ADV,төттөру,endarrera
746,zurück::ADV,төттөрү,darrere
747,unten::ADV,аллара,a baix
748,hinab::ADV,аллара,cap avall
749,oben::ADV,үөһэ,dalt
750,hinauf::ADV,өрө,cap amunt
751,hinauf::ADV,үөһэ,cap amunt
752,überall::ADV,бэйдиэ,pertot
753,überall::ADV,бэйдиэ,per tot arreu
754,nicht::ADV,буолбатах,no
755,ein wenig::ADV,кыратык,una mica
756,kaum::ADV,нэһиилэ,a penes
757,sehr::ADV,бэрт,molt
758,sehr::ADV,наһаа,molt
759,so::ADV,оччо,així
760,so::ADV,оннук,així
761,noch::ADV,өссө,encara
762,nur::ADV,эрэ,només
763,nur::ADV,сыччах,només
764,schon::ADV,бэлиэр,ja
765,wieder::ADV,эмиэ,de nou
766,vergebens::ADV,таак,en va
767,vor::PRP,иннигэр,davānt
768,vor::PRP,иннигэр,enfront de
769,hinter::PRP,кэлин,darrera
770,unter::PRP,-ҕа,sota
771,unter::PRP,оһох түгэҕэ,sota
772,durch::PRP,курдары,per
773,neben::PRP,аттыгар,al costāt de
774,zwischen::PRP,ыккардынан,entre
775,wegen::PRP,уҥуортан,a causa de
776,dies::PRN,ити,aquest
777,dies::PRN,бу,aquest
778,das::PRN,били,això
779,alles::PRN,барыта,tot
780,ich::PRN,мин,jo
781,du::PRN,эн,tu
782,er::PRN,кнни,ell
783,wir::PRN,биһиги,nosaltres
784,ihr::PRN,эһиги,vosaltres
785,sie::PRN,кинилэр,ells
786,sie::PRN,кинилэр,elles
787,was::FPRN,туох,què
788,wer::FPRN,ким,qui
