,Concept_ID,de,da
364,Getreide::N,Getreide,korn
365,Brei::N,Brei,grød
366,Brot::N,Brot,brød
367,Scheibe::N,Scheibe,skive
368,Fett::N,Fett,fedt
369,Butter::N,Butter,smør
370,Öl::N,Öl,olie
371,Salz::N,Salz,salt
372,Suppe::N,Suppe,suppe
373,Honig::N,Honig,honning
374,Milch::N,Milch,mælk
375,Tee::N,Tee,te
376,Leder::N,Leder,skind
377,Wolle::N,Wolle,uld
378,Stoff::N,Stoff,stof
379,Nadel::N,Nadel,nål
380,Faden::N,Faden,tråd
381,Knopf::N,Knopf,knap
382,Knoten::N,Knoten,knude
383,Farbe::N,Farbe,farve
384,Kleidung::N,Kleidung,påklædning
385,Hemd::N,Hemd,skjorte
386,Kragen::N,Kragen,krave
387,Ärmel::N,Ärmel,ærme
388,Hose::N,Hose,bukser
389,Gürtel::N,Gürtel,bælte
390,Mütze::N,Mütze,hue
391,Schuh::N,Schuh,sko
392,Stiefel::N,Stiefel,støvle
393,Ring::N,Ring,ring
394,Band::N,Band,bånd
395,Kamm::N,Kamm,kam
396,Spiegel::N,Spiegel,spejl
397,Riemen::N,Riemen,rem
398,Schnur::N,Schnur,snor
399,Leine::N,Leine,snor
400,Decke::N,Decke,tæppe
401,Kissen::N,Kissen,pude
402,Tuch::N,Tuch,sjaltørklæde
403,Handtuch::N,Handtuch,håndklæde
404,Kraft::N,Kraft,kraft
405,Stärke::N,Stärke,styrke
406,Gesundheit::N,Gesundheit,sundhed
407,Krankheit::N,Krankheit,sygdom
408,Schmerz::N,Schmerz,smerte
409,Wunde::N,Wunde,sår
410,Fieber::N,Fieber,feber
411,Arznei::N,Arznei,medicin
412,Arznei::N,Arznei,lægemiddel
413,Brücke::N,Brücke,bro
414,Brunnen::N,Brunnen,brønd
415,Weide::N,Weide,græsgang
416,Pfad::N,Pfad,sti
417,Weg::N,Weg,vej
418,Straße::N,Straße,gade
419,Dorf::N,Dorf,landsby
420,Stadt::N,Stadt,by
421,Brief::N,Brief,brev
422,Buch::N,Buch,bog
423,Buchstabe::N,Buchstabe,bogstav
424,Zeitung::N,Zeitung,avis
425,Leben::N,Leben,liv
426,Tod::N,Tod,død
427,Grab::N,Grab,grav
428,Kirche::N,Kirche,kirke
429,Sünde::N,Sünde,synd
430,Gott::N,Gott,gud
431,Arbeiter::N,Arbeiter,arbejder
432,Chef::N,Chef,chef
433,Meister::N,Meister,mester
434,Arzt::N,Arzt,læge
435,Lehrer::N,Lehrer,lærer
436,Geld::N,Geld,penge
437,Geschäft::N,Geschäft,forretning
438,Laden::N,Laden,butik
439,Laden::N,Laden,forretning
440,Preis::N,Preis,pris
441,Ware::N,Ware,vare
442,Nutzen::N,Nutzen,nytte
443,Reichtum::N,Reichtum,rigdom
444,Welt::N,Welt,verden
445,Land::N,Land,land
446,Staat::N,Staat,stat
447,König::N,König,konge
448,Macht::N,Macht,magt
449,Grenze::N,Grenze,grænse
450,Krieg::N,Krieg,krig
451,Feind::N,Feind,fjende
452,Gewalt::N,Gewalt,vold
453,Kampf::N,Kampf,kamp
454,Bogen[Waffe]::N,Bogen,bue
455,Pfeil::N,Pfeil,pil
456,Gewehr::N,Gewehr,gevær
457,Fehler::N,Fehler,fejl
458,Lüge::N,Lüge,løgn
459,Schaden::N,Schaden,skade
460,Unglück::N,Unglück,uheld
461,Unglück::N,Unglück,ulykke
462,Schuld::N,Schuld,skyld
463,Alter::N,Alter,alder
464,Schluss::N,Schluss,slut
465,Schluss::N,Schluss,slutning
466,Zeit::N,Zeit,tid
467,Tag::N,Tag,dag
468,Morgen::N,Morgen,morgen
469,Mittag::N,Mittag,middag
470,Abend::N,Abend,aften
471,Nacht::N,Nacht,nat
472,Woche::N,Woche,uge
473,Monat::N,Monat,måned
474,Jahr::N,Jahr,år
475,Frühling::N,Frühling,forår
476,Sommer::N,Sommer,sommer
477,Herbst::N,Herbst,efterår
478,Winter::N,Winter,vinter
479,Januar::N,Januar,januar
480,Februar::N,Februar,februar
481,März::N,März,marts
482,April::N,April,april
483,Mai::N,Mai,maj
484,Juni::N,Juni,juni
485,Juli::N,Juli,juli
486,August::N,August,august
487,September::N,September,september
488,Oktober::N,Oktober,oktober
489,November::N,November,november
490,Dezember::N,Dezember,december
491,Montag::N,Montag,mandag
492,Dienstag::N,Dienstag,tirsdag
493,Mittwoch::N,Mittwoch,onsdag
494,Donnerstag::N,Donnerstag,torsdag
495,Freitag::N,Freitag,fredag
496,Samstag::N,Samstag,lørdag
497,Sonntag::N,Sonntag,søndag
