,Concept_ID,mn,da
273,Sinn::N,утга,betydning
274,Grund::N,учир,grund
275,Wahrheit::N,үнэн,sandhed
276,Gespräch::N,яриа,samtale
277,Märchen::N,явган үлгэр,eventyr
278,Erzählung::N,тууж,fortælling
279,Nachricht::N,мэдээ,efterretning
280,Neuigkeit::N,сонин,nyhed
281,Name::N,нэр,navn
282,Rätsel::N,оньсого,gåde
283,Rede::N,хэлсэн үг,tale
284,Sprache::N,хэл,sprog
285,Stimme::N,дуу,stemme
286,Wort::N,үг,ord
287,Zeichen::N,тамга,tegn
288,Zeichen::N,тэмдэг,tegn
289,Ruf::N,дуудлага,råb
290,Lärm::N,шуугиан,larm
291,Lärm::N,чимээ,larm
292,Laut::N,анир,lyd
293,Laut::N,дуу,lyd
294,Ton::N,авиа,tone
295,Ton::N,аялгуу,tone
296,Lied::N,дуу,sang
297,Ruhe::N,энх,ro
298,Ruhe::N,энх,hvile
299,Ruhe::N,тайван,ro
300,Ruhe::N,тайван,hvile
301,Leute::N,хүмүүс,folk
302,Leute::N,хүмүүс,mennesker
303,Volk::N,улс,folk
304,Arbeit::N,ажил,arbejde
305,Arbeit::N,хөдөлмөр,arbejde
306,Gast::N,зочин,gæst
307,Gast::N,айлчин,gæst
308,Geschenk::N,бэлэг,gave
309,Spiel::N,наадам,leg
310,Spiel::N,тоглоом,leg
311,Gesellschaft::N,хамт байх,selskab
312,Hilfe::N,тусламж,hjælp
313,Freund::N,найз,ven
314,Freund::N,нөхөр,ven
315,Kamerad::N,хань,kammerat
316,Kamerad::N,нөхөр,kammerat
317,Angelegenheit::N,хэрэг,sag
318,Angelegenheit::N,хэрэг,anliggende
319,Anzahl::N,тоо,antal
320,Art::N,төрөл,art
321,Art::N,янз,art
322,Stück::N,хэсэг,stykke
323,Teil::N,хувь,del
324,Teil::N,хэсэг,del
325,Hälfte::N,хагас,halvdel
326,Kreis::N,тойрог,cirkel
327,Kreis::N,хүрээ,cirkel
328,Kreuz::N,загалмай,kors
329,Kreuz::N,загалмай,kryds
330,Linie::N,шугам,linie
