,Concept_ID,lez,sah
657,schlecht::A,пис,куһаҕан
658,richtig::A,дуьз,сөп
659,schlimm::A,нифретлу,сидьиҥ
660,schlimm::A,нифретлу,быдьар
661,wahr::A,гьакъикъи,кырдьык
662,alt::A,эски,былыргы
663,alt::A,куьгьне,былыргы
664,neu::A,цӏийи,саҥа
665,ehemalig::A,виликан,урукку
666,alt[Lebewesen]::A,кьуьзуь,кырдьаҕас
667,jung::A,жегьил,эдэр
668,arm::A,кесиб,дьадаҥы
669,reich::A,девлетлу,баай
670,bekannt::A,чидай,билэр
671,berühmt::A,машгьур,аатырбыт
672,fremd::A,ччара,атын
673,verschieden::A,жуьреба-жуьре,араас
674,nah::A,мукьвал,чугас
675,fern::A,яргъал,ыраах
676,linker::A,чапла,хаҥас
677,rechter::A,эрчӏи,уҥа
678,anderer::A,маса,атын
679,anderer::A,муькуь,атын
680,erster::A,сад лагьай,маҥнайгы
681,zweiter::A,кьвед лагьай,иккис
682,dritter::A,пуд лагьай,үһүс
683,letzter::A,эхиримжи,тиһэх
684,allein::ADV,кьилди,соҕотох
685,zusammen::ADV,санал,холбуу
686,lange::ADV,яргъалди,уһуннук
687,plötzlich::ADV,садлагьана,эмискэ
688,sofort::ADV,гьасятда,тута
689,später::ADV,гуьгъуьнлай,хойут
690,jetzt::ADV,гила,билигин
691,heute::ADV,къе,бүгүн
692,morgen::ADV,пака,сарсын
693,bald::ADV,мукьва,өтөр
694,bald::ADV,мукьвара,өтөр
695,dann::ADV,ахпа,кэнна
696,gestern::ADV,накь,бэҕэһээ
697,einst::ADV,садра,биир төгүл
698,einst::ADV,садра,арай биирдэ
699,damals::ADV,а чӏавуз,оччоҕо
700,danach::ADV,ахпа,аары
701,danach::ADV,ахпа,ол кэнниттэн
702,vorher::ADV,вилик,урут
703,zuerst::ADV,сифте,маҥнай
704,einmal::ADV,садра,биирдэ
705,manchmal::ADV,гагь-гагь,арыт
706,oft::ADV,гзаф вахтара,чаастатык
707,immer::ADV,гьамиша,мэлдьи
708,niemals::ADV,са чӏавузни,хаһан да
709,niemals::ADV,са вахтундани,хаһан да
710,hier::ADV,ина,маныаха
711,hierhin::ADV,иниз,бэттэх
712,von hier::ADV,инай,мантан
713,dort::ADV,ана,онно
714,dorthin::ADV,аниз,онно
715,geradeaus::ADV,дуьз,быһа
716,geradeaus::ADV,дуьз,быһаччы
717,vorwärts::ADV,вилик,инники
718,vorwärts::ADV,виликди,инники
719,rückwärts::ADV,кьулухъ,төттөру
720,unten::ADV,агъада,аллара
721,hinab::ADV,агъуз,аллара
722,oben::ADV,винел,үөһэ
723,hinauf::ADV,виниз,өрө
724,hinauf::ADV,виниз,үөһэ
725,überall::ADV,вирина,бэйдиэ
726,nicht::ADV,ваъ,буолбатах
727,ein wenig::ADV,са тӏимил,кыратык
728,kaum::ADV,жизви,нэһиилэ
729,sehr::ADV,лап,бэрт
730,sehr::ADV,лап,наһаа
731,so::ADV,икӏ,оччо
732,so::ADV,икӏ,оннук
733,noch::ADV,гьеле,өссө
734,nur::ADV,анжах,эрэ
735,nur::ADV,анжах,сыччах
736,schon::ADV,хъувуна,бэлиэр
737,schon::ADV,мадни дардиз,бэлиэр
738,schon::ADV,мадни гуьтӏуьз,бэлиэр
739,schon::ADV,мадни гуьтӏуь я,бэлиэр
740,vergebens::ADV,нагьакь,таак
