,Concept_ID,cs,kv
585,scharf::A,ostrý,лэчыт
586,stumpf::A,tupý,ныж
587,schwer::A,těžký,сьӧкыт
588,schön::A,pěkný,басӧк
589,schön::A,krásný,басӧк
590,heiß::A,horký,жар
591,warm::A,teplý,шоныт
592,kalt::A,studený,кӧдзыт
593,kühl::A,chladný,сайкыт
594,frisch::A,svěží,виль
595,feucht::A,vlhký,вакодь
596,nass::A,mokrý,ва
597,trocken::A,suchý,кӧс
598,voll::A,plný,тыра
599,leer::A,prázdný,тыртӧм
600,offen::A,otevřený,оссьӧм
601,geschlossen::A,zavřený,игана
602,geschlossen::A,zavřený,пӧдана
603,sauber::A,čistý,сӧдз
604,sauber::A,čistý,сӧстӧм
605,schmutzig::A,špinavý,нятьӧсь
606,roh::A,syrový,путӧм
607,reif::A,zralý,кисьмалӧм
608,lecker::A,chutný,кӧра 
609,süß::A,sladký,чӧскыт
610,bitter::A,hořký,курыт
611,sauer::A,kyselý,шӧма 
612,hell::A,světlý,югыт
613,dunkel::A,temný,пемыт
614,schwarz::A,černý,сьӧд
615,weiß::A,bílý,чочком
616,rot::A,rudý,гӧрд
617,rot::A,červený,гӧрд
618,gelb::A,žlutý,веж
619,blau::A,modrý,лӧз
620,grün::A,zelený,веж
621,grau::A,šedý,руд
622,grau::A,šedý,бусӧй
623,grau::A,šedivý,руд
624,grau::A,šedivý,бусӧй
625,bunt::A,pestrý,быдрӧма
626,billig::A,levný,донтӧм
627,billig::A,laciný,донтӧм
628,teuer::A,drahý,дона
629,wertvoll::A,cenný,дона
630,blind::A,slepý,синтӧм
631,taub::A,hluchý,пельтӧм
632,kräftig::A,silný,вына
633,stark::A,silný,вына
634,schwach::A,slabý,некодя
635,fett::A,tučný,госа
636,fett::A,tlustý,госа
637,schlank::A,štíhlý,статя
638,hübsch::A,hezký,басӧк
639,böse::A,zlý,лёк
640,dumm::A,hloupý,бӧбӧв
641,dumm::A,hloupý,вежӧртӧм
642,faul::A,líný,дыш
643,fleißig::A,pilný,уджалicь
644,geizig::A,lakomý,жикмӧра
645,geizig::A,lakomý,горшаліcь
646,klug::A,chytrý,авья
647,klug::A,chytrý,вежӧра
648,geschickt::A,šikovný,кипода
649,lieb::A,milý,муса
650,lieb::A,milý,дзулиньӧй
651,lustig::A,veselý,гажа
652,sanft::A,mírný,лебезнӧй
653,hungrig::A,hladový,тшыг
654,krank::A,nemocný,шогалiсь
655,nackt::A,nahý,куш
656,traurig::A,smutný,жугыль
657,traurig::A,truchlivý,жугыль
658,lebendig::A,živý,ловья
659,gut::A,dobrý,бур
660,schlecht::A,špatný,умӧль
661,richtig::A,pravý,
662,richtig::A,správný,
663,schlimm::A,zlý,нештӧм
664,wahr::A,pravdivý,
665,alt::A,starý,важ
666,neu::A,nový,виль
667,ehemalig::A,bývalý,вӧвлӧм
668,alt[Lebewesen]::A,starý,года
669,alt[Lebewesen]::A,starý,годдэза
670,jung::A,mladý,том
671,arm::A,chudý,гов
672,arm::A,chudý,беднӧй
673,reich::A,bohatý,эма
674,bekannt::A,známý,тӧдса
675,berühmt::A,slavný,
676,fremd::A,cizí,чужӧй
677,verschieden::A,různý,быдкодь
678,verschieden::A,rozličný,быдкодь
679,nah::A,blízký,матiсь
680,fern::A,daleký,ылicь
681,linker::A,levý,шульга
682,rechter::A,pravý,веськытланись
683,anderer::A,jiný,мукӧд
684,erster::A,první,медодзза
685,zweiter::A,druhý,кыкӧт
686,dritter::A,třetí,куимӧт
687,dritter::A,třetí,куимӧдз
688,letzter::A,poslední,бӧрья
689,letzter::A,poslední,мёдбӧрья
690,allein::ADV,sám,
691,auf einmal::ADV,najednou,тшӧтш
692,zusammen::ADV,spolu,ӧтлаын
693,zusammen::ADV,dohromady,ӧтлаын
694,lange::ADV,dlouho,дыр
