,Concept_ID,sq,ba
361,Reihe::N,radhë,рәт
362,Reihe::N,rresht,рәт
363,Boot::N,barkë,кәмә
364,Boot::N,lundër,кәмә
365,Ruder::N,rrem,ишкәк
366,Schlitten::N,sajë,сана
367,Ski::N,ski,саңгы
368,Lagerfeuer::N,flakadan,костер
369,Lagerfeuer::N,zjarr i madh,костер
370,Last::N,barrë,ауырлыҡ
371,Gang::N,ecje,барыу
372,Schritt::N,hap,аҙым
373,Norden::N,veri,төньяҡ
374,Süden::N,jug,көньяҡ
375,Westen::N,perëndim,көнбайыш
376,Osten::N,lindje,көнсығыш
377,Holz::N,dru,үағас
378,Brett::N,dërrasë,таҡта
379,Platte::N,pllakë,плита
380,Stütze::N,shtyllë,терәк
381,Stütze::N,mbështetesë,терәк
382,Stange::N,shufër,кәртә
383,Stock::N,dajak,таяҡ
384,Stab::N,shkop,ҡолға
385,Rohr::N,tub,торба
386,Haus::N,shtëpi,өй
387,Haus::N,shtëpi,йорт
388,Heim::N,konak,өй
389,Heim::N,shtëpi,өй
390,Ofen::N,sobë,мейес
391,Ofen::N,stufë,мейес
392,Fußboden::N,dysheme,енес
393,Tisch::N,tryezë,өҫтәл
394,Stuhl::N,karrige,ултырғыс
395,Wiege::N,djep,бишек
396,Bett::N,shtrat,карауат
397,Regal::N,raft,кәштә
398,Kiste::N,kuti,йәшинк
399,Fenster::N,dritare,тәҙрә
400,Tür::N,derë,ишек
401,Tor::N,portë,ҡапҡа
402,Zaun::N,gardh,ҡойма
403,Dach::N,çati,түбә
404,Dach::N,çati,ҡыйыҡ
405,Leiter::N,shkallë,баҫҡыс
406,Besen::N,fshesë,һепертке
407,Spaten::N,lopatë,көрәк
408,Schaufel::N,qyrek,көрәк
409,Gabel::N,pirun,сәнске
410,Löffel::N,lugë,ҡалаҡ
411,Messer::N,thikë,бысаҡ
412,Nagel::N,gozhdë,сөй
413,Netz::N,rrjetë,ау
414,Haken::N,grep,ыргаҡ
415,Haken::N,grremç,ыргаҡ
416,Griff::N,dorak,тотҡа
417,Griff::N,dorezë,тотҡа
418,Schloss::N,bravë,йоҙаҡ
419,Bild::N,tablo,картина
420,Bild::N,pikturë,картина
421,Figur::N,figurë,һын
422,Puppe::N,kukull,ҡурсаҡ
423,Beutel::N,qese,тоҡ
424,Beutel::N,trastë,тоҡ
425,Bündel::N,deng,төргәк
426,Tasche::N,çantë,сумка
427,Eimer::N,kovë,биҙрә
428,Deckel::N,kapak,ҡапҡас
429,Deckel::N,mbulesë,ҡапҡас
430,Geschirr::N,enë,һауыт-һаба
431,Sack::N,thes,тоҡ
432,Sack::N,torbë,тоҡ
433,Tasse::N,filxhan,сынаяҡ
434,Topf::N,kusi,кәстрүл
435,Topf::N,tenxhere,кәстрүл
436,Kessel::N,kazan,ҡаҙан
437,Essen::N,ngrënie,ашау
438,Nahrung::N,ushqim,аҙыҡ
439,Speise::N,gatesë,аш
440,Fleisch::N,mish,ит
441,Getreide::N,drithë,иген
442,Getreide::N,drithë,ашлыҡ
443,Brei::N,qull,бутҡа
444,Brot::N,bukë,икмәк
445,Scheibe::N,fetë,телем
446,Fett::N,lyrë,май
447,Fett::N,yndyrë,май
448,Butter::N,gjalpë,май
449,Öl::N,vaj,май буяуы
450,Salz::N,kripë,тоҙ
451,Suppe::N,supë,һурпа
452,Suppe::N,çorbë,һурпа
453,Honig::N,mjaltë,бал
454,Milch::N,qumësht,һөт
455,Tee::N,çaj,сәй
456,Leder::N,lëkurë,күн
457,Wolle::N,lesh,йөн
458,Stoff::N,pëlhurë,туҡыма
459,Nadel::N,gjilpërë,энә
460,Faden::N,pe,еп
461,Faden::N,fije,еп
462,Knopf::N,kopsë,төймә
463,Knoten::N,komb,төйөн
464,Farbe::N,bojë,буяу
465,Kleidung::N,veshje,кейем
466,Hemd::N,këmishë,күлдәк
467,Kragen::N,jakë,яға
468,Ärmel::N,mëngë,ең
469,Hose::N,brekë,салбар
470,Gürtel::N,rrip,ҡайыш
471,Mütze::N,kësulë,бүрк
472,Schuh::N,këpucë,туфли
473,Stiefel::N,çizme,итек
474,Ring::N,unazë,йөҙөк
