,Concept_ID,ja,sk
403,Zaun::N,垣根,ohrada
404,Dach::N,屋根,krov
405,Dach::N,屋根,strecha
406,Leiter::N,梯子,rebrík
407,Leiter::N,梯子,rebrina
408,Besen::N,ほうき,metla
409,Spaten::N,スコップ,rýľ
410,Schaufel::N,シャベル,lopata
411,Gabel::N,フォーク,vidlička
412,Löffel::N,スプーン,lyžica
413,Messer::N,ナイフ,nôž
414,Nagel::N,釘,klinec
415,Netz::N,網,sieť
416,Haken::N,鉤,hák
417,Haken::N,鉤,háčik
418,Haken::N,フック,hák
419,Haken::N,フック,háčik
420,Griff::N,取っ手,rukoväť
421,Schloss::N,錠,zámka
422,Bild::N,絵,obraz
423,Figur::N,像,figúra
424,Puppe::N,人形,bábka
425,Puppe::N,人形,bábika
426,Beutel::N,袋,vrece
427,Beutel::N,袋,vrecko
428,Bündel::N,束,uzlík
429,Bündel::N,束,zväzok
430,Bündel::N,包み,uzlík
431,Bündel::N,包み,zväzok
432,Tasche::N,かばん,taška
433,Tasche::N,かばん,kabelka
434,Eimer::N,バケツ,vedro
435,Deckel::N,蓋,vrchnák
436,Deckel::N,蓋,pokrývka
437,Geschirr::N,食器,nádoba
438,Sack::N,袋,mech
439,Sack::N,袋,vrece
440,Tasse::N,カップ,šálka
441,Topf::N,鍋,hrniec
442,Kessel::N,釜,kotol
443,Essen::N,食事,jedlo
444,Nahrung::N,食物,strava
445,Nahrung::N,食物,potrava
446,Speise::N,料理,jedlo
447,Fleisch::N,肉,mäso
448,Getreide::N,麦,obilie
449,Getreide::N,穀物,obilie
450,Brei::N,粥,kaša
451,Brot::N,パン,chlieb
452,Scheibe::N,枚,kotúč
453,Scheibe::N,枚,krajec
454,Scheibe::N,切れ,kotúč
455,Scheibe::N,切れ,krajec
456,Fett::N,脂肪,tuk
457,Fett::N,脂肪,masť
458,Butter::N,バター,maslo
459,Öl::N,油,olej
460,Salz::N,塩,soľ
461,Suppe::N,スープ,polievka
462,Honig::N,蜂蜜,med
463,Milch::N,牛乳,mlieko
464,Tee::N,茶,čaj
465,Tee::N,お茶,čaj
466,Leder::N,革,koža
467,Wolle::N,毛糸,vlna
468,Stoff::N,布,súkno
469,Nadel::N,針,ihla
470,Faden::N,糸,niť
471,Faden::N,糸,vlákno
472,Knopf::N,ボタン,gombík
473,Knoten::N,結び目,uzol
474,Farbe::N,ペンキ,farba
475,Kleidung::N,衣服,šaty
476,Kleidung::N,衣服,šatstvo
477,Hemd::N,シャツ,košeľa
478,Kragen::N,襟,golier
479,Ärmel::N,袖,rukáv
480,Hose::N,ズボン,nohavice
481,Gürtel::N,帯,pás
482,Gürtel::N,帯,opasok
483,Gürtel::N,ベルト,pás
484,Gürtel::N,ベルト,opasok
485,Mütze::N,帽子,čiapka
486,Schuh::N,靴,obuv
487,Schuh::N,靴,topánka
488,Stiefel::N,ブーツ,čižma
489,Ring::N,輪,prsteň
490,Band::N,リボン,stuha
491,Kamm::N,櫛,hrebeň
492,Spiegel::N,鏡,zrkadlo
493,Riemen::N,緒,remeň
494,Schnur::N,紐,šnúra
495,Leine::N,綱,vodidlo
496,Decke::N,掛け布団,deka
497,Decke::N,掛け布団,prikrývka
498,Kissen::N,枕,poduška
