,Concept_ID,lt,sl
400,Brett::N,lenta,deskà
401,Platte::N,plokštė,plôča
402,Stütze::N,atrama,opóra
403,Stütze::N,atrama,zaslómba
404,Stütze::N,atspara,opóra
405,Stütze::N,atspara,zaslómba
406,Stange::N,lazda,gréd
407,Stange::N,kartis,gréd
408,Stock::N,lazda,pálica
409,Stab::N,kartis,pálica
410,Rohr::N,vamzdis,cév
411,Haus::N,namas,híša
412,Heim::N,namai,dóm
413,Ofen::N,krosnis,péč
414,Fußboden::N,grindys,pòd
415,Tisch::N,stalas,míza
416,Stuhl::N,kėdė,stòl
417,Wiege::N,lopšys,zíbel
418,Bett::N,lova,póstelja
419,Bett::N,patalai,póstelja
420,Regal::N,lentyna,políca
421,Kiste::N,dėžė,zabòj
422,Fenster::N,langas,ôkno
423,Tür::N,durys,vráta
424,Tor::N,vartai,velíka vráta
425,Zaun::N,tvora,ográja
426,Dach::N,stogas,stréha
427,Leiter::N,kopėčios,léstev
428,Besen::N,šluota,mêtla
429,Spaten::N,lopeta,lopáta
430,Spaten::N,kastuvas,lopáta
431,Schaufel::N,semtuvas,lopáta
432,Gabel::N,šakutė,vílice
433,Löffel::N,šaukštas,žlíca
434,Messer::N,peilis,nòž
435,Nagel::N,vinis,žebèlj
436,Netz::N,tinklas,mréža
437,Haken::N,vagis,kljúka
438,Haken::N,kablys,kljúka
439,Griff::N,kotas,ročáj
440,Griff::N,kotas,oprijèm
441,Griff::N,rankena,ročáj
442,Griff::N,rankena,oprijèm
443,Schloss::N,spyna,ključávnica
444,Schloss::N,užraktas,ključávnica
445,Bild::N,paveikslas,slíka
446,Figur::N,figūra,figúra
447,Figur::N,figūra,postáva
448,Puppe::N,lėlė,lútka
449,Beutel::N,krepšys,môšnja
450,Beutel::N,maišelis,môšnja
451,Bündel::N,ryšulys,cúla
452,Bündel::N,ryšulys,svéženj
453,Tasche::N,krepšelis,tórba
454,Tasche::N,krepšelis,tobôlec
455,Eimer::N,kibiras,vêdro
456,Deckel::N,dangtis,pokròv
457,Deckel::N,dangtis,poklópec
458,Geschirr::N,indai,posóda
459,Sack::N,maišas,vréča
460,Tasse::N,puodukas,skodélica
461,Topf::N,puodas,lônec
462,Kessel::N,katilas,kôtel
463,Essen::N,valgis,hrána
464,Nahrung::N,penas,živílo
