,Concept_ID,sq,mrj
259,Tochter::N,bijë,ӹдӹр
260,Bruder::N,vëlla,ӹза
261,Schwester::N,motër,ӓкӓ
262,Onkel::N,dajë,кугуза
263,Onkel::N,xhaxha,кугуза
264,Tante::N,teze,куака
265,Tante::N,hallë,куака
266,Ehemann::N,burrë,мары
267,Ehemann::N,bashkëshort,мары
268,Ehefrau::N,grua,вӓтӹ
269,Ehefrau::N,bashkëshorte,вӓтӹ
270,Freude::N,gaz,ӹвӹртӹмӓш
271,Freude::N,gëzim,ӹвӹртӹмӓш
272,Gelächter::N,qeshje,ваштылмаш
273,Glück::N,lumturi,пиӓл
274,Kummer::N,brengë,ясы
275,Kummer::N,pikëllim,ясы
276,Wunsch::N,dëshirë,охата
277,Wunsch::N,dëshirë,шанымаш
278,Lust::N,epsh,шӓр
279,Lust::N,epsh,охата
280,Lust::N,epsh,шанымаш
281,Lust::N,dashuri,шӓр
282,Lust::N,dashuri,охата
283,Lust::N,dashuri,шанымаш
284,Geist::N,frymë,тух
285,Geist::N,shpirt,тух
286,Gedanke::N,ide,шанымаш
287,Gedanke::N,mendim,шанымаш
288,Gedächtnis::N,kujtesë,ӓш
289,Verstand::N,mend,ыш
290,Sinn::N,kuptim,кын
291,Grund::N,arsye,вир
292,Wahrheit::N,vërtetë,тöр
293,Gespräch::N,bisedim,хытырымаш
294,Märchen::N,përrallë,ямак
295,Erzählung::N,tregim,шайыштмаш
296,Nachricht::N,lajm,увертӓрӹмӓш
297,Neuigkeit::N,risi,увер
298,Name::N,emër,лӹм
299,Rätsel::N,gjëzë,тышты
300,Rätsel::N,gjëegjëzë,тышты
301,Rede::N,fjalim,шая
302,Rede::N,fjalim,шамак
303,Sprache::N,gjuhë,йӹлмӹ
304,Stimme::N,zë,юк
305,Wort::N,fjalë,шамак
306,Zeichen::N,shenjë,палӹ
307,Ruf::N,thirrmë,сӹгӹрӹмӓш
308,Lärm::N,zhurmë,юкланымащ
309,Laut::N,tingull,юк
310,Ton::N,ton,юк
311,Lied::N,këngë,мыры
312,Ruhe::N,qetësi,тыр
313,Leute::N,botë,эдемвлӓ
314,Leute::N,njerëz,эдемвлӓ
315,Volk::N,popull,халык
316,Arbeit::N,punë,пӓшӓ
317,Gast::N,mik,хына
318,Gast::N,mysafir,хына
319,Geschenk::N,dhuratë,подарка
320,Geschenk::N,peshqesh,подарка
321,Spiel::N,lojë,мадыш
322,Gesellschaft::N,shoqëri,йӓл
323,Gesellschaft::N,shoqëri,йӓлвлӓ
324,Hilfe::N,ndihmë,палшык
325,Freund::N,mik,тӓнг
326,Kamerad::N,shok,тос
327,Angelegenheit::N,punë,дела
328,Angelegenheit::N,punë,йела
329,Angelegenheit::N,punë,йыла
330,Angelegenheit::N,punë,пӓшӓ
331,Anzahl::N,sasi,шот
332,Art::N,lloj,цӹре
333,Stück::N,copë,лаштык
334,Teil::N,pjesë,пай
335,Teil::N,pjesë,часть
336,Hälfte::N,gjysmë,пел
337,Kreis::N,qark,тӹртӹш
338,Kreis::N,rreth,тӹртӹш
339,Kreuz::N,kryq,крестӹ
340,Linie::N,vijë,
341,Strich::N,vizë,
342,Abstand::N,distancë,ло
343,Entfernung::N,largim,ло
344,Gegend::N,vise,вӓр
345,Gegend::N,krahinë,вӓр
346,Platz::N,shesh,вӓр
347,Ort::N,vend,вӓр
348,Seite::N,anë,öрдӹж
349,Mitte::N,mes,ло
350,Gegenstand::N,send,хӓдӹр
351,Sache::N,gjë,хӓдӹр
352,Sache::N,send,хӓдӹр
353,Rand::N,qoshe,шöр
354,Kante::N,teh,шöр
355,Ecke::N,qoshe,лык
356,Spitze::N,majë,вуй
357,Ende::N,skaj,вуй
