,Concept_ID,cv,fa
374,Rand::N,хӗрӗ,حاشیه
375,Rand::N,хӗрри,کنار
376,Rand::N,хӗрри,حاشیه
377,Kante::N,хайкача,لبه
378,Kante::N,хысак,لبه
379,Ecke::N,кӗтес,گوشه
380,Spitze::N,вӗҫ,سر
381,Spitze::N,вӗҫ,نوک
382,Ende::N,вӗҫ,ته
383,Ende::N,вӗҫ,آخر
384,Loch::N,шӑтӑк,سوراخ
385,Winkel::N,кӗтес,کنج
386,Muster::N,эреш,نقش
387,Größe::N,пысӑкӑш,قد
388,Größe::N,пысӑкӑш,بزرگی
389,Länge::N,вӑрӑмӑш,طول
390,Höhe::N,ҫӳллӗш,بلندی
391,Gewicht::N,виҫе,وزن
392,Gewicht::N,йывӑрӑш,وزن
393,Menge::N,йыш,مقدار
394,Menge::N,йыш,اندازه
395,Haufen::N,купа,توده
396,Reihe::N,рет,ردیف
397,Boot::N,кимӗ,قایق
398,Ruder::N,кӗсмен,پارو
399,Schlitten::N,ҫуна,سورتمه
400,Ski::N,йӗлтӗр,اسکی
401,Lagerfeuer::N,вут,آتش
402,Lagerfeuer::N,кӑвайт,آتش
403,Last::N,сулмаклӑх,بار
404,Last::N,сулмаклӑх,سنگینی
405,Last::N,йывӑр япала,بار
406,Last::N,йывӑр япала,سنگینی
407,Gang::N,куҫӑм,راه رفتن
408,Schritt::N,утӑм,قدم
409,Schritt::N,пусӑм,قدم
410,Norden::N,ҫурҫӗр,شمال
411,Süden::N,кӑнтӑр,جنوب
412,Westen::N,анӑҫ,غرب
413,Westen::N,хӗвел анӑҫ,غرب
414,Osten::N,хӗвел тухӑҫ,شرق
415,Holz::N,йывӑҫ,چوب
416,Brett::N,хӑма,تخته
417,Platte::N,плита,صفحه
418,Stütze::N,ура,تکیه
419,Stange::N,шерте,میله
420,Stock::N,патак,چوب
421,Stab::N,шӑчӑ,عصا
422,Rohr::N,пӑрӑх,لوله
423,Haus::N,ҫурт,منزل
424,Heim::N,кил,خانه
425,Heim::N,кил,کاشانه
426,Ofen::N,кӑмака,بخاری
427,Fußboden::N,урай,کف اتاق
428,Tisch::N,сӗтел,میز
429,Stuhl::N,пукан,صندلی
430,Wiege::N,сӑпка,گهواره
431,Bett::N,кравать,تختخواب
432,Regal::N,ҫӳлӗк,قفسه
433,Regal::N,сентре,قفسه
434,Kiste::N,ещӗк,صندوق
435,Kiste::N,сунтӑх,صندوق
