,Concept_ID,ga,no
1203,einwickeln::V,cuach,vikle inn
1204,einwickeln::V,clúdaigh,vikle inn
1205,tragen::V,iompair,bære
1206,schleppen::V,tarraing,slepe
1207,ziehen::V,tarraing,dra
1208,ziehen::V,tarraing,trekke
1209,aufbewahren::V,coinnigh,oppbevare
1210,aufbewahren::V,coinnigh,ta vare på
1211,werfen::V,caith,kaste
1212,fangen::V,ceap,fange
1213,packen::V,beir ar,gripe
1214,packen::V,beir ar,gripe tak i
1215,verstecken::V,folaigh,gjemme
1216,verstecken::V,cuir i bhfolach,gjemme
1217,teilen::V,roinn,dele
1218,schicken::V,seol,sende
1219,bringen::V,beir,bringe
1220,bringen::V,tabhair,bringe
1221,hinzufügen::V,cuir le,tilføye
1222,bekommen::V,faigh,få
1223,erhalten::V,faigh,få
1224,nehmen::V,tóg,ta
1225,nehmen::V,glac,ta
1226,wählen::V,pioc,velge
1227,wählen::V,roghnaigh,velge
1228,auswählen::V,roghnaigh,velge ut
1229,bewahren::V,caomhnaigh,bevare
1230,behindern::V,cuir bac ar,hindre
1231,behindern::V,cuir bac ar,forhindre
1232,verderben::V,mill,ødelegge
1233,beschädigen::V,loit,skade
1234,beschädigen::V,déan damáiste do,skade
1235,zerbrechen::V,bris,brekke i stykker
1236,zerreißen::V,stiall,rive i stykker
1237,zerstören::V,mill,ødelegge
1238,zerstören::V,scrios,ødelegge
1239,verbrennen::V,las,brenne
1240,verbrennen::V,las,brenne opp
1241,verbrennen::V,dóigh,brenne
1242,verbrennen::V,dóigh,brenne opp
1243,geben::V,tabhair,gi
1244,reichen::V,sín,rekke
1245,reichen::V,cuir,rekke
1246,schenken::V,bronn,forære
1247,schenken::V,bronn,skjenke
1248,schenken::V,tabhair,forære
1249,schenken::V,tabhair,skjenke
1250,versprechen::V,geall,love
1251,wünschen::V,guigh,ønske
1252,loben::V,mol,rose
1253,küssen::V,póg,kysse
1254,wiegen::V,bog,vogge
1255,wiegen::V,luasc,vogge
1256,zudecken::V,clúdaigh,dekke til
1257,wecken::V,dúisigh,vekke
1258,zeigen::V,taispeáin,vise
1259,führen::V,treoraigh,føre
1260,lehren::V,múin,lære
1261,lehren::V,teagasc,lære
1262,unterrichten::V,múin,undervise
1263,unterrichten::V,teagasc,undervise
1264,aufziehen::V,tóg,oppdra
1265,leiten::V,tá i gceannas ar,lede
1266,antreiben::V,gríosaigh,drive på
1267,lassen::V,cuir ag,få til å
1268,einladen::V,cuir cuireadh ar,be
1269,einladen::V,cuir cuireadh ar,invitere
1270,vereinigen::V,aontaigh,forene
1271,besuchen::V,tabhair cuairt ar,besøke
1272,treffen::V,cas ar,møte
1273,treffen::V,cas ar,treffe
1274,treffen::V,buail le,møte
1275,treffen::V,buail le,treffe
1276,sich versammeln::V,bailigh,forsamles
1277,sich versammeln::V,cruinnigh,forsamles
1278,spielen::V,imir,leke
1279,spielen::V,imir,spille
1280,spielen::V,tá ag spraoi,leke
1281,spielen::V,tá ag spraoi,spille
1282,singen::V,can,synge
1283,tanzen::V,rinc,danse
1284,tanzen::V,damhsaigh,danse
1285,sich trennen::V,scar,skilles
1286,verlassen::V,fág,forlate
1287,retten::V,tarrtháil,redde
1288,bewachen::V,cosain,bevokte
1289,bewachen::V,gardáil,bevokte
1290,schützen::V,cosain,verne
1291,schützen::V,cosain,beskytte
1292,verteidigen::V,cosain,forsvare
1293,sich schlagen::V,tá ag bruíon,slåss
1294,schießen::V,caith,skyte
1295,schießen::V,scaoil,skyte
1296,siegen::V,bain,seire
1297,siegen::V,buaigh,seire
1298,ärgern::V,cuir isteach ar,ergre
1299,schlagen::V,buail,
1300,treten::V,ciceáil,sparke
1301,stechen::V,sáigh,stikke
1302,stoßen::V,brúigh,støte
1303,stoßen::V,soncáil,støte
1304,stehlen::V,goid,stjele
1305,stören::V,cuir isteach ar,forstyrre
1306,belästigen::V,cuir as do,plage
1307,belästigen::V,cuir as do,sjenere
1308,verbergen::V,ceil,gjemme
1309,täuschen::V,cuir dallamullóg ar,villede
1310,betrügen::V,déan calaois ar,bedra
1311,töten::V,maraigh,drepe
1312,wohnen::V,cuir faoi,bo
1313,wohnen::V,tá ina chónaí,bo
1314,arbeiten::V,oibrigh,arbeide
1315,sammeln::V,bailigh,samle
1316,sammeln::V,cruinnigh,samle
1317,pflücken::V,pioc,plukke
1318,jagen::V,seilg,jage
1319,fischen::V,iasc,fiske
1320,fassen::V,beir ar,fange
1321,hüten::V,aoirigh,vokte
1322,treiben::V,seol,drive
1323,treiben::V,tiomáin,drive
1324,anbinden::V,ceangail,feste
1325,füttern::V,cothaigh,fore
1326,füttern::V,beathaigh,fore
1327,melken::V,bligh,melke
1328,melken::V,crúigh,melke
1329,hacken::V,gearr,hakke
1330,gießen::V,uiscigh,helle
1331,reifen::V,aibigh,modne
1332,zubereiten::V,cócaráil,lage
1333,zubereiten::V,cócaráil,tilberede
1334,kochen::V,bruith,koke
1335,kochen::V,beirigh,koke
1336,backen::V,bácáil,bake
1337,braten::V,róst,steke
1338,braten::V,frioch,steke
1339,umrühren::V,measc,røre om
1340,stricken::V,cniotáil,strikke
