,Concept_ID,,ps
427,Farbe::N,,رنګ
428,Kleidung::N,,کالي
429,Hemd::N,,کميس
430,Kragen::N,,غاړه
431,Ärmel::N,,لستوڼی
432,Hose::N,,پطلون
433,Gürtel::N,,کمربند
434,Mütze::N,,خولۍ
435,Schuh::N,,بوټ
436,Stiefel::N,,موزه
437,Ring::N,,ګوته
438,Band::N,,فيته
439,Kamm::N,,ګمنځ
440,Spiegel::N,,ایینه
441,Spiegel::N,,هنداره
442,Riemen::N,,تسمه
443,Schnur::N,,مزی
444,Leine::N,,رسۍ
445,Decke::N,,بړستن
446,Kissen::N,,بالښت
447,Tuch::N,,ټیکری
448,Handtuch::N,,دسمال
449,Kraft::N,,زور
450,Kraft::N,,توان
451,Stärke::N,,قوت
452,Gesundheit::N,,صحت
453,Gesundheit::N,,روغتیا
454,Krankheit::N,,مرض
455,Krankheit::N,,ناروغي
456,Schmerz::N,,درد
457,Wunde::N,,ټپ
458,Wunde::N,,زخم
459,Fieber::N,,تبه
460,Arznei::N,,دوا
461,Arznei::N,,دارو
462,Brücke::N,,پول
463,Brunnen::N,,څاه
464,Brunnen::N,,کوهی
465,Weide::N,,وله
466,Pfad::N,,تړه
467,Weg::N,,لیار
468,Straße::N,,سړک
469,Dorf::N,,کلی
470,Stadt::N,,ښار
471,Brief::N,,لیک
472,Brief::N,,مکتوب
473,Buch::N,,کتاب
474,Buchstabe::N,,حرف
475,Buchstabe::N,,توری
476,Zeitung::N,,اخبار
477,Leben::N,,ژوند
478,Tod::N,,مرګ
479,Tod::N,,مړینه
480,Grab::N,,قبر
481,Grab::N,,ډورۍ
482,Kirche::N,,کلیسا
483,Sünde::N,,ګناه
484,Gott::N,,خدای
485,Arbeiter::N,,کاریګر
486,Chef::N,,آمر
487,Meister::N,,استاد
488,Arzt::N,,طبیب
489,Arzt::N,,ډاکټر
490,Lehrer::N,,معلم
491,Lehrer::N,,ښوونکی
492,Geld::N,,پیسې
493,Geschäft::N,,سوداګري
494,Laden::N,,دکان
495,Laden::N,,مغازه
496,Preis::N,,بیه
497,Ware::N,,مال
498,Nutzen::N,,ګټه
499,Reichtum::N,,شتمني
500,Welt::N,,نړۍ
501,Welt::N,,دنیا
502,Land::N,,هېواد
503,Staat::N,,دولت
504,König::N,,باچا
505,König::N,,پادشاه
506,Macht::N,,قدرت
507,Grenze::N,,حد
508,Grenze::N,,سرحد
509,Krieg::N,,جګړه
510,Feind::N,,دښمن
511,Gewalt::N,,زور
512,Gewalt::N,,تشدد
513,Kampf::N,,جنګ
514,Kampf::N,,مبارزه
515,Bogen[Waffe]::N,,لیندۍ
516,Pfeil::N,,غشی
517,Gewehr::N,,ټوپک
518,Fehler::N,,خطا
519,Fehler::N,,غلطي
520,Lüge::N,,دروغ
521,Schaden::N,,زیان
522,Schaden::N,,تاوان
523,Unglück::N,,بدبختي
524,Schuld::N,,ګناه
525,Alter::N,,منګ
526,Schluss::N,,اخر
527,Zeit::N,,وخت
528,Tag::N,,ورځ
529,Morgen::N,,سبا
530,Morgen::N,,سهار
531,Mittag::N,,غرمه
532,Abend::N,,ماښام
533,Nacht::N,,شپه
534,Woche::N,,اونۍ
535,Monat::N,,مياشت
536,Jahr::N,,کال
537,Frühling::N,,پسرلی
538,Sommer::N,,دوبی
539,Herbst::N,,منی
540,Herbst::N,,خزان
541,Winter::N,,ژمی
542,Januar::N,,جنوري
543,Februar::N,,فبروري
544,März::N,,مارچ
545,April::N,,اپریل
546,Mai::N,,مې
547,Juni::N,,جون
548,Juli::N,,جولای
549,August::N,,اګست
550,September::N,,سپټامبر
551,Oktober::N,,اکتوبر
552,November::N,,نومبر
553,Dezember::N,,دسمبر
554,Montag::N,,دوشنبه
555,Dienstag::N,,سه شنبه
556,Mittwoch::N,,چارشنبه
557,Donnerstag::N,,پنجشنبه
558,Freitag::N,,جمعه
559,Samstag::N,,خالي
560,Sonntag::N,,یکشنبه
561,groß::A,,لوی
562,klein::A,,وړوکی
563,lang::A,,اوړد
564,kurz::A,,لنډ
565,breit::A,,پراخه
566,schmal::A,,تنګ
567,dicht::A,,ګڼ
568,dick[Gegenstand]::A,,پنډ
569,dünn::A,,نری
570,fein::A,,نازک
571,fest::A,,کلک
572,fest::A,,ټینګ
573,flach::A,,هوار
574,glatt::A,,ښوی
575,hart::A,,کلک
576,weich::A,,نرم
577,weich::A,,پوست
578,rund::A,,ګرد
579,spitz::A,,تېره
580,scharf::A,,تېز
581,scharf::A,,تېره
582,stumpf::A,,پڅ
583,schwer::A,,دروند
584,schön::A,,ښکلی
585,heiß::A,,تود
586,warm::A,,تود
587,kalt::A,,ېخ
588,kalt::A,,سوړ
589,kühl::A,,ېخ
590,kühl::A,,سوړ
591,frisch::A,,تازه
592,feucht::A,,مرطوب
593,nass::A,,لوند
594,trocken::A,,وچ
595,voll::A,,ډک
596,leer::A,,خالی
597,offen::A,,خلاص
598,offen::A,,پرانیستی
599,geschlossen::A,,تړلی
600,sauber::A,,پاک
601,schmutzig::A,,چټل
602,roh::A,,خام
603,reif::A,,پوخ
604,reif::A,,رسېدلی
605,lecker::A,,خوندور
606,lecker::A,,مزه دار
607,süß::A,,خوږ
608,süß::A,,شیرین
609,bitter::A,,تریخ
610,sauer::A,,ټاک
611,sauer::A,,تريو
612,hell::A,,روڼ
613,hell::A,,روښان
614,dunkel::A,,تیاره
615,schwarz::A,,تور
616,weiß::A,,سپين
617,rot::A,,سور
618,gelb::A,,زېړ
619,blau::A,,شین
620,blau::A,,اسماني رنګه
621,grün::A,,زرغون
622,grau::A,,خړ
623,bunt::A,,رنګارنګ
624,billig::A,,ارزان
625,teuer::A,,ګران
626,wertvoll::A,,قیمتي
627,blind::A,,ړوند
628,taub::A,,کوڼ
629,kräftig::A,,قوی
630,stark::A,,قوی
631,stark::A,,تکړه
632,schwach::A,,ضعیف
633,schwach::A,,کمزوری
634,fett::A,,چاغ
635,schlank::A,,خوش اندام
636,hübsch::A,,ښکلی
637,hübsch::A,,ښایسته
638,böse::A,,شریر
639,böse::A,,قهرناک
640,dumm::A,,احمق
641,faul::A,,لټ
642,faul::A,,تنبل
643,fleißig::A,,زحمت کښ
644,geizig::A,,بخیل
645,klug::A,,عاقل
646,klug::A,,هوښیار
647,geschickt::A,,ماهر
648,lieb::A,,عزیز
649,lieb::A,,محبوب
650,lustig::A,,خوشحال
651,sanft::A,,پوست
652,sanft::A,,ملایم
653,hungrig::A,,وږی
654,krank::A,,مريض
655,krank::A,,ناروغ
656,nackt::A,,لوڅ
657,traurig::A,,غمجن
658,lebendig::A,,ژوندی
659,gut::A,,ښه
660,schlecht::A,,بد
661,schlecht::A,,خراب
662,richtig::A,,سم
663,richtig::A,,صحیح
664,schlimm::A,,بد
665,schlimm::A,,مخوف
666,wahr::A,,واقعي
667,alt::A,,زوړ
668,neu::A,,نوی
669,ehemalig::A,,پخوانی
670,alt[Lebewesen]::A,,زوړ
671,jung::A,,ځوان
672,arm::A,,غریب
673,arm::A,,بې وزله
674,reich::A,,شتمن
675,reich::A,,دولتمند
676,bekannt::A,,اشنا
677,berühmt::A,,مشهور
678,fremd::A,,پردی
679,fremd::A,,بېګانه
680,verschieden::A,,مختلف
681,nah::A,,نژدې
682,fern::A,,لیری
683,linker::A,,چپ
684,linker::A,,کیڼ
685,rechter::A,,ښی
686,anderer::A,,بل
687,erster::A,,لومړی
688,zweiter::A,,دوهم
689,dritter::A,,درېم
690,letzter::A,,آخرنی
691,letzter::A,,وروستی
692,allein::ADV,,یوازې
693,auf einmal::ADV,,په یوه وخت کی
694,zusammen::ADV,,یو ځای
695,lange::ADV,,ډېر وخت
696,lange::ADV,,ډېره موده
697,plötzlich::ADV,,ناببره
698,plötzlich::ADV,,یوناڅاپه
699,sofort::ADV,,فوراً
700,sofort::ADV,,سمدلاسه
701,später::ADV,,وروسته
702,jetzt::ADV,,اوس
703,heute::ADV,,نن
704,morgen::ADV,,سبا
705,bald::ADV,,ژر
706,dann::ADV,,پس
