,Concept_ID,vep,es
398,Heim::N,kodi,hogar
399,Ofen::N,päč,estufa
400,Fußboden::N,lava,suelo
401,Tisch::N,laud,mesa
402,Tisch::N,stal'c,mesa
403,Stuhl::N,ištim,silla
404,Wiege::N,kätte,cuna
405,Bett::N,sija,cama
406,Bett::N,magaduzsija,cama
407,Regal::N,palič,estantería
408,Kiste::N,mülütim,caja
409,Fenster::N,ikun,ventana
410,Tür::N,uks',puerta
411,Tor::N,verai,puerta
412,Zaun::N,aid,valla
413,Zaun::N,aid,cercado
414,Dach::N,katuz,techo
415,Dach::N,katuz,tejado
416,Leiter::N,pordhad,escalera
417,Besen::N,lud,escoba
418,Besen::N,vast,escoba
419,Spaten::N,labid,pala
420,Schaufel::N,labid,pala
421,Schaufel::N,labid,paleta
422,Gabel::N,hangoine,tenedor
423,Löffel::N,luzik,cuchara
424,Messer::N,veič,cuchillo
425,Nagel::N,nagl,clavo
426,Netz::N,verk,red
427,Haken::N,kouk,gancho
428,Haken::N,kouk,corchete
429,Griff::N,kägä,asa
430,Griff::N,kägä,mango
431,Griff::N,varz',asa
432,Griff::N,varz',mango
433,Schloss::N,lukkol,cerradura
434,Bild::N,kuva,imagen
435,Figur::N,figur,figura
436,Puppe::N,tätüine,muñeca
437,Beutel::N,havad,bolsa
438,Bündel::N,toppaz,haz
439,Bündel::N,käč,haz
440,Tasche::N,sumk,bolso
441,Eimer::N,vädr,cubo
442,Deckel::N,katuz,tapa
443,Deckel::N,katuz,tapadera
444,Geschirr::N,astii,vajilla
445,Sack::N,havad,saco
446,Tasse::N,čašk,taza
447,Topf::N,pada,olla
448,Topf::N,pada,marmita
449,Kessel::N,katil,caldera
450,Essen::N,sönd,comida
451,Nahrung::N,söm,alimento
452,Speise::N,sömine,plato
453,Fleisch::N,liha,carne
454,Getreide::N,vill',cereales
455,Brei::N,pudr,puré
456,Brei::N,pudr,papilla
457,Brot::N,leib,pan
458,Scheibe::N,bibaleh,lonja
459,Scheibe::N,bibaleh,rebanada
460,Scheibe::N,šlik,lonja
461,Scheibe::N,šlik,rebanada
462,Fett::N,razv,grasa
