,Concept_ID,fi,uk
396,Leiter::N,tikkaat,драбина
397,Leiter::N,tikapuut,драбина
398,Besen::N,luuta,мітла
399,Spaten::N,lapio,заступ
400,Schaufel::N,lapio,совок
401,Schaufel::N,lapio,лопата
402,Gabel::N,haarukka,виделка
403,Löffel::N,lusikka,ложка
404,Messer::N,veitsi,ніж
405,Nagel::N,naula,цвях
406,Netz::N,verkko,сіть
407,Haken::N,haka,крюк
408,Haken::N,koukku,крюк
409,Griff::N,ripa,ручка
410,Griff::N,ripa,держак
411,Griff::N,kahva,ручка
412,Griff::N,kahva,держак
413,Schloss::N,lukko,замок
414,Bild::N,kuva,картина
415,Figur::N,kuvio,фігура
416,Puppe::N,nukke,лялька
417,Beutel::N,pussi,мішечок
418,Beutel::N,pussi,торбинка
419,Bündel::N,nippu,в’язка
420,Bündel::N,kimppu,в’язка
421,Tasche::N,laukku,сумка
422,Eimer::N,sanko,відро
423,Eimer::N,ämpäri,відро
424,Deckel::N,kansi,кришка
425,Geschirr::N,astia,посуд
426,Sack::N,säkki,мішок
427,Tasse::N,kuppi,чашка
428,Topf::N,pata,горщик
429,Kessel::N,kattila,котел
430,Essen::N,syönti,їжа
431,Nahrung::N,ruoka,харч
432,Nahrung::N,ravinto,харч
433,Speise::N,ruoka,страва
434,Fleisch::N,liha,м’ясо
435,Getreide::N,vilja,хліб
436,Getreide::N,vilja,збіжжя
437,Brei::N,puuro,каша
438,Brot::N,leipä,хліб
439,Scheibe::N,viipale,скибочка
440,Fett::N,rasva,жир
441,Butter::N,voi,масло
442,Öl::N,öljy,олія
443,Salz::N,suola,сіль
444,Suppe::N,keitto,суп
445,Honig::N,hunaja,мед
446,Milch::N,maito,молоко
447,Tee::N,tee,чай
448,Leder::N,nahka,шкіра
449,Wolle::N,villa,шерсть
450,Stoff::N,kangas,тканина
451,Nadel::N,neula,голка
452,Faden::N,lanka,нитка
453,Knopf::N,nappi,ґудзик
454,Knoten::N,solmu,вузол
455,Farbe::N,maali,фарба
456,Kleidung::N,vaatteet,одяг
457,Kleidung::N,vaatteet,убрання
458,Hemd::N,paita,сорочка
459,Kragen::N,kaulus,комір
460,Ärmel::N,hiha,рукав
461,Hose::N,housut,брюки
462,Gürtel::N,vyö,пояс
463,Mütze::N,lakki,шапка
464,Schuh::N,kenkä,ботинок
465,Stiefel::N,saapas,чобіт
466,Ring::N,sormus,кільце
467,Band::N,nauha,стрічка
468,Kamm::N,kampa,гребінець
469,Spiegel::N,peili,дзеркало
470,Riemen::N,hihna,ремінь
471,Schnur::N,naru,вірьовка
472,Schnur::N,nuora,вірьовка
473,Leine::N,talutushihna,шворка
474,Decke::N,peite,ковдра
475,Kissen::N,tyyny,подушка
476,Kissen::N,pielus,подушка
