,Concept_ID,kv,pt
497,Riemen::N,ремень,correia
498,Schnur::N,гез,corda
499,Schnur::N,гез,cordel
500,Leine::N,повод,trela
501,Decke::N,одеяло,cobertor
502,Kissen::N,подушка,almofada
503,Tuch::N,чышьян,pano
504,Handtuch::N,чышкӧт,toalha
505,Kraft::N,прак,força
506,Stärke::N,вын,força
507,Gesundheit::N,здоровье,saúde
508,Krankheit::N,шог,doença
509,Krankheit::N,шог,enfermidade
510,Schmerz::N,зубыт,dor
511,Wunde::N,рана,chaga
512,Wunde::N,рана,ferida
513,Fieber::N,лёк тресся,febre
514,Fieber::N,кынтан шогӧт,febre
515,Arznei::N,лекарство,remédio
516,Brücke::N,пос,ponte
517,Brunnen::N,колодец ,poço
518,Weide::N,пода йирсян,pastagem
519,Pfad::N,туй,senda
520,Pfad::N,туй,trilho
521,Weg::N,туй,caminho
522,Straße::N,туй,via
523,Straße::N,туй,estrada
524,Dorf::N,деревня,aldeia
525,Stadt::N,город,cidade
526,Brief::N,гижӧт,carta
527,Buch::N,книга,livro
528,Buchstabe::N,буква,letra
529,Zeitung::N,газета,jornal
530,Leben::N,олан,vida
531,Tod::N,кулӧм,morte
532,Grab::N,гу,túmulo
533,Grab::N,гу,sepultura
534,Kirche::N,вичку,igreja
535,Sünde::N,грек,pecado
536,Gott::N,ен,deus
537,Arbeiter::N,уджалiсь,operário
538,Arbeiter::N,уджалiсь,trabalhador
539,Chef::N,начальник,chefe
540,Chef::N,начальник,patrão
541,Meister::N,мастер,mestre
542,Arzt::N,врач,médico
543,Lehrer::N,велӧтісь,professor
544,Geld::N,деньга,dinheiro
545,Geschäft::N,удж,negócio
546,Laden::N,магазин,loja
547,Preis::N,дон,preço
548,Ware::N,товар,mercadoria
549,Nutzen::N,путь,proveito
550,Reichtum::N,богатство,riqueza
551,Welt::N,му,mundo
552,Land::N,страна,país
553,Staat::N,государство,Estado
554,König::N,кан,rei
555,Macht::N,власть,poder
556,Macht::N,власть,potência
557,Grenze::N,граница,fronteira
558,Krieg::N,война,guerra
559,Feind::N,враг,inimigo
560,Kampf::N,нярасьӧм,luta
561,Kampf::N,нярасьӧм,combate
562,Kampf::N,вермасьӧм,luta
563,Kampf::N,вермасьӧм,combate
564,Bogen[Waffe]::N,лук,arco
565,Pfeil::N,ньӧв,seta
566,Pfeil::N,ньӧв,flecha
567,Gewehr::N,ружьё,espingarda
568,Fehler::N,ошибка,erro
569,Fehler::N,ошибка,falha
570,Lüge::N,ылӧтӧм,mentira
571,Lüge::N,пӧрьялӧм,mentira
572,Schaden::N,лёк,dano
573,Schaden::N,лёк,estrago
574,Unglück::N,пик,desgraça
575,Unglück::N,оказзё,desgraça
576,Schuld::N,вина,culpa
577,Schluss::N,ком,fim
578,Zeit::N,кад,tempo
579,Tag::N,лун,dia
580,Morgen::N,асыв,manhã
581,Mittag::N,луншӧр кад,meio-dia
582,Abend::N,рыт,noite
583,Abend::N,рыт,tardinha
584,Nacht::N,ой,noite
585,Woche::N,неделя,semana
586,Monat::N,тӧлicь,mês
587,Jahr::N,год,ano
588,Frühling::N,тулыс,primavera
589,Sommer::N,гожум,verão
590,Herbst::N,ар,outono
591,Winter::N,тӧв,inverno
592,Januar::N,январ,Janeiro
593,Februar::N,февраль,Fevereiro
594,März::N,март,Março
595,April::N,апрель,Abril
596,Mai::N,май,Maio
597,Juni::N,юнь,Junho
598,Juli::N,юль,Julho
599,August::N,август,Agosto
600,September::N,сентяб,Setembro
601,Oktober::N,октяб,Outubro
602,November::N,нояб,Novembro
603,Dezember::N,декаб,Dezembro
604,Montag::N,вильлун,segunda-feira
605,Dienstag::N,мӧдӧдзлун,terça-feira
606,Mittwoch::N,шӧрлун,quarta-feira
607,Donnerstag::N,нёльӧдзлун,quinta-feira
608,Freitag::N,витӧдзлун,sexta-feira
609,Samstag::N,пывсянлун,sábado
610,Sonntag::N,кресення,domingo
611,groß::A,ыджыт,grande
612,klein::A,учӧтик,pequeno
613,lang::A,кузь,comprido
614,kurz::A,дженыт,curto
615,breit::A,ота,largo
616,schmal::A,векнит,estreito
617,dicht::A,тшӧк,denso
618,dick[Gegenstand]::A,кыз,grosso
619,dünn::A,вӧснит,delgado
620,fein::A,вӧснит,fino
621,fein::A,вӧснит,subtil
622,fest::A,крепыт,firme
623,fest::A,крепыт,sólido
624,flach::A,лапкӧса,plano
625,glatt::A,волькыт,liso
626,hart::A,чӧрыт,duro
627,weich::A,небыт,mole
628,rund::A,гӧгрӧса,redondo
629,spitz::A,ёся,agudo
630,scharf::A,лэчыт,afiado
631,stumpf::A,ныж,rombo
632,schwer::A,сьӧкыт,pesado
633,schön::A,басӧк,belo
634,schön::A,басӧк,bonito
635,heiß::A,жар,quente
636,warm::A,шоныт,quente
637,kalt::A,кӧдзыт,frio
638,kühl::A,сайкыт,fresco
639,frisch::A,виль,fresco
640,feucht::A,вакодь,húmido
641,nass::A,ва,molhado
642,trocken::A,кӧс,seco
643,voll::A,тыра,cheio
644,leer::A,тыртӧм,vazio
645,offen::A,оссьӧм,aberto
646,geschlossen::A,игана,fechado
647,geschlossen::A,пӧдана,fechado
648,sauber::A,сӧдз,limpo
649,sauber::A,сӧстӧм,limpo
650,schmutzig::A,нятьӧсь,sujo
651,roh::A,путӧм,cru
652,reif::A,кисьмалӧм,maduro
653,lecker::A,кӧра ,delicioso
654,süß::A,чӧскыт,doce
655,bitter::A,курыт,amargo
656,sauer::A,шӧма ,azedo
657,hell::A,югыт,claro
658,dunkel::A,пемыт,escuro
659,dunkel::A,пемыт,sombrio
660,schwarz::A,сьӧд,preto
661,weiß::A,чочком,branco
662,rot::A,гӧрд,vermelho
663,gelb::A,веж,amarelo
664,blau::A,лӧз,azul
665,grün::A,веж,verde
666,grau::A,руд,cinzento
667,grau::A,бусӧй,cinzento
668,bunt::A,быдрӧма,colorido
669,billig::A,донтӧм,barato
670,teuer::A,дона,caro
671,wertvoll::A,дона,valioso
672,wertvoll::A,дона,precioso
673,blind::A,синтӧм,cego
674,taub::A,пельтӧм,surdo
675,kräftig::A,вына,forte
