,Concept_ID,hr,fi
729,glatt::A,gladak,siloinen
730,hart::A,tvrd,kova
731,weich::A,mek,pehmeä
732,weich::A,mekan,pehmeä
733,rund::A,okrugao,pyöreä
734,spitz::A,oštar,terävä
735,spitz::A,šiljast,terävä
736,scharf::A,oštar,terävä
737,scharf::A,bridak,terävä
738,stumpf::A,tup,tylsä
739,schwer::A,težak,raskas
740,schwer::A,težak,painava
741,schön::A,krasan,kaunis
742,heiß::A,vruć,kuuma
743,warm::A,topao,lämmin
744,kalt::A,hladan,kylmä
745,kalt::A,hladan,viluinen
746,kühl::A,hladan,viileä
747,frisch::A,svjež,tuore
748,feucht::A,vlažan,kostea
749,nass::A,mokar,märkä
750,trocken::A,suh,kuiva
751,voll::A,pun,täysi
752,leer::A,prazan,tyhjä
753,offen::A,otvoren,avonainen
754,geschlossen::A,zatvoren,suljettu
755,sauber::A,čist,puhdas
756,schmutzig::A,nečist,likainen
757,schmutzig::A,blatan,likainen
758,roh::A,sirov,raaka
759,reif::A,zreo,kypsä
760,lecker::A,tečan,herkullinen
761,lecker::A,ukusan,herkullinen
762,süß::A,sladak,makea
763,bitter::A,gorak,karvas
764,bitter::A,gorak,kitkerä
765,sauer::A,kiseo,hapan
766,hell::A,vedar,kirkas
767,hell::A,vedar,valoisa
768,hell::A,svijetao,kirkas
769,hell::A,svijetao,valoisa
770,dunkel::A,taman,pimeä
771,schwarz::A,crn,musta
772,weiß::A,bio,valkea
773,weiß::A,bijel,valkea
774,rot::A,crven,punainen
775,gelb::A,žut,keltainen
776,blau::A,plav,sininen
777,blau::A,modar,sininen
778,grün::A,zelen,vihreä
779,grau::A,siv,harmaa
780,bunt::A,šaren,kirjava
781,billig::A,jeftin,halpa
782,billig::A,jeftin,huokea
783,teuer::A,skup,kallis
784,wertvoll::A,vrijedan,arvokas
785,wertvoll::A,dragocjen,arvokas
786,blind::A,slijep,sokea
787,taub::A,gluh,kuuro
788,kräftig::A,snažan,väkevä
789,kräftig::A,snažan,voimakas
790,stark::A,jak,vahva
791,stark::A,snažan,vahva
792,schwach::A,slab,heikko
793,fett::A,pretio,lihava
794,schlank::A,vitak,hoikka
795,schlank::A,vitak,solakka
796,hübsch::A,zgodan,soma
797,hübsch::A,zgodan,sievä
798,böse::A,zao,paha
799,böse::A,zao,häijy
800,böse::A,opak,paha
801,böse::A,opak,häijy
