,Concept_ID,he,el
573,dünn::A,דק,ψιλός
574,dünn::A,דק,λεπτός
575,fein::A,מעדן,ψιλός
576,fest::A,מוצק,στερεός
577,flach::A,שטוח,επίπεδος
578,glatt::A,חלק,λείος
579,glatt::A,חלק,ομαλός
580,hart::A,קשיח,σκληρός
581,weich::A,רך,μαλακός
582,rund::A,עגל,στρογγυλός
583,spitz::A,חד,μυτερός
584,scharf::A,חד,κοφτερός
585,stumpf::A,קהה,αμβλύς
586,schwer::A,כבד,βαρύς
587,schön::A,יפה,ωραίος
588,schön::A,יפה,όμορφος
589,heiß::A,חם,ζεστός
590,warm::A,חם,θερμός
591,kalt::A,קר,κρύος
592,kalt::A,קר,ψυχρός
593,kühl::A,צונן,δροσερός
594,frisch::A,טרי,νωπός
595,frisch::A,טרי,φρέσκος
596,feucht::A,לח,υγρός
597,nass::A,רטוב,βρεγμένος
598,trocken::A,יבש,ξηρός
599,trocken::A,יבש,στεγνός
600,voll::A,מלא,γεμάτος
601,leer::A,ריק,άδειος
602,offen::A,פתוח,ανοιχτός
603,geschlossen::A,סגור,κλειστός
604,sauber::A,נקי,καθαρός
605,schmutzig::A,מלכלך,βρώμικος
606,schmutzig::A,מלכלך,λερωμένος
607,roh::A,חי,ωμός
608,reif::A,בשל,ώριμος
609,lecker::A,טעים,νόστιμος
610,süß::A,מתוק,γλυκός
611,bitter::A,מר,πικρός
612,sauer::A,חמוץ,ξινός
613,hell::A,בהיר,φωτεινός
614,dunkel::A,עמום,σκοτεινός
615,schwarz::A,שחר,μαύρος
616,schwarz::A,שחר,μελανός
617,weiß::A,לבן,άσπρος
618,rot::A,אדם,κόκκινος
619,gelb::A,צהב,κίτρινος
620,blau::A,כחל,μπλε
621,blau::A,כחל,γαλανός
622,grün::A,ירק,πράσινος
623,grau::A,אפר,γκρίζος
624,bunt::A,צבעוני,ποικιλόχρωπος
625,billig::A,זול,φτηνός
626,teuer::A,יקר,ακριβός
627,wertvoll::A,יקר ערך,πολύτιμος
628,blind::A,עור,τυφλός
629,taub::A,חרש,κουφός
630,kräftig::A,חסן,δυνατός
631,stark::A,חזק,γερός
632,schwach::A,חלש,αδύνατος
633,fett::A,שמן,παχύς
634,schlank::A,רזה,λεπτός
635,schlank::A,רזה,λυγερός
636,hübsch::A,יפה תאר,όμορφος
637,hübsch::A,יפה תאר,χαριτωμένος
638,böse::A,רשע,κακός
