,Concept_ID,kk,kk
659,Kraft::N,қарқын,қарқын
660,Kraft::N,қарқын,әл-шама
661,Kraft::N,қарқын,әл-дәрмен
662,Kraft::N,әл-шама,қуат
663,Kraft::N,әл-шама,қарқын
664,Kraft::N,әл-шама,әл-шама
665,Kraft::N,әл-шама,әл-дәрмен
666,Kraft::N,әл-дәрмен,қуат
667,Kraft::N,әл-дәрмен,қарқын
668,Kraft::N,әл-дәрмен,әл-шама
669,Kraft::N,әл-дәрмен,әл-дәрмен
670,Stärke::N,әл,әл
671,Stärke::N,әл,күш
672,Stärke::N,күш,әл
673,Stärke::N,күш,күш
674,Gesundheit::N,денсаулык,денсаулык
675,Krankheit::N,ауру,ауру
676,Schmerz::N,ауру,ауру
677,Wunde::N,зақым,зақым
678,Wunde::N,зақым,жарақат
679,Wunde::N,жарақат,зақым
680,Wunde::N,жарақат,жарақат
681,Fieber::N,безгек,безгек
682,Fieber::N,безгек,қалтырау
683,Fieber::N,безгек,қызу көтерілуі
684,Fieber::N,қалтырау,безгек
685,Fieber::N,қалтырау,қалтырау
686,Fieber::N,қалтырау,қызу көтерілуі
687,Fieber::N,қызу көтерілуі,безгек
688,Fieber::N,қызу көтерілуі,қалтырау
689,Fieber::N,қызу көтерілуі,қызу көтерілуі
690,Arznei::N,дәрі,дәрі
691,Arznei::N,дәрі,дәрі-дәрмек
692,Arznei::N,дәрі-дәрмек,дәрі
693,Arznei::N,дәрі-дәрмек,дәрі-дәрмек
694,Brücke::N,көпір,көпір
695,Brunnen::N,құдық,құдық
696,Weide::N,өріс,өріс
697,Weide::N,өріс,жайылым
698,Weide::N,жайылым,өріс
699,Weide::N,жайылым,жайылым
700,Pfad::N,жол,жол
701,Weg::N,жол,жол
702,Straße::N,жол,жол
703,Dorf::N,ауыл,ауыл
704,Stadt::N,қала,қала
705,Stadt::N,қала,шаһар
706,Stadt::N,шаһар,қала
707,Stadt::N,шаһар,шаһар
708,Brief::N,хат,хат
709,Brief::N,хат,жазу
710,Brief::N,жазу,хат
711,Brief::N,жазу,жазу
712,Buch::N,кітап,кітап
713,Buchstabe::N,әріп,әріп
714,Buchstabe::N,әріп,қаріп
715,Buchstabe::N,қаріп,әріп
716,Buchstabe::N,қаріп,қаріп
717,Zeitung::N,газет,газет
718,Leben::N,өмір,өмір
719,Leben::N,өмір,тіршілік
720,Leben::N,тіршілік,өмір
721,Leben::N,тіршілік,тіршілік
722,Tod::N,опат,опат
723,Grab::N,мола,мола
724,Grab::N,мола,мазар
725,Grab::N,мазар,мола
726,Grab::N,мазар,мазар
727,Kirche::N,шіркеу,шіркеу
728,Sünde::N,күнә,күнә
729,Gott::N,алла,алла
730,Gott::N,алла,құдай
731,Gott::N,алла,тәңірі
732,Gott::N,алла,пәруардігер
733,Gott::N,алла,жаратқан тәңірі
734,Gott::N,құдай,алла
735,Gott::N,құдай,құдай
736,Gott::N,құдай,тәңірі
737,Gott::N,құдай,пәруардігер
738,Gott::N,құдай,жаратқан тәңірі
739,Gott::N,тәңірі,алла
740,Gott::N,тәңірі,құдай
741,Gott::N,тәңірі,тәңірі
742,Gott::N,тәңірі,пәруардігер
743,Gott::N,тәңірі,жаратқан тәңірі
744,Gott::N,пәруардігер,алла
745,Gott::N,пәруардігер,құдай
746,Gott::N,пәруардігер,тәңірі
747,Gott::N,пәруардігер,пәруардігер
748,Gott::N,пәруардігер,жаратқан тәңірі
749,Gott::N,жаратқан тәңірі,алла
750,Gott::N,жаратқан тәңірі,құдай
751,Gott::N,жаратқан тәңірі,тәңірі
752,Gott::N,жаратқан тәңірі,пәруардігер
753,Gott::N,жаратқан тәңірі,жаратқан тәңірі
754,Arbeiter::N,жүмысшы,жүмысшы
755,Chef::N,басшы,басшы
756,Chef::N,басшы,жұмыс басқарушысы
757,Chef::N,жұмыс басқарушысы,басшы
758,Chef::N,жұмыс басқарушысы,жұмыс басқарушысы
759,Meister::N,шебер,шебер
760,Meister::N,шебер,өнерпаз
761,Meister::N,өнерпаз,шебер
762,Meister::N,өнерпаз,өнерпаз
763,Arzt::N,дәрігер,дәрігер
764,Lehrer::N,мұғалім,мұғалім
