,Concept_ID,lez,ta
295,Sache::N,затӏ,பொருள்
296,Rand::N,къерех,தொங்கு
297,Kante::N,син,விளிம்பு
298,Ecke::N,пӏипӏ,மூலை
299,Spitze::N,кӏвенкӏв,முனை
300,Ende::N,кьил,முடிவு
301,Loch::N,тӏеквен,துளை
302,Winkel::N,пӏипӏ,கோணம்
303,Muster::N,гишир,பாங்கு
304,Größe::N,кьадар,அளவு
305,Länge::N,яргъивал,நீளம்
306,Höhe::N,кьакьанвал,உயரம்
307,Gewicht::N,заланвал,எடை
308,Menge::N,кьадар,தொகை
309,Haufen::N,хара,குவியல்
310,Reihe::N,жерге,வரிசை
311,Boot::N,луьткве,படகு
312,Ruder::N,кьусу,துடுப்பு
313,Schlitten::N,гъелерар,சகடையிலா வண்டி
314,Lagerfeuer::N,цӏай,மூட்டம்
315,Last::N,заланвал,பாரம்
316,Gang::N,ериш,நடை
317,Schritt::N,къадам,காலடி
318,Norden::N,кефер,வடக்கு
319,Norden::N,кефер пад,வடக்கு
320,Süden::N,кьибле,தெற்கு
321,Westen::N,рагъакӏидай пад,மேற்கு திசை
322,Osten::N,рагъэкъечӏдай пад,கிழக்கு
323,Holz::N,кӏарас,மரக்கட்டை
324,Brett::N,кьул,பலகை
325,Brett::N,тахта,பலகை
326,Stütze::N,даях,அடைப்புகன்
327,Stange::N,юрк,கம்பம்
328,Stock::N,лаш,குச்சி
329,Stab::N,юрк,கம்பு
330,Rohr::N,турба,குழாய்
331,Haus::N,ужагъ,வீடு
332,Heim::N,кӏвал,வீடு
333,Ofen::N,пич,அடுப்பு
334,Fußboden::N,кӏвалин ччил,தரை
335,Tisch::N,стол,மேசை
336,Stuhl::N,стул,நாற்காலி
337,Wiege::N,кьеб,தொட்டில்
338,Bett::N,тахт,படுக்கை
339,Regal::N,кьацӏ,அலமாரி
340,Kiste::N,ящик,பெட்டி
341,Fenster::N,дакӏар,சாளரம்
342,Tür::N,рак,கதவு
343,Tor::N,варар,வாசற்கதவு
344,Zaun::N,пару,வேலி
345,Dach::N,къав,கூரை
346,Leiter::N,гурар,ஏணி
347,Besen::N,таран кул,விளக்குமாறு
348,Spaten::N,ппер,மண்வெட்டி
349,Schaufel::N,хекендаз,அடிதண்டா
350,Gabel::N,шиш,முட்கரண்டி
351,Löffel::N,тӏур,கரண்டி
352,Messer::N,чукӏул,கத்தி
353,Nagel::N,мих,ஆணி
354,Netz::N,чил,வலை
355,Haken::N,къармах,கொக்கி
356,Griff::N,ттум,கைப்பிடி
357,Schloss::N,куьлег,பூட்டு
358,Bild::N,шикил,படம்
359,Bild::N,суьрет,படம்
360,Figur::N,фигура,எண்ணிக்கை
361,Puppe::N,нини,பொம்மை
362,Beutel::N,тагъар,பை
363,Bündel::N,галгам,பொதி
364,Tasche::N,чанта,பை
365,Eimer::N,ведре,வாளி
366,Deckel::N,кьил,உறை
367,Deckel::N,къалпагъ,உறை
368,Geschirr::N,къаб-къажах,பாத்திரம்
369,Sack::N,чувал,பை
370,Tasse::N,сукӏра,கிண்ணம்
371,Topf::N,къажгъан,பானை
372,Kessel::N,къажгъан,கெண்டி
373,Essen::N,тӏуьн,உணவருந்துதல்
374,Nahrung::N,тӏуьн,உணவு
375,Speise::N,хуьрек,உணவு வகை
376,Fleisch::N,як,இறைச்சி
377,Getreide::N,техил,மக்காச்சோளம்
378,Brei::N,хапӏа,கஞ்சி
379,Brei::N,хешил,கஞ்சி
380,Brot::N,фу,ரொட்டி
381,Scheibe::N,чӏук,துண்டு
382,Fett::N,ягълу,கொழுப்பு
383,Butter::N,гъери,வெண்ணெய்
384,Öl::N,ягълу,எண்ணெய்
385,Salz::N,кьел,உப்பு
386,Suppe::N,суп,ரசம்
387,Suppe::N,шурпа,ரசம்
388,Honig::N,вирт,தேன்
389,Milch::N,нек,பால்
390,Tee::N,чай,தெனீர்
391,Leder::N,тумаж,பதம் செய்யப்பட்ட தோல்
392,Wolle::N,йис,கம்பளி
393,Stoff::N,парча,துணி
394,Nadel::N,раб,ஊசி
395,Faden::N,гъал,நூல்
396,Knopf::N,дуьгме,பொத்தான்
397,Knoten::N,тӏвал,முடிச்சு
398,Farbe::N,ранг,வண்ணக் குழம்பு
399,Kleidung::N,партал,ஆடைகள்
400,Hemd::N,перем,சட்டை
401,Kragen::N,хев,கழுத்துப் பட்டை
402,Ärmel::N,хел,சட்டைக்கை
403,Hose::N,шалвар,கால்சட்டை
404,Gürtel::N,чӏул,பெல்ட்
405,Mütze::N,бармак,தொப்பி
406,Mütze::N,бапӏах,தொப்பி
407,Schuh::N,ботинка,காலணி
408,Stiefel::N,чекме,காலணி
409,Ring::N,тупӏал,மோதிரம்
410,Band::N,тасма,நாடா
411,Kamm::N,регъ,கீப்பு
412,Spiegel::N,гуьзгуь,ஆடி
413,Spiegel::N,гуьзгуь,கண்ணாடி
414,Riemen::N,къайиш,வார்
415,Schnur::N,еб,கயிறு
416,Decke::N,яргъан,போர்வை
417,Kissen::N,хъуьцуьган,தலையணை
418,Tuch::N,шал,துணி
419,Handtuch::N,дасмал,தண்டு
420,Kraft::N,гуж,நிர்பந்தம்
421,Stärke::N,къуват,பலம்
422,Gesundheit::N,сагъвал,ஆரோக்கியம்
423,Krankheit::N,тӏал,நோய்
424,Schmerz::N,тӏал,வலி
425,Schmerz::N,тӏарвал,வலி
426,Wunde::N,хер,காயம்
427,Fieber::N,ифин,காய்ச்சல்
428,Arznei::N,дарман,மருந்து
429,Brücke::N,муьгъ,பாலம்
430,Brunnen::N,къуй,கேணி
431,Weide::N,уьруьш,மேய்ச்சல் நிலம்
432,Pfad::N,рехъ,நடை வழி
433,Weg::N,рехъ,வழி
434,Straße::N,рехъ,சாலை
435,Dorf::N,хуьр,கிராமம்
436,Stadt::N,шегьер,நகரம்
437,Brief::N,кагъаз,கடிதம்
438,Buch::N,улуб,புத்தகம்
439,Buchstabe::N,гьарф,எழத்து
440,Zeitung::N,газета,செய்தித்தாள்
441,Leben::N,уьмуьр,வாழ்க்கை
442,Tod::N,кьиникь,மரணம்
443,Grab::N,сур,சமாதி
444,Kirche::N,килиса,தேவாலயம்
445,Sünde::N,гунагь,பாவம்
446,Gott::N,аллагь,கடவுள்
447,Arbeiter::N,фяле,தொழிலாளி
448,Chef::N,гьаким,மேலாளர்
449,Meister::N,устӏар,தலைவன்
450,Arzt::N,доктор,மருத்துவர்
451,Lehrer::N,муаллим,ஆசிரியர்
452,Geld::N,пул,பணம்
453,Laden::N,магазин,கடை
454,Preis::N,къимет,விலை
455,Ware::N,мал,சாமன்கள்
456,Ware::N,товар,சாமன்கள்
457,Nutzen::N,хийир,இலாபம்
458,Nutzen::N,менфят,இலாபம்
459,Reichtum::N,девлет,சொத்து
460,Welt::N,дуьнья,உலகம்
461,Land::N,уьлкве,நாடு
462,Staat::N,пачагьлугъ,நாடு
463,Staat::N,государство,நாடு
464,König::N,пачагь,அரசன்
465,Macht::N,власть,அதிகாரம்
466,Grenze::N,сергьят,எல்லை
467,Krieg::N,дяве,போர்
468,Feind::N,душман,எதிரி
469,Gewalt::N,гуж,வன்முறை
470,Kampf::N,женг,போராட்டம்
471,Bogen[Waffe]::N,чӏемерук,வில்
472,Pfeil::N,хьел,அம்பு
473,Gewehr::N,тфенг,துப்பாக்கி
474,Fehler::N,гъалатӏ,தவறு
475,Lüge::N,ттаб,பொய்
476,Schaden::N,зиян,சேதாரம்
477,Schaden::N,зарар,சேதாரம்
478,Unglück::N,бала,இடையூறு
479,Unglück::N,бедбахтвал,இடையூறு
480,Schuld::N,тахсир,குற்றம்
481,Alter::N,яш,வயது
482,Schluss::N,эхир,முடிவு
483,Zeit::N,вяде,காலம்
484,Tag::N,югъ,நாள்
485,Morgen::N,пакама,காலை நேரம்
486,Mittag::N,нисин,மதியம்
487,Abend::N,няни,மாலைப் பொழுது
488,Nacht::N,йиф,இரவு
489,Woche::N,гьафте,வாரம்
490,Monat::N,варз,மாதம்
491,Jahr::N,йис,வருடம்
492,Frühling::N,гатфар,வசந்தம்
493,Sommer::N,гад,கோடை
494,Herbst::N,зул,இலையுதிர் காலம்
495,Winter::N,кьуьд,குளிர்காலம்
496,Januar::N,январь,ஜனவரி
497,Februar::N,февраль,பிபரவரி மாதம்
498,März::N,март,மார்ச் மாதம்
499,April::N,апрель,ஏப்ரல் மாதம்
500,Mai::N,май,மே மாதம்
501,Juni::N,июнь,ஜூன் மாதம்
502,Juli::N,июль,ஜூலை மாதம்
503,August::N,август,ஆகஸ்ட் மாதம்
504,September::N,сентябрь,செப்டம்பர் மாதம்
505,Oktober::N,октябрь,அக்டோபர் மாதம்
506,November::N,ноябрь,நவம்பர் மாதம்
507,Dezember::N,декабрь,டிசம்பர்
508,Montag::N,ислен,திங்கட் கிழமை
509,Dienstag::N,саласа,செவ்வாய்க்கிழமை
510,Mittwoch::N,арбе,புதன் கிழமை
511,Donnerstag::N,хемис югъ,வியாழக் கிழமை
512,Freitag::N,жуьмя,வெள்ளிக்கிழமை
513,Freitag::N,жуьмя югъ,வெள்ளிக்கிழமை
514,Samstag::N,киш,சனிக்கிழமை
515,Sonntag::N,гьяд,ஞாயிறுக் கிழமை
516,groß::A,еке,பெரிய
517,groß::A,чӏехи,பெரிய
518,klein::A,гъвечӏи,சிறிய
519,lang::A,яргъи,நீண்ட
520,kurz::A,куьруь,குட்டையான
521,breit::A,гьяркьуь,அகலமான
522,schmal::A,гуьтӏуь,குறுகலான
523,dicht::A,къалин,அடர்த்தியான
524,dünn::A,кьелечӏ,சன்னமான
525,fein::A,шуькӏуь,மெல்லிய
526,fest::A,кӏеви,உறுதியாள
527,flach::A,кьулу,தட்டையான
528,glatt::A,цӏалцӏам,வழுவழுப்பான
529,hart::A,кӏеви,கடினமான
530,weich::A,хъуьтуьл,மென்மையான
531,rund::A,элкъвей,உருண்டையான
532,spitz::A,хци,திகந்தமாக
533,scharf::A,хци,கூரான
534,stumpf::A,къуьруь,உளம் திறந்த
535,schwer::A,залан,கனமான
536,schön::A,иер,அழகான
537,heiß::A,кудай,சூடான
538,warm::A,чими,இதமான
539,kalt::A,мекьи,குளிர்ச்சியான
540,kühl::A,къайи,குளிர்ச்சியான
541,frisch::A,таза,சுத்தமான
542,frisch::A,михьи,சுத்தமான
543,feucht::A,ламу,ஈரமான
544,nass::A,кьежей,ஈரமான
545,trocken::A,кьуру,உலர்ந்த
546,voll::A,ацӏай,நிரம்பிய
547,leer::A,буш,காலியான
548,leer::A,ичӏи,காலியான
549,offen::A,ахъа,திறந்த
550,geschlossen::A,кӏеви,மூடப்பட்ட
551,sauber::A,михьи,சுத்தமான
552,schmutzig::A,чиркин,அழக்கான
553,schmutzig::A,кьацӏай,அழக்கான
554,roh::A,чиг,கச்சா
555,roh::A,ицӏи,கச்சா
556,reif::A,дигмиш хьайи,பழுத்த
557,lecker::A,дадлу,சுவைமிக்க
558,süß::A,ширин,இனிப்பான
559,bitter::A,туькьуьл,கசப்பான
560,sauer::A,цуру,புளிப்பாக
561,hell::A,экуь,பளபளப்பான
562,dunkel::A,мичӏи,கருமையான
563,schwarz::A,чӏулав,கருப்பு வண்ண
564,weiß::A,лацу,வெண்மையன
565,rot::A,яру,சிவப்பு
566,gelb::A,хъипи,மஞ்சள் வண்ணம்
567,blau::A,вили,நீல வண்ண
568,grün::A,къацу,பச்சை வண்ண
569,grau::A,рехи,சாம்பல் நிற
570,bunt::A,цӏару,வண்ண மயமான
571,bunt::A,яру-цӏару,வண்ண மயமான
572,billig::A,ужуз,மலிவான
573,teuer::A,багьа,விலை அதிகமான
574,wertvoll::A,масан,மதிப்புள்ள
575,blind::A,буьркьуь,பார்வையற்ற
576,taub::A,биши,செவிடான
577,kräftig::A,гужлу,வலிமையான
578,stark::A,къуватлу,பலமான
579,schwach::A,такьатсуз,பலவீனமான
580,fett::A,куьк,பருமனாக
581,schlank::A,шумал,ஒல்லியான
582,hübsch::A,гуьрчег,அழகிய
583,böse::A,пис,கேடு விளைவிக்கும்
584,dumm::A,ахмакь,முட்டாள்தனமான
585,faul::A,тенпел,சோம்பலான
586,fleißig::A,сяй ийидай,ஊக்கந்தளராத
587,fleißig::A,сяйи ийидай,ஊக்கந்தளராத
588,geizig::A,мискьи,கஞேசத்தனமான
589,klug::A,акьуллу,சாதுரியமான
590,geschickt::A,магьир,திறமையள்ள
591,lieb::A,играми,அன்புக்குரிய
592,lustig::A,шад,களிப்புமிக்க
593,sanft::A,назик,சாதுவான
594,sanft::A,милайим,சாதுவான
595,hungrig::A,гишин,பசியுடன்
596,krank::A,кефсуз,நோயுற்று
597,nackt::A,кьецӏил,ஆடையற்ற
598,traurig::A,пашман,சோகமான
599,lebendig::A,ччан алай,பிழைப்பு
600,gut::A,хъсан,நல்ல
601,gut::A,вижевай,நல்ல
602,schlecht::A,пис,கெட்ட
603,richtig::A,дуьз,சரியான
604,schlimm::A,нифретлу,அருவருப்பான
605,wahr::A,гьакъикъи,உண்மையான
606,alt::A,эски,பழைய
607,alt::A,куьгьне,பழைய
608,neu::A,цӏийи,புதிய
609,ehemalig::A,виликан,முன்நாள்
610,alt[Lebewesen]::A,кьуьзуь,வயதான
611,jung::A,жегьил,இளமையான
612,arm::A,кесиб,ஏழ்மையான
613,reich::A,девлетлу,செல்வம் படைத்த
614,bekannt::A,чидай,பழக்கப்பட்ட
615,berühmt::A,машгьур,புகழ்பெற்ற
616,fremd::A,ччара,அயல் நாட்டு
617,verschieden::A,жуьреба-жуьре,வித்தியாசமான
618,nah::A,мукьвал,பக்கத்தில் உள்ள
619,fern::A,яргъал,தொலை தூரத்தில்
620,linker::A,чапла,மீந்திருக்கும்
621,rechter::A,эрчӏи,வலதுபக்கம்
622,anderer::A,маса,மற்ற
623,anderer::A,муькуь,மற்ற
624,erster::A,сад лагьай,முதனமையான
625,zweiter::A,кьвед лагьай,இரண்டாவது
626,dritter::A,пуд лагьай,மூன்றாவது
627,letzter::A,эхиримжи,கடைசி
628,allein::ADV,кьилди,தனியாக
629,zusammen::ADV,санал,சேர்ந்து
630,lange::ADV,яргъалди,அதிக நோம்
