,Concept_ID,uk,nl
797,unter::PRP,під,onder
798,unter::PRP,під,beneden
799,durch::PRP,крізь,door
800,neben::PRP,біля,naast
801,zwischen::PRP,між,tussen
802,wegen::PRP,з-за,wegens
803,wegen::PRP,з-за,vanwege
804,wegen::PRP,через,wegens
805,wegen::PRP,через,vanwege
806,dies::PRN,це,dit
807,das::PRN,то,dat
808,alles::PRN,все,alles
809,ich::PRN,я,ik
810,du::PRN,ти,je
811,du::PRN,ти,jij
812,er::PRN,він,hij
813,wir::PRN,ми,we
814,wir::PRN,ми,wij
815,ihr::PRN,ви,jullie
816,sie::PRN,вони,ze
817,sie::PRN,вони,zij
818,was::FPRN,що,wat
819,wer::FPRN,хто,wie
820,wo::FADV,де,waar
821,wohin::FADV,куди,waarheen
822,wie::FADV,як,hoe
823,warum::FADV,чому,waarom
824,wieviel::FNUM,скільки,hoeveel
825,eins::NUM,один,één
826,zwei::NUM,два,twee
827,drei::NUM,три,drie
828,vier::NUM,чотири,vier
829,fünf::NUM,п’ять,vijf
830,sechs::NUM,шість,zes
831,sieben::NUM,сім,zeven
832,acht::NUM,вісім,acht
833,neun::NUM,дев’ять,negen
