,Concept_ID,ka,sv
665,gelb::A,ყვითელი,gul
666,blau::A,ლურჯი,blå
667,blau::A,ცისფერი,blå
668,grün::A,მწვანე,grön
669,grau::A,რუხი,grå
670,grau::A,ნაცრისფერი,grå
671,bunt::A,ჭრელი,brokig
672,bunt::A,ფერადი,brokig
673,billig::A,იაფი,billig
674,teuer::A,ძვირი,dyr
675,wertvoll::A,ღირსიანი,värdefull
676,blind::A,ბრმა,blind
677,taub::A,ყრუ,döv
678,kräftig::A,ძალავანი,kraftig
679,stark::A,ძლიერი,stark
680,stark::A,ღონიერი,stark
681,schwach::A,სუსტი,svag
682,fett::A,სქელი,fet
683,schlank::A,გამხდარი,slank
684,hübsch::A,ეშხიანი,snygg
685,hübsch::A,ეშხიანი,vacker
686,hübsch::A,მშვენიერი,snygg
687,hübsch::A,მშვენიერი,vacker
688,böse::A,ავი,ond
689,böse::A,ავი,elak
690,böse::A,ბოროტი,ond
691,böse::A,ბოროტი,elak
692,dumm::A,ბოთე,dum
693,dumm::A,სულელი,dum
694,faul::A,ზანტი,lat
695,faul::A,ზარმაცი,lat
696,fleißig::A,ბეჯითი,flitig
697,fleißig::A,მუყაითი,flitig
698,geizig::A,ძუნწი,snål
699,geizig::A,ძუნწი,girig
700,klug::A,ჭკვიანი,klok
701,geschickt::A,მარჯვე,händig
702,geschickt::A,მარჯვე,skicklig
703,geschickt::A,გაწაფული,händig
704,geschickt::A,გაწაფული,skicklig
705,lieb::A,სატრფიალო,kär
706,lieb::A,სატრფიალო,snäll
707,lustig::A,მხიარული,rolig
708,lustig::A,მხიარული,lustig
709,sanft::A,ალერსიანი,mild
710,sanft::A,გრძნობიერი,mild
711,hungrig::A,მშიერი,hungrig
712,krank::A,სნეული,sjuk
713,krank::A,ავადმყოფი,sjuk
714,nackt::A,ტიტველი,naken
715,traurig::A,მწუხარე,ledsen
716,traurig::A,მწუხარე,sorgsen
717,traurig::A,სევდიანი,ledsen
718,traurig::A,სევდიანი,sorgsen
719,lebendig::A,ცოცხალი,levande
720,gut::A,კარგი,bra
721,schlecht::A,უხეირო,dålig
722,richtig::A,ნამდვილი,riktig
723,schlimm::A,ცუდი,illa
724,wahr::A,სწორი,sann
725,wahr::A,ჭეშმარიტი,sann
726,alt::A,ძველი,gammal
727,neu::A,ახალი,ny
728,ehemalig::A,ყოფილი,forn
729,ehemalig::A,ყოფილი,tidigare
730,alt[Lebewesen]::A,ბებერი,gammal
731,jung::A,ნორჩი,ung
732,jung::A,ახალგაზრდა,ung
733,arm::A,ღარიბი,fattig
734,reich::A,მდიდარი,rik
735,bekannt::A,ცნობილი,känd
736,berühmt::A,გამოჩენილი,berömd
737,fremd::A,უცხო,främmande
738,fremd::A,გარეშე,främmande
739,verschieden::A,სხვაგვარი,åtskillig
740,nah::A,ახლო,nära
741,fern::A,შორი,fjärran
742,fern::A,შორეული,fjärran
743,linker::A,მარცხენა,vänster
744,rechter::A,მარჯვენა,höger
745,anderer::A,სხვა,annan
746,erster::A,პირველი,första
747,zweiter::A,მეორე,andra
748,dritter::A,მესამე,tredje
749,letzter::A,ბოლო,sist
750,letzter::A,უკანასკნელი,sist
751,allein::ADV,მარტო,allena
752,auf einmal::ADV,ერთდროულად,på en gång
753,zusammen::ADV,ერთად,tillsammans
754,lange::ADV,დიდხანს,länge
