,Concept_ID,udm,cs
379,Westen::N,шунды пуксён,západ
380,Osten::N,шунды ӝужан,východ
381,Holz::N,пу,dřevo
382,Brett::N,пул,prkno
383,Platte::N,плита,deska
384,Stütze::N,пыкет,opěra
385,Stange::N,пуӵ,tyč
386,Stange::N,пуӵ,tyčka
387,Stock::N,боды,hůlka
388,Stab::N,пуӵ,hůl
389,Stab::N,боды,hůl
390,Rohr::N,труба,trubka
391,Haus::N,юрт,dům
392,Heim::N,корка,domov
393,Ofen::N,гур,kamna
394,Fußboden::N,выж,podlaha
395,Tisch::N,ӝӧк,stůl
396,Stuhl::N,пукон,židle
397,Wiege::N,кӧкы,kolébka
398,Wiege::N,зыбка,kolébka
399,Bett::N,валес,postel
400,Regal::N,ӝажы,regál
401,Regal::N,ӝажы,police
402,Kiste::N,ящик,bedna
403,Fenster::N,укно,okno
404,Fenster::N,косяк,okno
405,Tür::N,ӧс,dveře
406,Tor::N,ӟезьы,vrata
407,Zaun::N,забор,plot
408,Dach::N,липет,střecha
409,Leiter::N,падӟа,žebřík
410,Besen::N,ӵужон,koště
411,Besen::N,ӵужон,smeták
412,Besen::N,исьнер,koště
413,Besen::N,исьнер,smeták
414,Spaten::N,лопатка,rýč
415,Schaufel::N,ютырон,lopata
416,Gabel::N,тэчы,vidlička
417,Gabel::N,вилка,vidlička
418,Löffel::N,пуньы,lžíce
419,Messer::N,пурт,nůž
420,Nagel::N,кортӵог,hřebík
421,Netz::N,сеть,síť
422,Haken::N,курик,hák
423,Griff::N,ныд,držadlo
424,Schloss::N,тунгон,zámek
425,Bild::N,суред,obraz
426,Figur::N,фигура,figura
427,Puppe::N,мунё,panenka
428,Beutel::N,пуйы,pytlík
429,Bündel::N,керттэт,svazek
430,Tasche::N,пуйы,taška
431,Tasche::N,пуйы,brašna
432,Tasche::N,сумка,taška
433,Tasche::N,сумка,brašna
434,Eimer::N,ведра,kýbl
435,Eimer::N,ведра,vědro
436,Deckel::N,ӵоксэт,víko
437,Deckel::N,ӵоксэт,příklop
438,Geschirr::N,тусьты-пуньы,nádobí
439,Sack::N,пуйы,pytel
440,Tasse::N,ӵаша,šálek
441,Topf::N,миска,hrnec
442,Kessel::N,пурты,kotel
443,Essen::N,сиськон,jídlo
444,Nahrung::N,сион,strava
445,Nahrung::N,сион,potrava
446,Speise::N,сиён,jídlo
447,Fleisch::N,сӥль,maso
448,Getreide::N,ю тысь,obilí
449,Brei::N,ӝук,kaše
450,Brot::N,нянь,chléb
451,Scheibe::N,шорем,krajíc
452,Fett::N,кӧй,tuk
453,Fett::N,кӧй,omastek
454,Butter::N,вӧй,máslo
455,Öl::N,вӧй,olej
456,Salz::N,сылал,sůl
457,Suppe::N,шыд,polévka
458,Honig::N,чечы,med
459,Milch::N,йӧл,mléko
460,Tee::N,чай,čaj
461,Leder::N,сурон,kůže
462,Wolle::N,гон,vlna
463,Wolle::N,ыжгон,vlna
464,Stoff::N,куэм,látka
465,Nadel::N,вень,jehla
466,Faden::N,сӥньыс,nit
467,Knopf::N,бирды,knoflík
468,Knoten::N,герд,uzel
469,Farbe::N,буёл,barva
470,Kleidung::N,дӥсь,šaty
