,Concept_ID,lbe,ce
336,Stab::N,ччантӏакъу,гӏаж
337,Rohr::N,бургъу,биргӏа
338,Haus::N,къатта,цӏа
339,Heim::N,къатта,кхерч
340,Ofen::N,пач,кхерч
341,Fußboden::N,чӏанкъатта,цӏенкъа
342,Tisch::N,усттул,шун
343,Stuhl::N,кӏану,гӏант
344,Wiege::N,оьрчӏал кӏану,ага
345,Bett::N,тах,маьнга
346,Regal::N,чӏаму,терхи
347,Kiste::N,яшикӏ,яьшка
348,Kiste::N,къурши,яьшка
349,Fenster::N,чӏавахьулу,кор
350,Tür::N,нуз,неӏ
351,Tür::N,нузкьун,неӏ
352,Tor::N,къапу,ков
353,Tor::N,дарваза,ков
354,Zaun::N,дайгьузанну,керт
355,Dach::N,магъи,тхов
356,Dach::N,цӏиялу,тхов
357,Leiter::N,чуртту,лами
358,Besen::N,чӏатлу,нуй
359,Spaten::N,бил,бел
360,Schaufel::N,чӏатӏа,аьшкал
361,Gabel::N,гьиссилу,мӏара
362,Löffel::N,къуса,ӏайг
363,Messer::N,чӏила,урс
364,Nagel::N,мяр,хьостам
365,Netz::N,къери,бой
366,Haken::N,къича,мӏара
367,Griff::N,куяму,
368,Schloss::N,кьункьула,чӏега
369,Bild::N,сурат,сурт
370,Puppe::N,ссихьу,тайниг
371,Beutel::N,чантай,гали
372,Bündel::N,гьи,кочар
373,Bündel::N,къар,кочар
374,Eimer::N,бадра,чийлик
375,Deckel::N,къапаза,негӏар
376,Geschirr::N,пюрунчӏул,пхьегӏа
377,Geschirr::N,тӏахӏникӏичӏу,пхьегӏа
378,Sack::N,къап,гали
379,Sack::N,дарваг,гали
380,Tasse::N,пижан,кад
381,Tasse::N,пинжан,кад
382,Tasse::N,инкираччатӏи,кад
383,Tasse::N,цинцилттал бушкъап,кад
384,Topf::N,кӏункӏур,яй
385,Kessel::N,чаг,яй
386,Kessel::N,кӏункӏур,яй
387,Essen::N,дукия,юург
388,Essen::N,дукин,юург
389,Nahrung::N,дукра,кхача
390,Speise::N,дукра,юург
391,Fleisch::N,дикӏ,жижиг
392,Getreide::N,къама,буьртиг
