,Concept_ID,vep,ku
427,Suppe::N,keitoz,şorbe
428,Honig::N,mezi,hingiv
429,Milch::N,maid,şîr
430,Tee::N,čai,çay
431,Leder::N,nahk,çerm
432,Wolle::N,vill,herî
433,Stoff::N,kangaz,paç
434,Nadel::N,negl,derzî
435,Faden::N,nit',ta
436,Knopf::N,nübl',bişkok
437,Knoten::N,sol'm,girêk
438,Farbe::N,muju,boyax
439,Kleidung::N,sobad,çil
440,Hemd::N,paid,qutik
441,Hemd::N,paid,miltan
442,Kragen::N,kagluz,stûvang
443,Ärmel::N,hijam,hûçik
444,Hose::N,štanad,şewel
445,Gürtel::N,vö,qayiş
446,Mütze::N,šapuk,fîno
447,Schuh::N,keng',şêkal
448,Stiefel::N,sapug,gizme
449,Stiefel::N,sapug,çizme
450,Ring::N,rengaz,xelek
451,Band::N,lentaine,band
452,Kamm::N,suga,şeh
453,Spiegel::N,zerkol,eynik
454,Riemen::N,vö,qayiş
455,Schnur::N,nor,doxin
456,Leine::N,talutimnor,şirît
457,Decke::N,sijakatuz,bataniye
458,Kissen::N,pöluz,balgî
459,Tuch::N,paik,şar
460,Handtuch::N,käzipaik,dezmal
461,Kraft::N,vägi,hêz
462,Kraft::N,vägi,qewet
463,Stärke::N,vahvuz',xurtî
464,Gesundheit::N,tervhuz,nojdarî
465,Krankheit::N,läžund,nexweşî
466,Schmerz::N,kibu,êş
467,Wunde::N,čapatez,kul
468,Fieber::N,säru,ta
469,Arznei::N,zel'l',derman
470,Brücke::N,sild,kopî
471,Brunnen::N,kaiv,çal
472,Brunnen::N,kaiv,kani
473,Weide::N,omaluine,beyar
474,Pfad::N,tehut,xaçirek
475,Weg::N,te,rê
476,Straße::N,te,rê
477,Dorf::N,külä,gund
478,Stadt::N,lidn,baçar
479,Brief::N,kirjeine,name
480,Buch::N,kirj,kitêb
481,Buch::N,kirj,pirtûk
482,Buchstabe::N,kirjam,herf
483,Zeitung::N,lehtez,rojname
484,Leben::N,elo,jiyan
485,Tod::N,surm,mirin
486,Grab::N,kaum,mezel
487,Kirche::N,jumalanpert',gilyas
488,Sünde::N,grähk,guneh
489,Gott::N,jumal,xwedê
490,Arbeiter::N,radnik,hîşçî
491,Chef::N,pämez',bêg
492,Meister::N,mastar,hoste
493,Arzt::N,lekar',doktor
494,Lehrer::N,opendai,mamoste
495,Geld::N,rahad,pere
496,Geschäft::N,biznes,firoşgeh
497,Laden::N,lauk,dikan
498,Preis::N,arv,buha
499,Ware::N,tavar,tişt
500,Nutzen::N,liža,fêde
501,Reichtum::N,kodielo,serwet
502,Reichtum::N,kal'huz',serwet
503,Welt::N,mail'm,dinya
504,Land::N,ma,welat
505,Staat::N,valdkund,dewlet
506,König::N,kunigaz,şah
507,König::N,kunigaz,qral
508,Macht::N,vald,qewet
509,Macht::N,vald,destihilat
510,Grenze::N,röun,kevî
511,Krieg::N,soda,çeng
512,Krieg::N,soda,sêwaş
513,Feind::N,vihanik,dijmin
514,Feind::N,vastustai,dijmin
515,Gewalt::N,vägivald,zor
516,Kampf::N,tora,şer
517,Bogen[Waffe]::N,taug,kêvan
518,Pfeil::N,nol,çîrik
519,Gewehr::N,oružj,tifing
520,Fehler::N,viga,şaşî
521,Lüge::N,kelastuz,derew
522,Schaden::N,pahuz',xisar
523,Unglück::N,bed,bêbextî
524,Unglück::N,gor'a,bêbextî
525,Schuld::N,värhuz',suç
526,Alter::N,igä,temen
527,Schluss::N,lop,girtin
528,Zeit::N,aig,çax
529,Tag::N,päiv,roj
530,Morgen::N,homendez,sibeh
531,Mittag::N,keskpäiv,nîro
532,Abend::N,eht,êvar
533,Nacht::N,ö,şev
534,Woche::N,nedal',heftî
