,Concept_ID,mrj,fi
388,Stange::N,намаш,tanko
389,Stock::N,панды,keppi
390,Stab::N,равы,sauva
391,Stab::N,равы,seiväs
392,Rohr::N,пыч,putki
393,Haus::N,пöрт,talo
394,Heim::N,пöрт,koti
395,Ofen::N,камака,uuni
396,Fußboden::N,седӹрӓ,lattia
397,Tisch::N,стöл,pöytä
398,Stuhl::N,пöкен,tuoli
399,Wiege::N,шипкӓ,kehto
400,Bett::N,койка,sänky
401,Bett::N,кравать,sänky
402,Regal::N,полицӓ,hylly
403,Kiste::N,шӱ́ндӹк,arkku
404,Kiste::N,шӱ́ндӹк,kirstu
405,Kiste::N,шӱ́ндӹк,laatikko
406,Fenster::N,окня,ikkuna
407,Tür::N,амаса,ovi
408,Tor::N,хапка,portti
409,Zaun::N,забор,aita
410,Dach::N,левӓш,katto
411,Leiter::N,ташкалтыш,tikkaat
412,Leiter::N,ташкалтыш,tikapuut
413,Besen::N,сало,luuta
414,Besen::N,салко,luuta
415,Spaten::N,кольмы,lapio
416,Schaufel::N,лоток,lapio
417,Gabel::N,ви́лка,haarukka
418,Löffel::N,савала,lusikka
419,Messer::N,кӹзӹ,veitsi
420,Nagel::N,пыда,naula
421,Netz::N,вӓпш,verkko
422,Haken::N,крӱк,haka
423,Haken::N,крӱк,koukku
424,Haken::N,кагак,haka
425,Haken::N,кагак,koukku
426,Griff::N,кычем,ripa
427,Griff::N,кычем,kahva
428,Schloss::N,замок,lukko
429,Schloss::N,сыравач,lukko
430,Bild::N,картин,kuva
431,Figur::N,кӓн,kuvio
432,Puppe::N,поханя,nukke
433,Beutel::N,мешӓк,pussi
434,Bündel::N,топ,nippu
435,Bündel::N,топ,kimppu
436,Bündel::N,пидӹш,nippu
437,Bündel::N,пидӹш,kimppu
438,Bündel::N,кӹлдӹш,nippu
439,Bündel::N,кӹлдӹш,kimppu
440,Tasche::N,сумкы,laukku
441,Eimer::N,ведӹрӓ,sanko
442,Eimer::N,ведӹрӓ,ämpäri
443,Deckel::N,комдыш,kansi
444,Geschirr::N,ӓтӹ,astia
445,Sack::N,мешӓк,säkki
446,Tasse::N,цӓшкӓ,kuppi
447,Topf::N,ми́ска,pata
448,Kessel::N,пад,kattila
449,Essen::N,качкыш,syönti
450,Essen::N,качкыш-йӱш,syönti
451,Nahrung::N,качкыш,ruoka
452,Nahrung::N,качкыш,ravinto
453,Nahrung::N,качкыш-йӱш,ruoka
454,Nahrung::N,качкыш-йӱш,ravinto
455,Speise::N,няня,ruoka
456,Fleisch::N,пай,liha
457,Getreide::N,киндӹ,vilja
458,Brei::N,шӹрӓш,puuro
459,Brot::N,сыкыр,leipä
460,Scheibe::N,ламыт,viipale
461,Scheibe::N,лаштык,viipale
462,Fett::N,кая,rasva
463,Butter::N,ӱ,voi
464,Öl::N,ӱ,öljy
465,Salz::N,санзал,suola
466,Suppe::N,лем,keitto
467,Honig::N,мӱ,hunaja
468,Milch::N,шӹшер,maito
469,Tee::N,чӓй,tee
470,Leder::N,шарга,nahka
471,Leder::N,кавашты,nahka
472,Wolle::N,миж,villa
473,Stoff::N,матер,kangas
474,Stoff::N,матери,kangas
475,Nadel::N,им,neula
476,Faden::N,шӹртӹ,lanka
477,Knopf::N,полдыш,nappi
478,Knoten::N,пӱкшем,solmu
479,Farbe::N,чиӓ,maali
480,Farbe::N,крӓскӓ,maali
481,Kleidung::N,выргем,vaatteet
482,Hemd::N,тыгыр,paita
483,Kragen::N,шӱ,kaulus
484,Ärmel::N,шокш,hiha
485,Hose::N,ялаш,housut
486,Gürtel::N,ӹштӹ,vyö
487,Mütze::N,упш,lakki
488,Schuh::N,ту́фльы,kenkä
489,Stiefel::N,кем,saapas
490,Ring::N,шӓргӓш,sormus
491,Band::N,лемтӓ,nauha
492,Kamm::N,шерге,kampa
493,Spiegel::N,тӹгӹр,peili
494,Riemen::N,прӓжӓ,hihna
495,Schnur::N,кӓндӹра,naru
496,Schnur::N,кӓндӹра,nuora
497,Leine::N,керем,talutushihna
498,Decke::N,одеял,peite
499,Kissen::N,кӹпцӹк,tyyny
500,Kissen::N,кӹпцӹк,pielus
501,Tuch::N,савыц,huivi
502,Handtuch::N,шӹргӹсавыц,pyyheliina
503,Handtuch::N,шӹргӹмсавыц,pyyheliina
504,Kraft::N,ви,väki
505,Kraft::N,ви,voima
506,Stärke::N,ви,vahvuus
507,Gesundheit::N,шу,terveys
508,Gesundheit::N,шулык,terveys
509,Krankheit::N,мыж,tauti
510,Krankheit::N,мыж,sairaus
511,Schmerz::N,карштыш,kipu
512,Schmerz::N,карштыш,särky
513,Wunde::N,шушыр,haava
514,Fieber::N,ӱштӹмыж,kuume
515,Arznei::N,лекӓрцӹ,lääke
516,Brücke::N,кӹвер,silta
517,Brunnen::N,вӹдсӹнзӓ,kaivo
518,Weide::N,ныр,laidun
519,Pfad::N,ялгорны,polku
520,Weg::N,корны,tie
521,Straße::N,корны,katu
522,Dorf::N,сола,kylä
523,Stadt::N,города,kaupunki
524,Brief::N,сирмӓш,kirje
525,Buch::N,книгӓ,kirja
526,Buchstabe::N,буква́,kirjain
527,Zeitung::N,газет,lehti
528,Zeitung::N,газет,sanomalehti
529,Zeitung::N,кайзет,lehti
530,Zeitung::N,кайзет,sanomalehti
531,Leben::N,житя,elo
532,Leben::N,житя,elämä
533,Tod::N,смöрт,kuolema
534,Grab::N,шӹгер,hauta
535,Grab::N,мыгилӓ,hauta
536,Grab::N,шӹгерлӓ,hauta
537,Kirche::N,церкӹ,kirkko
538,Sünde::N,сулык,synti
539,Gott::N,йымы,jumala
540,Arbeiter::N,пӓшӓзӹ,työläinen
541,Chef::N,вуй,päällikkö
542,Meister::N,мастар,mestari
543,Arzt::N,доктор,lääkäri
544,Lehrer::N,тымдышы,opettaja
545,Geld::N,окса,raha
546,Geschäft::N,торге́йӹмӓш,liike
547,Laden::N,лапка,puoti
