,Concept_ID,av,ka
450,Stoff::N,ххам,ქსოვილი
451,Nadel::N,рокӏкӏен,ნემსი
452,Faden::N,кун,ძაფი
453,Faden::N,кун,მკედი
454,Knopf::N,маргъал,ღილი
455,Knoten::N,гарацӏ,ნასკვი
456,Farbe::N,релъен,საღებავი
457,Kleidung::N,ретӏел,ტანსაცმელი
458,Hemd::N,гурде,ხალათი
459,Hemd::N,гурде,პერანგი
460,Kragen::N,габур,საყელო
461,Ärmel::N,къвал,სახელო
462,Hose::N,тӏажу,შარვალი
463,Gürtel::N,рачел,ქამარი
464,Mütze::N,тӏагъур,ქუდი
465,Stiefel::N,этек,ჩექმა
466,Stiefel::N,чакма,ჩექმა
467,Ring::N,баргъич,ბეჭედი
468,Band::N,лента,ბაფთი
469,Kamm::N,гьоркьо,სავარცხელი
470,Spiegel::N,матӏу,სარკე
471,Riemen::N,рижу,ღვედი
472,Decke::N,одея́ло,საბანი
473,Kissen::N,къандалъо,ბალიში
474,Tuch::N,квархьи,მაუდი
475,Tuch::N,квархьи,თავშალი
476,Handtuch::N,беркӏалрацӏцӏ,ხელსახოცი
477,Kraft::N,гуч,ძალა
478,Kraft::N,къуват,ძალა
479,Stärke::N,хӏалкӏвей,ღონე
480,Gesundheit::N,сахлъи́,ჯანმრთელობა
481,Krankheit::N,унти,სენი
482,Krankheit::N,унти,ავადმყოფობა
483,Krankheit::N,щокълъи,სენი
484,Krankheit::N,щокълъи,ავადმყოფობა
485,Schmerz::N,унти,ტკივილი
486,Wunde::N,ругъун,იარი
487,Wunde::N,ругъун,ჭრილობა
488,Fieber::N,цӏа-кан,ციება
489,Arznei::N,дару,წამალი
490,Brücke::N,кьо,ხიდი
491,Brunnen::N,гъуй,ჭა
492,Weide::N,рицӏцӏ,საძოვარი
493,Weide::N,лъичӏирма,საძოვარი
494,Weide::N,гӏурдаллъи,საძოვარი
495,Weide::N,ри́цӏигъветӏ,საძოვარი
496,Weide::N,рицӏцӏигъветӏ,საძოვარი
497,Pfad::N,сухъмахъ,ბილიკი
498,Weg::N,нух,გზა
499,Straße::N,нух,შარაგზა
500,Dorf::N,росу,დაბა
501,Dorf::N,росу,სოფელი
502,Stadt::N,шагьар,ქალაქი
503,Brief::N,кагъат,წერილი
504,Brief::N,рисалат,წერილი
505,Buch::N,тӏехь,წიგნი
506,Buchstabe::N,хӏарп,ასო
507,Zeitung::N,газет,გაზეთი
508,Leben::N,яшав,სიცოცხლე
509,Tod::N,хвел,სიკვდილი
510,Grab::N,хоб,სამარე
511,Grab::N,хоб,საფლავი
512,Kirche::N,килиса,ეკლესია
513,Sünde::N,хӏакъ,ცოდვა
514,Sünde::N,мунагь,ცოდვა
515,Gott::N,бичас,ღმერთი
516,Gott::N,аллагь,ღმერთი
517,Arbeiter::N,хӏалтӏухъан,მუშა
518,Chef::N,хӏаким,გამგე
519,Chef::N,начальник,გამგე
520,Meister::N,устар,ოსტატი
521,Meister::N,мастер,ოსტატი
522,Meister::N,махщалилав,ოსტატი
523,Arzt::N,жайрахӏ,ექიმი
524,Arzt::N,жайрахӏ,მკურნალი
525,Lehrer::N,мугӏалим,მასწავლებელი
526,Geld::N,гӏарац,ფული
527,Laden::N,тукен,დუქანი
528,Laden::N,тукен,მაღაზია
529,Preis::N,багьа,ფასი
530,Ware::N,къайи,საქონელი
531,Nutzen::N,мунпагӏат,ხეირი
532,Reichtum::N,бечелъи,სიმდიდრე
533,Welt::N,дуниял,მსოფლიო
534,Land::N,улка,მხარე
535,Land::N,улка,ქვეყანა
536,Land::N,икълим,მხარე
537,Land::N,икълим,ქვეყანა
538,Staat::N,пачалихъ,სახელმწიფო
539,König::N,пача,მეფე
540,König::N,малик,მეფე
541,König::N,къирал,მეფე
542,König::N,падишагь,მეფე
543,Macht::N,кверщел,ძლიერება
544,Grenze::N,гӏорхъи,ზღვარი
545,Krieg::N,рагъ,ომი
546,Feind::N,тушман,მტერი
547,Gewalt::N,зулму,სისასტიკე
548,Kampf::N,къеркьей,ბრძოლა
549,Bogen[Waffe]::N,газаргъо,მშვილდი
550,Pfeil::N,чӏор,ისარი
551,Pfeil::N,чӏор,მახვილი
552,Gewehr::N,туманкӏ,თოფი
553,Gewehr::N,туманкӏ,შაშხანა
554,Fehler::N,гъалатӏ,შეცდომა
555,Lüge::N,гьереси,სიცრუე
556,Schaden::N,зиян,ვნება
557,Schaden::N,зарал,ვნება
558,Unglück::N,балагь,ხიფათი
559,Unglück::N,балагь,უბედურება
560,Schuld::N,гӏайиб,ბრალი
561,Alter::N,гӏумру,ასაკი
562,Schluss::N,ахир,ბოლო
563,Schluss::N,ахир,დასასრული
564,Zeit::N,заман,დრო
565,Tag::N,къо,დღე
566,Morgen::N,радалмех,დილა
567,Mittag::N,къадемех,შუადღე
568,Abend::N,релъедамех,საღამო
569,Nacht::N,сордо,ღამე
570,Woche::N,анкь,კვირა
571,Monat::N,моцӏ,თვე
572,Jahr::N,сон,წელი
573,Jahr::N,лъагӏел,წელი
574,Frühling::N,их,გაზაფხული
575,Sommer::N,рии,ზაფხული
576,Herbst::N,хасалихълъи,შემოდგომა
577,Winter::N,кьин,ზამთარი
578,Januar::N,январь,იანვარი
579,Februar::N,февра́ль,თებერვალი
580,März::N,март,მარტი
581,April::N,апрель,აპრილი
582,Mai::N,май,მაისი
583,Juni::N,июнь,ივნისი
584,Juli::N,июль,ივლისი
585,August::N,август,აგვისტო
586,September::N,сентябрь,სექტემბერი
587,Oktober::N,октябрь,ოქტომბერი
588,November::N,ноябрь,ნოემბერი
589,Dezember::N,декабрь,დეკემბერი
590,Montag::N,итни,ორშაბათი
591,Dienstag::N,талат,სამშაბათი
592,Mittwoch::N,арбагӏ,ოთხშაბათი
593,Donnerstag::N,хамиз,ხუთშაბათი
594,Freitag::N,рузман,პარასკევი
595,Samstag::N,щамат,შაბათი
596,Sonntag::N,гьатӏан,კვირა
597,groß::A,кӏудияб,დიდი
598,klein::A,гьитӏинаб,მცირე
599,klein::A,гьитӏинаб,პატარა
600,lang::A,халатаб,გრძელი
601,kurz::A,къокъаб,მოკლე
602,breit::A,гӏебаб,ფართო
603,breit::A,гӏебаб,განიერი
604,schmal::A,къваридаб,ვიწრო
605,schmal::A,къваридаб,წვრილი
606,dicht::A,ризаб,მჭიდრო
607,dick[Gegenstand]::A,бицатаб,სქელი
608,dünn::A,тӏеренаб,წვრილი
609,fein::A,тӏеренаб,თხელი
610,fest::A,къвакӏараб,მყარი
611,flach::A,чӏепараб,ბრტყელი
612,glatt::A,цӏвакараб,გლუ
613,hart::A,кьварараб,მაგარი
614,weich::A,тамахаб,რბილი
615,rund::A,гургинаб,მრგვალი
616,spitz::A,бегӏераб,წვეტიანი
617,scharf::A,рекӏараб,მჭრელი
618,stumpf::A,тӏехӏараб,ბლაგვი
619,stumpf::A,рекӏинчӏеб,ბლაგვი
620,schwer::A,бакӏаб,მძიმე
621,schön::A,берцинаб,ლამაზი
622,heiß::A,лагьараб,ცხელი
623,warm::A,хинаб,თბილი
624,kalt::A,квачараб,ცივი
625,kühl::A,квачараб,გრილი
626,frisch::A,цӏияб,სუფთა
627,feucht::A,рагьараб,ნოტიო
628,nass::A,би́ччараб,სველი
629,trocken::A,бакъвараб,მშრალი
630,leer::A,чӏобогояб,ცარიელი
631,offen::A,рагьараб,ღია
632,offen::A,рагьараб,გაშლილი
633,geschlossen::A,рахараб-къараб,დახურული
634,sauber::A,бацӏцӏадаб,სუფთა
635,sauber::A,бацӏцӏадаб,წმინდა
636,schmutzig::A,гъизараб,ტალახიანი
637,roh::A,хамаб,უმი
638,roh::A,гӏатӏгояб,უმი
639,reif::A,барщараб,მწიფე
640,lecker::A,тӏагӏамаб,გემრიელი
641,süß::A,гьуинаб,ტკბილი
642,bitter::A,кьогӏаб,მწარე
643,sauer::A,цӏекӏаб,მჟავე
644,hell::A,канаб,ნათელი
645,dunkel::A,бецӏаб,ბნელი
646,schwarz::A,чӏегӏераб,შავი
647,weiß::A,хъахӏаб,თეთრი
648,rot::A,багӏараб,წითელი
649,gelb::A,гӏобилаб,ყვითელი
650,gelb::A,тӏогьилаб,ყვითელი
651,blau::A,хъахӏилаб,ლურჯი
652,blau::A,хъахӏилаб,ცისფერი
653,grün::A,гӏурччинаб,მწვანე
654,grau::A,накӏкӏуяб,რუხი
655,grau::A,накӏкӏуяб,ნაცრისფერი
656,bunt::A,къвекӏаб,ჭრელი
657,bunt::A,къвекӏаб,ფერადი
658,bunt::A,чара-гъараб,ჭრელი
659,bunt::A,чара-гъараб,ფერადი
660,billig::A,учузаб,იაფი
661,teuer::A,хири́яб,ძვირი
662,wertvoll::A,къиматаб,ღირსიანი
663,blind::A,беццаб,ბრმა
664,taub::A,гъугъаб,ყრუ
665,kräftig::A,гучаб,ძალავანი
666,stark::A,къуватаб,ძლიერი
667,stark::A,къуватаб,ღონიერი
668,schwach::A,гӏажизаб,სუსტი
669,fett::A,кьарияб,სქელი
670,schlank::A,чергесаб,გამხდარი
671,hübsch::A,гьайбатаб,ეშხიანი
672,hübsch::A,гьайбатаб,მშვენიერი
673,böse::A,ракӏквешаб,ავი
674,böse::A,ракӏквешаб,ბოროტი
675,dumm::A,гьагаб,ბოთე
676,dumm::A,гьагаб,სულელი
677,dumm::A,гӏантаб,ბოთე
678,dumm::A,гӏантаб,სულელი
679,faul::A,кӏохӏалаб,ზანტი
