,Concept_ID,no,bg
822,neben::PRP,ved siden av,при
823,zwischen::PRP,mellom,между
824,zwischen::PRP,mellom,помежду
825,wegen::PRP,på grunn av,заради
826,dies::PRN,dette,този
827,das::PRN,det,туй
828,das::PRN,det,това
829,alles::PRN,alt,всичко
830,ich::PRN,jeg,аз
831,du::PRN,du,ти
832,er::PRN,han,той
833,wir::PRN,vi,ние
834,ihr::PRN,dere,вие
835,sie::PRN,de,те
836,was::FPRN,hva,що
837,was::FPRN,hva,какво
838,wer::FPRN,hvem,кой
839,wo::FADV,hvor,къде
840,wohin::FADV,hvor ... hen,накъде
841,wohin::FADV,hvor ... hen,накъдето
842,wie::FADV,hvordan,как
843,warum::FADV,hvorfor,защо
844,wieviel::FNUM,hvor mye,колко
845,eins::NUM,en,един
846,eins::NUM,ett,един
847,zwei::NUM,to,два
848,drei::NUM,tre,три
849,vier::NUM,fire,четири
850,fünf::NUM,fem,пет
851,sechs::NUM,seks,шест
852,sieben::NUM,sju,седем
853,acht::NUM,åtte,осем
854,neun::NUM,ni,девет
855,zehn::NUM,ti,десет
856,elf::NUM,elleve,единайсет
857,elf::NUM,elleve,единадесет
858,zwölf::NUM,tolv,дванайсет
859,zwölf::NUM,tolv,дванадесет
860,zwanzig::NUM,tjue,двайсет
861,zwanzig::NUM,tjue,двадесет
862,dreißig::NUM,tretti,тридесет
863,vierzig::NUM,førti,четиридесет
864,fünfzig::NUM,femti,петдесет
865,sechzig::NUM,seksti,шестдесет
866,siebzig::NUM,sytti,седемдесет
867,achtzig::NUM,åtti,осемдесет
868,neunzig::NUM,nitti,деветдесет
869,hundert::NUM,hundre,сто
870,tausend::NUM,tusen,хиляда
871,und::CNJ,og,а
872,und::CNJ,og,та
873,oder::CNJ,eller,или
