,Concept_ID,pl,hy
406,Löffel::N,łyżka,գդալ
407,Messer::N,nóż,դանակ
408,Nagel::N,gwóźdź,մեխ
409,Netz::N,sieć,ցանց
410,Haken::N,hak,կարթ
411,Griff::N,chwyt,կոթ
412,Griff::N,chwyt,բռնակ
413,Schloss::N,zamek,կողպեք
414,Bild::N,obraz,նկար
415,Bild::N,obraz,պատկեր
416,Figur::N,figura,քանդակ
417,Figur::N,figura,պատկեր
418,Puppe::N,lalka,տիկնիկ
419,Beutel::N,torba,տոպրակ
420,Bündel::N,wiązka,կապոց
421,Tasche::N,torba,պայուսակ
422,Eimer::N,kubeł,դույլ
423,Eimer::N,wiadro,դույլ
424,Deckel::N,przykrywka,կափարիչ
425,Geschirr::N,statki,ամանեղեն
426,Geschirr::N,naczynia,ամանեղեն
427,Sack::N,worek,պարկ
428,Sack::N,worek,տոպրակ
429,Tasse::N,filiżanka,թաս
430,Tasse::N,filiżanka,գավաթ
431,Topf::N,garnek,անոթ
432,Kessel::N,kocioł,կաթսա
433,Essen::N,jedzenie,կերակուր
434,Nahrung::N,pokarm,ուտելիք
435,Nahrung::N,pożywienie,ուտելիք
436,Speise::N,potrawa,խորտիկ
437,Speise::N,potrawa,կերակուր
438,Speise::N,jedzenie,խորտիկ
439,Speise::N,jedzenie,կերակուր
440,Fleisch::N,mięso,միս
441,Getreide::N,zboże,հացահատիկ
442,Brei::N,kasza,լանդակ
443,Brot::N,chleb,հաց
444,Scheibe::N,kromka,կտոր
445,Scheibe::N,kromka,պատառ
446,Fett::N,tłuszcz,ճարպ
447,Butter::N,masło,կարագ
448,Öl::N,olej,ձեթ
449,Salz::N,sól,աղ
450,Suppe::N,zupa,սուպ
451,Suppe::N,zupa,ապուր
452,Honig::N,miód,մեղր
453,Milch::N,mleko,կաթ
454,Tee::N,herbata,թեյ
455,Leder::N,skóra,կաշի
456,Wolle::N,wełna,բուրդ
457,Stoff::N,tkanina,գործվածք
458,Stoff::N,materiał,գործվածք
459,Nadel::N,igła,ասեղ
460,Faden::N,nić,թել
461,Faden::N,nitka,թել
462,Knopf::N,guzik,կոճակ
463,Knoten::N,węzeł,հանգույց
464,Farbe::N,farba,ներկ
465,Kleidung::N,odzież,հագուստ
466,Hemd::N,koszula,վերնաշապիկ
467,Kragen::N,kołnierz,օձիք
468,Ärmel::N,rękaw,թեւք
469,Hose::N,spodnie,շալվար
470,Gürtel::N,pasek,գոտի
471,Mütze::N,czapka,կեպի
472,Schuh::N,but,կոշիկ
473,Schuh::N,bucik,կոշիկ
474,Stiefel::N,but,երկարաճիթ կոշիկ
475,Stiefel::N,kozak,երկարաճիթ կոշիկ
476,Ring::N,pierścień,զնգալ
477,Band::N,wstęga,ժապավեն
478,Kamm::N,grzebień,սանր
479,Spiegel::N,lustro,հայելի
480,Riemen::N,rzemień,փոկ
481,Schnur::N,sznur,լար
482,Leine::N,smycz,փոկ
483,Decke::N,kołdra,վերմակ
484,Kissen::N,poduszka,բարձ
485,Tuch::N,chustka,թաշկինակ
486,Handtuch::N,ręcznik,սրբիչ
487,Kraft::N,moc,ուժ
488,Kraft::N,siła,ուժ
489,Stärke::N,moc,պնդություն
490,Stärke::N,moc,ամրություն
491,Stärke::N,siła,պնդություն
492,Stärke::N,siła,ամրություն
493,Gesundheit::N,zdrowie,առողջություն
494,Krankheit::N,choroba,ախտ
495,Krankheit::N,choroba,հիվանդություն
496,Schmerz::N,ból,ցավ
497,Schmerz::N,ból,տանջանք
498,Wunde::N,rana,վերք
499,Fieber::N,gorączka,տենդ
500,Arznei::N,lekarstwo,դեղ
501,Brücke::N,most,կամուրջ
502,Brunnen::N,studnia,հոր
503,Brunnen::N,studnia,ջրհոր
504,Weide::N,pastwisko,արոտավայր
505,Pfad::N,ścieżka,արահետ
506,Weg::N,droga,ուղի
507,Straße::N,ulica,ճանապարհ
508,Dorf::N,wieś,գյուղ
509,Stadt::N,miasto,քաղաք
510,Brief::N,list,նամակ
511,Buch::N,książka,գիրք
512,Buchstabe::N,litera,տառ
513,Buchstabe::N,litera,գիր
514,Zeitung::N,gazeta,լրագիր
515,Zeitung::N,dziennik,լրագիր
516,Leben::N,życie,կյանք
517,Tod::N,śmierć,մահ
518,Grab::N,grób,գերեզման
519,Kirche::N,kościół,եկեղեցի
520,Sünde::N,grzech,մեղք
521,Gott::N,bóg,աստված
522,Arbeiter::N,robotnik,բանվոր
523,Arbeiter::N,robotnik,աշխատող
524,Chef::N,szef,տեր
525,Meister::N,mistrz,վարպետ
526,Meister::N,majster,վարպետ
527,Arzt::N,lekarz,բժիշկ
528,Lehrer::N,nauczyciel,ուսուցիչ
529,Geld::N,pieniądze,փող
530,Geschäft::N,sprawa,գործ
531,Geschäft::N,sprawa,աշխատանք
532,Geschäft::N,interes,գործ
533,Geschäft::N,interes,աշխատանք
534,Laden::N,sklep,կրպակ
535,Laden::N,sklep,խանութ
536,Preis::N,cena,գին
537,Ware::N,towar,ապրանք
538,Nutzen::N,pożytek,օգուտ
539,Reichtum::N,bogactwo,հարստություն
540,Welt::N,świat,աշխարհ
541,Land::N,kraj,երկիր
542,Staat::N,państwo,պետություն
543,König::N,król,արքա
544,König::N,król,թագավոր
545,Macht::N,władza,իշխանություն
546,Grenze::N,granica,սահման
547,Krieg::N,wojna,պատերազմ
548,Feind::N,wróg,թշնամի
549,Gewalt::N,władza,բռնություն
550,Gewalt::N,władza,սաստկություն
551,Kampf::N,bój,մարտ
552,Kampf::N,walka,մարտ
553,Bogen[Waffe]::N,łuk,աղեղ
554,Pfeil::N,strzała,նետ
555,Gewehr::N,karabin,հրացան
556,Fehler::N,błąd,սխալ
557,Lüge::N,kłamstwo,սուտ
558,Schaden::N,szkoda,վնաս
559,Unglück::N,nieszczęście,դժբախտություն
560,Schuld::N,wina,պակասություն
561,Alter::N,wiek,հասակ
562,Schluss::N,koniec,վերջ
563,Schluss::N,koniec,վախճան
564,Schluss::N,zakończenie,վերջ
565,Schluss::N,zakończenie,վախճան
566,Zeit::N,czas,ժամանակ
567,Tag::N,dzień,օր
568,Morgen::N,ranek,առավոտ
569,Morgen::N,poranek,առավոտ
570,Mittag::N,południe,կեսօր
571,Abend::N,wieczór,երեկո
572,Nacht::N,noc,գիշեր
573,Woche::N,tydzień,շաբաթ
574,Monat::N,miesiąc,ամիս
575,Jahr::N,rok,տարի
576,Frühling::N,wiosna,գարուն
577,Sommer::N,lato,ամառ
578,Herbst::N,jesień,աշուն
579,Winter::N,zima,ձմեռ
580,Januar::N,styczeń,հունվար
581,Februar::N,luty,փետրվար
582,März::N,marzec,մարտ
583,April::N,kwiecień,ապրիլ
584,Mai::N,maj,մայիս
585,Juni::N,czerwiec,հունիս
586,Juli::N,lipiec,հուլիս
587,August::N,sierpień,օգոստոս
588,September::N,wrzesień,սեպտեմբեր
589,Oktober::N,październik,հոկտեմբեր
590,November::N,listopad,նոյեմբեր
591,Dezember::N,grudzień,դեկտեմբեր
592,Montag::N,poniedziałek,երկուշաբթի
593,Dienstag::N,wtorek,երեքշաբթի
594,Mittwoch::N,środa,չորեքշաբթի
595,Donnerstag::N,czwartek,հինգշաբթի
596,Freitag::N,piątek,ուրբաթ
597,Samstag::N,sobota,շաբաթ
598,Sonntag::N,niedziela,կիրակի
599,groß::A,duży,մեծ
600,groß::A,duży,խոշոր
601,groß::A,wielki,մեծ
602,groß::A,wielki,խոշոր
603,klein::A,mały,պստիկ
604,klein::A,mały,փոքրիկ
605,lang::A,długi,երկար
606,kurz::A,krótki,կարճ
607,breit::A,szeroki,լայն
608,schmal::A,wąski,նեղ
609,dicht::A,gęsty,խիտ
610,dick[Gegenstand]::A,gruby,հաստ
611,dünn::A,cienki,բարակ
612,fein::A,drobny,նուրբ
613,fest::A,mocny,ամուր
614,fest::A,mocny,պինդ
615,fest::A,twardy,ամուր
616,fest::A,twardy,պինդ
617,flach::A,płaski,տափակ
618,glatt::A,gładki,հարթ
619,hart::A,twardy,կարծր
620,weich::A,miękki,մեղմ
621,weich::A,miękki,փափուկ
622,rund::A,okrągły,կլոր
623,spitz::A,spiczasty,սրածայր
624,scharf::A,ostry,սուր
625,stumpf::A,tępy,գուլ
626,schwer::A,ciężki,ծանր
627,schön::A,ładny,սիրուն
628,schön::A,ładny,գեղեցիկ
629,schön::A,piękny,սիրուն
630,schön::A,piękny,գեղեցիկ
631,heiß::A,gorący,թեժ
632,warm::A,ciepły,տաք
633,warm::A,ciepły,ջերմ
634,kalt::A,zimny,ցուրտ
635,kühl::A,chłodny,զով
636,frisch::A,świeży,թարմ
637,feucht::A,wilgotny,ղոնավ
638,nass::A,mokry,թաց
639,trocken::A,suchy,ցամաք
640,voll::A,pełny,լի
641,voll::A,pełny,լիքը
642,leer::A,pusty,դատարկ
643,leer::A,próżny,դատարկ
644,offen::A,otwarty,բաց
645,geschlossen::A,zamknięty,գոց
646,sauber::A,czysty,մաքուր
647,schmutzig::A,brudny,կեղտոտ
648,roh::A,surowy,հում
649,reif::A,dojrzały,հասած
650,reif::A,dojrzały,հասուն
651,lecker::A,smaczny,համեղ
652,süß::A,słodki,անուշ
653,bitter::A,gorzki,կծու
654,sauer::A,kwaśny,թթու
655,sauer::A,kwaśny,թթված
656,hell::A,jasny,պայծառ
657,hell::A,jasny,խելամիտ
658,dunkel::A,ciemny,մութ
659,schwarz::A,czarny,սեւ
660,weiß::A,biały,սպիտակ
661,rot::A,czerwony,կարմիր
662,gelb::A,żółty,դեղին
663,blau::A,błękitny,կապույտ
664,blau::A,niebieski,կապույտ
665,grün::A,zielony,կանաչ
666,grau::A,szary,գորշ
667,bunt::A,barwny,գոյնզգոյն
668,billig::A,tani,էժան
669,teuer::A,drogi,թանկ
670,wertvoll::A,cenny,թանկարժեք
671,blind::A,ślepy,կույր
672,taub::A,głuchy,խուլ
673,kräftig::A,mocny,հզոր
674,stark::A,silny,ուժեղ
675,schwach::A,słaby,տկար
676,schwach::A,słaby,թույլ
677,fett::A,tłusty,գեր
678,schlank::A,smukły,նիհար
679,hübsch::A,ładny,գրավիչ
680,hübsch::A,ładny,սիրունիկ
681,böse::A,zły,չար
682,dumm::A,głupi,հիմար
683,faul::A,leniwy,ծույլ
684,fleißig::A,pilny,ջանասեր
685,fleißig::A,pilny,փութաջան
686,geizig::A,skąpy,ագահ
687,geizig::A,skąpy,կծծի
688,klug::A,mądry,խելոք
689,klug::A,mądry,ընդունակ
690,geschickt::A,zręczny,ճարտար
691,lieb::A,miły,սիրելի
692,lustig::A,wesoły,զվարթ
693,sanft::A,łagodny,հեզ
694,hungrig::A,głodny,քաղցած
695,krank::A,chory,հիվանդ
696,nackt::A,nagi,մերկ
697,traurig::A,smutny,տխուր
698,lebendig::A,żywy,կենդանի
699,gut::A,dobry,լավ
700,schlecht::A,zły,վատ
701,richtig::A,słuszny,ձիշտ
702,richtig::A,właściwy,ձիշտ
703,schlimm::A,zły,լղրճուկ
704,wahr::A,prawdziwy,ճիշտ
705,wahr::A,prawdziwy,իրական
706,alt::A,stary,հին
707,neu::A,nowy,նոր
708,ehemalig::A,były,նախկին
709,alt[Lebewesen]::A,stary,ծեր
710,alt[Lebewesen]::A,stary,պառավ
711,jung::A,młody,մատաղ
712,arm::A,ubogi,աղքատ
713,arm::A,biedny,աղքատ
714,reich::A,bogaty,հարուստ
