,Concept_ID,is,ml
370,Tor::N,hlið,കവാടം
371,Zaun::N,girðing,വേലി
372,Zaun::N,limgarður,വേലി
373,Dach::N,þak,മേൽക്കുര
374,Leiter::N,stigi,ഏണി
375,Besen::N,sópur,ചൂല്
376,Spaten::N,spaði,തൂമ്പ
377,Schaufel::N,skófla,തൂമ്പ
378,Gabel::N,gaffall,മുൾക്കത്തി
379,Löffel::N,skeið,സ്പൂൺ
380,Messer::N,hnífur,കത്തി
381,Nagel::N,nögl,ആണി
382,Netz::N,net,വല
383,Haken::N,krókur,കൊളുത്ത്
384,Griff::N,tak,കൈപ്പിടി
385,Schloss::N,lás,പൂട്ട്
386,Bild::N,mynd,ചിത്രം
387,Figur::N,stytta,കണക്ക്
388,Puppe::N,brúða,പാവ
389,Beutel::N,poki,ബാഗ്
390,Beutel::N,baggi,ബാഗ്
391,Bündel::N,böggull,കെട്ട്
392,Tasche::N,veski,ബാഗ്
393,Eimer::N,fata,ബക്കറ്റ്
394,Deckel::N,lok,ഉറ
395,Geschirr::N,leirtau,പിഞ്ഞാണം
396,Sack::N,sekkur,ചാക്ക്
397,Tasse::N,bolli,കപ്പ്
398,Topf::N,pottur,പാത്രം
399,Kessel::N,ketill,കെറ്റ്ല്
400,Essen::N,matur,ആഹാരസമയം
401,Nahrung::N,fæða,ഭക്ഷണം
402,Speise::N,réttur,ഡിഷ്
403,Speise::N,matarréttur,ഡിഷ്
404,Fleisch::N,kjöt,മാംസം
405,Getreide::N,korn,ചോളം
406,Brei::N,grautur,കഞ്ഞി
407,Brot::N,brauð,റോട്ടി
408,Scheibe::N,sneið,തുണ്ട്
409,Fett::N,fita,കൊഴുപ്പ്
410,Butter::N,smjör,വെണ്ണ
411,Öl::N,olía,എണ്ണ
412,Salz::N,salt,ഉപ്പ്
413,Suppe::N,súpa,സൂപ്പ്
414,Honig::N,hunang,തേൻ
415,Milch::N,mjólk,പാൽ
416,Tee::N,te,ചായ
417,Leder::N,skinn,തുകൽ
418,Wolle::N,ull,കമ്പിളി
419,Stoff::N,dúkur,തുണി
420,Nadel::N,nál,സൂചി
421,Faden::N,þráður,നൂല്
422,Knopf::N,tala,ബട്ടൺ
423,Knopf::N,hnappur,ബട്ടൺ
424,Knoten::N,hnútur,കുരുക്ക്
425,Farbe::N,málning,പെയിൻറ്
426,Kleidung::N,búningur,വസ്ത്രങ്ങൾ
427,Kleidung::N,klæðnaður,വസ്ത്രങ്ങൾ
428,Hemd::N,skyrta,ഷർട്ട്
429,Kragen::N,kragi,കുപ്പായക്കഴുത്ത്
430,Kragen::N,flibbi,കുപ്പായക്കഴുത്ത്
431,Ärmel::N,ermi,കുപ്പായക്കൈ
432,Hose::N,buxur,ട്രൌസർ
433,Gürtel::N,belti,ബെൽറ്റ്
434,Mütze::N,húfa,തൊപ്പി
435,Schuh::N,skór,ഷൂ
436,Stiefel::N,stígvél,ബൂട്ട്
437,Ring::N,hringur,മോതിരം
438,Band::N,band,റിബൺ
439,Kamm::N,greiða,ചീപ്പ്
440,Spiegel::N,spegill,കണ്ണാടി
441,Riemen::N,ól,സ്ട്രാപ്പ്
442,Riemen::N,reim,സ്ട്രാപ്പ്
443,Schnur::N,snúra,ചരട്
444,Leine::N,band,കെട്ടാനുള്ള തോൽവാർ
445,Decke::N,teppi,പുതപ്പ്
446,Kissen::N,koddi,തലയിണ
447,Tuch::N,klútur,സ്കാർഫ്
448,Handtuch::N,þurrka,തോർത്ത്
449,Handtuch::N,handklæði,തോർത്ത്
450,Kraft::N,afl,ശക്തി
451,Kraft::N,kraftur,ശക്തി
452,Stärke::N,styrkur,ശക്തി
453,Gesundheit::N,heilsa,ആരോഗ്യം
454,Gesundheit::N,heilbrigði,ആരോഗ്യം
455,Krankheit::N,sjúkdómur,അസുഖം
456,Schmerz::N,sársauki,വേദന
457,Wunde::N,sár,മുറിവ്
458,Fieber::N,hitasótt,പനി
459,Arznei::N,lyf,മരുന്ന്
460,Brücke::N,brú,പാലം
461,Brunnen::N,brunnur,കിണർ
462,Weide::N,hagi,മേച്ചൽ
463,Pfad::N,stígur,വഴി
464,Weg::N,vegur,വഴി
465,Straße::N,gata,റോഡ്
466,Straße::N,stræti,റോഡ്
467,Dorf::N,þorp,ഗ്രാമം
468,Stadt::N,borg,നഗരം
469,Brief::N,bréf,കത്ത്
470,Buch::N,bók,പുസ്തകം
471,Buchstabe::N,bókstafur,അക്ഷരം
472,Zeitung::N,dagblað,വർത്തമാനപത്രം
473,Leben::N,líf,ജീവൻ
474,Tod::N,dauði,മരണം
475,Grab::N,gröf,ശവക്കുഴി
476,Kirche::N,kirkja,പള്ളി
477,Sünde::N,synd,പാപം
478,Gott::N,guð,ദൈവം
479,Arbeiter::N,verkamaður,ജോലിക്കാരൻ
480,Chef::N,yfirmaður,മേധാവി
481,Meister::N,meistari,യജമാനൻ
482,Arzt::N,læknir,ഡോക്ടർ
483,Lehrer::N,kennari,അധ്യാപകൻ
484,Geld::N,peningar,പണം
485,Geschäft::N,viðskipti,ബിസിനസ്
486,Laden::N,búð,കട
487,Laden::N,verslun,കട
488,Preis::N,verð,വില
489,Ware::N,vara,ചരക്ക്
490,Nutzen::N,gagn,ലാഭം
491,Reichtum::N,auður,ധനം
492,Welt::N,veröld,ലോകം
493,Land::N,land,രാജ്യം
494,Staat::N,ríki,രാജ്യം
495,König::N,konungur,രാജാവ്
496,Macht::N,vald,അധികാരം
497,Grenze::N,landamæri,അതിർത്തി
498,Krieg::N,stríð,യുദ്ധം
499,Feind::N,fjandmaður,ശത്രു
500,Gewalt::N,ofbeldi,അക്രമം
501,Kampf::N,bardagi,പോരാട്ടം
502,Bogen[Waffe]::N,bogi,വില്ല്
503,Pfeil::N,ör,അമ്പ്
504,Gewehr::N,byssa,തോക്ക്
505,Fehler::N,villa,പിശക്
506,Lüge::N,lygi,കള്ളം
507,Schaden::N,skemmd,കേടുപാട്
508,Unglück::N,óhamingja,ദൌർഭാഗ്യം
509,Schuld::N,sök,തെറ്റ്
510,Alter::N,aldur,വയസ്സ്
511,Schluss::N,lok,നിഗമനം
512,Schluss::N,endir,നിഗമനം
513,Zeit::N,tími,സമയം
514,Tag::N,dagur,ദിവസം
515,Morgen::N,morgunn,പ്രഭാതം
516,Mittag::N,hádegi,ഉച്ച
517,Abend::N,kvöld,സായാഹ്നം
518,Nacht::N,nótt,രാത്രി
519,Woche::N,vika,ആഴ്ച
520,Monat::N,mánuður,മാസം
521,Jahr::N,ár,വർഷം
522,Frühling::N,vor,വസന്തം
523,Sommer::N,sumar,വേനൽ
524,Herbst::N,haust,ശരത്കാലം
525,Winter::N,vetur,ശൈത്യം
526,Januar::N,janúar,ജനുവരി
527,Februar::N,február,ഫെബ്രുവരി
528,März::N,mars,മാർച്ച്
529,April::N,apríl,ഏപ്രിൾ മാസം
530,Mai::N,maí,മെയ് മാസം
531,Juni::N,júní,ജൂൺ
532,Juli::N,júlí,ജൂലൈ
