,Concept_ID,is,pl
402,Bett::N,hvíla,pościel
403,Regal::N,hilla,regał
404,Kiste::N,kassi,skrzynia
405,Fenster::N,gluggi,okno
406,Tür::N,dyr,drzwi
407,Tür::N,hurð,drzwi
408,Tor::N,hlið,brama
409,Zaun::N,girðing,płot
410,Zaun::N,girðing,parkan
411,Zaun::N,limgarður,płot
412,Zaun::N,limgarður,parkan
413,Dach::N,þak,dach
414,Leiter::N,stigi,drabina
415,Besen::N,sópur,miotła
416,Spaten::N,spaði,rydel
417,Schaufel::N,skófla,łopata
418,Gabel::N,gaffall,widelec
419,Löffel::N,skeið,łyżka
420,Messer::N,hnífur,nóż
421,Nagel::N,nögl,gwóźdź
422,Netz::N,net,sieć
423,Haken::N,krókur,hak
424,Griff::N,tak,chwyt
425,Schloss::N,lás,zamek
426,Bild::N,mynd,obraz
427,Figur::N,stytta,figura
428,Puppe::N,brúða,lalka
429,Beutel::N,poki,torba
430,Beutel::N,baggi,torba
431,Bündel::N,böggull,wiązka
432,Tasche::N,veski,torba
433,Eimer::N,fata,kubeł
434,Eimer::N,fata,wiadro
435,Deckel::N,lok,przykrywka
436,Geschirr::N,leirtau,statki
437,Geschirr::N,leirtau,naczynia
438,Sack::N,sekkur,worek
439,Tasse::N,bolli,filiżanka
440,Topf::N,pottur,garnek
441,Kessel::N,ketill,kocioł
442,Essen::N,matur,jedzenie
443,Nahrung::N,fæða,pokarm
444,Nahrung::N,fæða,pożywienie
445,Speise::N,réttur,potrawa
446,Speise::N,réttur,jedzenie
447,Speise::N,matarréttur,potrawa
448,Speise::N,matarréttur,jedzenie
449,Fleisch::N,kjöt,mięso
450,Getreide::N,korn,zboże
451,Brei::N,grautur,kasza
452,Brot::N,brauð,chleb
453,Scheibe::N,sneið,kromka
454,Fett::N,fita,tłuszcz
455,Butter::N,smjör,masło
456,Öl::N,olía,olej
457,Salz::N,salt,sól
458,Suppe::N,súpa,zupa
459,Honig::N,hunang,miód
460,Milch::N,mjólk,mleko
461,Tee::N,te,herbata
462,Leder::N,skinn,skóra
463,Wolle::N,ull,wełna
464,Stoff::N,dúkur,tkanina
465,Stoff::N,dúkur,materiał
466,Nadel::N,nál,igła
467,Faden::N,þráður,nić
468,Faden::N,þráður,nitka
469,Knopf::N,tala,guzik
470,Knopf::N,hnappur,guzik
471,Knoten::N,hnútur,węzeł
472,Farbe::N,málning,farba
473,Kleidung::N,búningur,odzież
474,Kleidung::N,klæðnaður,odzież
475,Hemd::N,skyrta,koszula
476,Kragen::N,kragi,kołnierz
477,Kragen::N,flibbi,kołnierz
478,Ärmel::N,ermi,rękaw
479,Hose::N,buxur,spodnie
480,Gürtel::N,belti,pasek
481,Mütze::N,húfa,czapka
482,Schuh::N,skór,but
483,Schuh::N,skór,bucik
484,Stiefel::N,stígvél,but
485,Stiefel::N,stígvél,kozak
486,Ring::N,hringur,pierścień
487,Band::N,band,wstęga
488,Kamm::N,greiða,grzebień
489,Spiegel::N,spegill,lustro
490,Riemen::N,ól,rzemień
491,Riemen::N,reim,rzemień
492,Schnur::N,snúra,sznur
493,Leine::N,band,smycz
494,Decke::N,teppi,kołdra
495,Kissen::N,koddi,poduszka
496,Tuch::N,klútur,chustka
