,Concept_ID,be,ca
364,Westen::N,захад,occident
365,Osten::N,усход,est
366,Osten::N,усход,orient
367,Holz::N,дрэва,fusta
368,Holz::N,драўніна,fusta
369,Brett::N,дошка,taula
370,Platte::N,пліта,placa
371,Stütze::N,падпорка,suport
372,Stange::N,жэрдка,vara
373,Stock::N,палка,pal
374,Stab::N,шост,bastó
375,Rohr::N,труба,tub
376,Haus::N,дом,casa
377,Heim::N,дом,llar
378,Heim::N,хата,llar
379,Ofen::N,печ,estufa
380,Fußboden::N,падлога,terra
381,Tisch::N,стол,taula
382,Stuhl::N,стул,cadira
383,Stuhl::N,крэсла,cadira
384,Wiege::N,калыска,bressol
385,Bett::N,ложак,llit
386,Bett::N,пасцель,llit
387,Regal::N,паліца,prestatgeria
388,Kiste::N,скрынка,caixa
389,Fenster::N,акно,finestra
390,Tür::N,дзверы,porta
391,Tor::N,вароты,portal
392,Zaun::N,агароджа,tanca
393,Dach::N,дах,teulada
394,Leiter::N,лесвіца,escala
395,Leiter::N,лесвіца,escala de mà
396,Besen::N,мятла,escombra
397,Spaten::N,лапата,pala
398,Spaten::N,жалязняк,pala
399,Schaufel::N,шуфлік,pala
400,Schaufel::N,лапатка,pala
401,Gabel::N,відэлец,forquilla
402,Löffel::N,лыжка,cullera
403,Messer::N,нож,coltell
404,Nagel::N,цвік,clau
405,Netz::N,сетка,filat
406,Haken::N,крук,ganxo
407,Griff::N,ручка,puny
408,Griff::N,ручка,mànec
409,Schloss::N,замок,pany
410,Bild::N,карціна,imatge
411,Figur::N,фігура,figura
412,Puppe::N,лялька,nina
413,Beutel::N,мяшок,bossa
414,Bündel::N,вязка,feix
415,Bündel::N,вязка,paquet
416,Tasche::N,торба,bossa
417,Eimer::N,вядро,galleda
418,Deckel::N,накрыўка,tapa
419,Deckel::N,накрыўка,tapadora
420,Geschirr::N,пасуда,vaixella
421,Sack::N,мех,sac
422,Sack::N,мех,saca
423,Tasse::N,кубак,tassa
424,Topf::N,каструля,pot
425,Topf::N,каструля,olla
426,Kessel::N,кацёл,caldera
427,Essen::N,ежа,àpat
428,Essen::N,ежа,menjada
429,Nahrung::N,харч,aliment
430,Speise::N,страва,plat
431,Fleisch::N,мяса,carn
432,Getreide::N,збожжа,cereals
433,Brei::N,каша,puré
434,Brot::N,хлеб,pa
435,Scheibe::N,луста,tall
436,Scheibe::N,луста,llesca
437,Scheibe::N,скібка,tall
438,Scheibe::N,скібка,llesca
439,Fett::N,тлушч,greix
440,Butter::N,масла,mantega
441,Öl::N,алей,oli
442,Salz::N,соль,sal
