,Concept_ID,cy,sq
347,Strich::N,trawiad,vizë
348,Abstand::N,bwlch,distancë
349,Abstand::N,pellter,distancë
350,Entfernung::N,pellter,largim
351,Gegend::N,cylch,vise
352,Gegend::N,cylch,krahinë
353,Platz::N,lle,shesh
354,Ort::N,lle,vend
355,Seite::N,ochr,anë
356,Mitte::N,canol,mes
357,Gegenstand::N,eitem,send
358,Sache::N,peth,gjë
359,Sache::N,peth,send
360,Rand::N,cwr,qoshe
361,Rand::N,ymyl,qoshe
362,Kante::N,min,teh
363,Kante::N,ymyl,teh
364,Ecke::N,cornel,qoshe
365,Spitze::N,blaen,majë
366,Ende::N,pen,skaj
367,Ende::N,pen,bisht
368,Loch::N,twll,vrimë
369,Winkel::N,congl,kënd
370,Muster::N,patrwm,mostër
371,Größe::N,maint,madhësi
372,Größe::N,maintioli,madhësi
373,Länge::N,hyd,gjatësi
374,Höhe::N,uchder,lartësi
375,Gewicht::N,pwysau,peshë
376,Menge::N,swm,sasi
377,Menge::N,maint,sasi
378,Haufen::N,pentwr,grumbull
379,Reihe::N,rhes,radhë
380,Reihe::N,rhes,rresht
381,Boot::N,cwch,barkë
382,Boot::N,cwch,lundër
383,Ruder::N,rhwyf,rrem
384,Schlitten::N,sled,sajë
385,Schlitten::N,car llusg,sajë
386,Ski::N,sgi,ski
387,Lagerfeuer::N,coelcerth,flakadan
388,Lagerfeuer::N,coelcerth,zjarr i madh
389,Last::N,llwyth,barrë
390,Gang::N,tro,ecje
391,Schritt::N,cam,hap
392,Norden::N,gogledd,veri
393,Süden::N,de,jug
394,Westen::N,gorllewin,perëndim
395,Osten::N,dwyrain,lindje
396,Holz::N,pren,dru
397,Brett::N,bwrdd,dërrasë
398,Brett::N,astell,dërrasë
399,Platte::N,llech,pllakë
400,Stütze::N,ateg,shtyllë
401,Stütze::N,ateg,mbështetesë
402,Stütze::N,cynhalydd,shtyllë
403,Stütze::N,cynhalydd,mbështetesë
404,Stange::N,polyn,shufër
405,Stock::N,ffon,dajak
406,Stock::N,brigyn,dajak
407,Stab::N,ffon,shkop
408,Rohr::N,pibell,tub
409,Haus::N,tŷ,shtëpi
410,Heim::N,cartref,konak
411,Heim::N,cartref,shtëpi
412,Ofen::N,stof,sobë
413,Ofen::N,stof,stufë
414,Fußboden::N,llawr,dysheme
415,Tisch::N,bwrdd,tryezë
416,Stuhl::N,cadair,karrige
417,Wiege::N,crud,djep
418,Bett::N,gwely,shtrat
419,Regal::N,silff,raft
420,Kiste::N,bocs,kuti
421,Kiste::N,blwch,kuti
422,Fenster::N,ffenestr,dritare
423,Tür::N,drws,derë
424,Tor::N,porth,portë
425,Zaun::N,ffens,gardh
426,Dach::N,to,çati
427,Leiter::N,ysgol,shkallë
428,Besen::N,ysgub,fshesë
429,Spaten::N,rhaw,lopatë
430,Schaufel::N,rhaw,qyrek
431,Gabel::N,fforc,pirun
432,Löffel::N,llwy,lugë
433,Messer::N,cyllell,thikë
434,Nagel::N,hoel,gozhdë
435,Netz::N,gwe,rrjetë
436,Netz::N,rhwyd,rrjetë
437,Haken::N,bach,grep
438,Haken::N,bach,grremç
439,Griff::N,carn,dorak
440,Griff::N,carn,dorezë
441,Schloss::N,clo,bravë
442,Bild::N,llun,tablo
443,Bild::N,llun,pikturë
444,Bild::N,pictiwr,tablo
445,Bild::N,pictiwr,pikturë
446,Figur::N,ffigur,figurë
447,Puppe::N,dol,kukull
448,Beutel::N,cwd,qese
449,Beutel::N,cwd,trastë
450,Bündel::N,bwndel,deng
451,Bündel::N,coflaid,deng
452,Tasche::N,cod,çantë
453,Eimer::N,bwced,kovë
454,Eimer::N,cunnog,kovë
455,Deckel::N,caead,kapak
456,Deckel::N,caead,mbulesë
457,Geschirr::N,llestri,enë
458,Sack::N,sach,thes
459,Sack::N,sach,torbë
460,Tasse::N,cwpan,filxhan
461,Topf::N,pot,kusi
462,Topf::N,pot,tenxhere
463,Topf::N,crochan,kusi
464,Topf::N,crochan,tenxhere
465,Kessel::N,tegell,kazan
466,Essen::N,pryd o fwyd,ngrënie
467,Nahrung::N,bwyd,ushqim
468,Speise::N,saig,gatesë
469,Fleisch::N,cig,mish
470,Getreide::N,ŷd,drithë
471,Getreide::N,llafur,drithë
472,Brei::N,uwd,qull
473,Brot::N,bara,bukë
474,Scheibe::N,tafell,fetë
475,Fett::N,saim,lyrë
476,Fett::N,saim,yndyrë
477,Fett::N,braster,lyrë
