,Concept_ID,cy,sk
520,Schnur::N,llinyn,šnúra
521,Leine::N,tennyn,vodidlo
522,Decke::N,blanced,deka
523,Decke::N,blanced,prikrývka
524,Decke::N,gwrthban,deka
525,Decke::N,gwrthban,prikrývka
526,Kissen::N,clustog,poduška
527,Kissen::N,gobennydd,poduška
528,Tuch::N,sgarff,šatka
529,Handtuch::N,tywel,uterák
530,Handtuch::N,lliain sychu,uterák
531,Kraft::N,grym,moc
532,Stärke::N,nerth,sila
533,Stärke::N,cryfder,sila
534,Gesundheit::N,iechyd,zdravie
535,Krankheit::N,afiechyd,nemoc
536,Krankheit::N,afiechyd,choroba
537,Krankheit::N,anhwylder,nemoc
538,Krankheit::N,anhwylder,choroba
539,Schmerz::N,poen,bolesť
540,Schmerz::N,gwayw,bolesť
541,Wunde::N,clwyf,rana
542,Fieber::N,twymyn,horúčka
543,Arznei::N,meddyginiaeth,liek
544,Brücke::N,pont,most
545,Brunnen::N,ffynnon,studňa
546,Weide::N,porfa,pastva
547,Pfad::N,llwybr,chodník
548,Weg::N,ffordd,cesta
549,Straße::N,heol,hradská
550,Straße::N,ffordd,hradská
551,Dorf::N,pentref,dedina
552,Stadt::N,tref,mesto
553,Brief::N,llythyr,list
554,Buch::N,llyfr,kniha
555,Buchstabe::N,llythyren,litera
556,Buchstabe::N,llythyren,písmeno
557,Zeitung::N,papur newydd,noviny
558,Leben::N,bywyd,život
559,Tod::N,marwolaeth,smrť
560,Grab::N,bedd,hrob
561,Kirche::N,eglwys,kostol
562,Sünde::N,pechod,hriech
563,Gott::N,duw,boh
564,Arbeiter::N,gweithiwr,robotník
565,Arbeiter::N,gweithiwr,pracnovík
566,Chef::N,pennaeth,šéf
567,Chef::N,pennaeth,riaditeľ
568,Meister::N,meistr,majster
569,Arzt::N,meddyg,lekár
570,Lehrer::N,athro,učiteľ
571,Geld::N,pres,peniaze
572,Geld::N,arian,peniaze
573,Geschäft::N,busnes,obchod
574,Laden::N,siop,obchod
575,Preis::N,pris,cena
576,Ware::N,nwydd,tovar
577,Nutzen::N,elw,osoh
578,Nutzen::N,elw,úžitok
579,Nutzen::N,budd,osoh
580,Nutzen::N,budd,úžitok
581,Reichtum::N,cyfoeth,bohatstvo
582,Welt::N,byd,svet
583,Land::N,gwlad,územie
584,Land::N,gwlad,krajina
585,Staat::N,gwladwriaeth,štát
586,König::N,brenin,kráľ
587,Macht::N,grym,moc
588,Macht::N,grym,mocnosť
589,Macht::N,awdurdod,moc
590,Macht::N,awdurdod,mocnosť
591,Grenze::N,ffin,hranica
592,Grenze::N,goror,hranica
593,Krieg::N,rhyfel,vojna
594,Feind::N,gelyn,nepriateľ
595,Gewalt::N,ffyrnigrwydd,násilie
596,Kampf::N,brwydr,boj
597,Bogen[Waffe]::N,bwa,luk
598,Pfeil::N,saeth,šíp
599,Pfeil::N,saeth,strela
600,Gewehr::N,dryll,puška
601,Fehler::N,gwall,omyl
602,Fehler::N,gwall,chyba
603,Fehler::N,camgymeriad,omyl
604,Fehler::N,camgymeriad,chyba
605,Lüge::N,celwydd,lož
606,Lüge::N,anwiredd,lož
607,Schaden::N,niwed,ujma
608,Schaden::N,niwed,škoda
609,Schaden::N,difrod,ujma
610,Schaden::N,difrod,škoda
611,Unglück::N,anffawd,nešťastie
612,Schuld::N,bai,vina
613,Schuld::N,bai,previnenie
614,Alter::N,oed,vek
615,Schluss::N,diwedd,záver
616,Schluss::N,diwedd,koniec
617,Zeit::N,amser,čas
618,Tag::N,dydd,deň
619,Tag::N,diwrnod,deň
620,Morgen::N,bore,ráno
621,Mittag::N,nawn,poludnie
622,Abend::N,noswaith,večer
623,Nacht::N,nos,noc
624,Woche::N,wythnos,týždeň
625,Monat::N,mis,mesiac
626,Jahr::N,blwyddyn,rok
627,Frühling::N,gwanwyn,jar
628,Sommer::N,haf,leto
629,Herbst::N,hydref,jeseň
630,Winter::N,gaeaf,zima
631,Januar::N,Ionawr,január
632,Februar::N,Chwefror,február
633,März::N,Mawrth,marec
634,April::N,Ebrill,apríl
635,Mai::N,Mai,máj
636,Juni::N,Mehefin,jún
637,Juli::N,Gorffennaf,júl
638,August::N,Awst,august
639,September::N,Medi,september
640,Oktober::N,Hydref,október
641,November::N,Tachwedd,november
642,Dezember::N,Rhagfyr,december
643,Montag::N,dydd Llun,pondelok
644,Dienstag::N,dydd Mawrth,utorok
645,Mittwoch::N,dydd Mercher,streda
646,Donnerstag::N,dydd Iau,štvrtok
647,Freitag::N,dydd Gwener,piatok
648,Samstag::N,dydd Sadwrn,sobota
649,Sonntag::N,dydd Sul,nedeľa
650,groß::A,mawr,veľký
651,klein::A,bach,malý
652,lang::A,hir,dlhý
653,kurz::A,byr,krátky
654,kurz::A,cwta,krátky
655,breit::A,llydan,široký
656,schmal::A,cul,úzky
657,dicht::A,dwys,hustý
658,dick[Gegenstand]::A,trwchus,tlstý
659,dünn::A,tenau,tenký
660,fein::A,main,jemný
