,Concept_ID,mhr,lez
371,Stock::N,тоя́,лаш
372,Stab::N,вара́,юрк
373,Stab::N,кашта́,юрк
374,Rohr::N,пуч,турба
375,Haus::N,пӧрт,ужагъ
376,Heim::N,мӧ́ҥгӧ,кӏвал
377,Ofen::N,комака́,пич
378,Fußboden::N,кӱва́р,кӏвалин ччил
379,Tisch::N,ӱсте́л,стол
380,Stuhl::N,пӱке́н,стул
381,Wiege::N,шепка́,кьеб
382,Bett::N,ва́кшыш,тахт
383,Regal::N,шӧ́рлык,кьацӏ
384,Kiste::N,шо́ндык,ящик
385,Kiste::N,я́шлык,ящик
386,Fenster::N,окна́,дакӏар
387,Tür::N,омса́,рак
388,Tor::N,капка́,варар
389,Zaun::N,сава́р,пару
390,Dach::N,леве́дыш,къав
391,Leiter::N,тошка́лтыш,гурар
392,Besen::N,ӱштерво́штыр,таран кул
393,Spaten::N,ко́льмо,ппер
394,Schaufel::N,сово́к,хекендаз
395,Schaufel::N,су́ско,хекендаз
396,Gabel::N,ви́лке,шиш
397,Löffel::N,па́не,тӏур
398,Löffel::N,совла́,тӏур
399,Messer::N,кӱ́зӧ,чукӏул
400,Nagel::N,пуда́,мих
401,Netz::N,вапш,чил
402,Haken::N,са́гыле,къармах
403,Griff::N,кыл,ттум
404,Schloss::N,кӧгӧ́н,куьлег
405,Bild::N,сӱре́т,шикил
406,Bild::N,сӱре́т,суьрет
407,Figur::N,фигу́р,фигура
408,Puppe::N,курча́к,нини
409,Beutel::N,меша́к,тагъар
410,Bündel::N,арша́ш,галгам
411,Tasche::N,сумка́,чанта
412,Eimer::N,ведра́,ведре
413,Deckel::N,ко́мдыш,кьил
414,Deckel::N,ко́мдыш,къалпагъ
415,Geschirr::N,а́те,къаб-къажах
416,Sack::N,куль,чувал
417,Sack::N,меша́к,чувал
418,Tasse::N,чу́кыр,сукӏра
419,Tasse::N,чашка́,сукӏра
420,Topf::N,ми́ске,къажгъан
421,Kessel::N,под,къажгъан
422,Essen::N,ко́чкыш,тӏуьн
423,Nahrung::N,ку́рго,тӏуьн
424,Speise::N,ко́чкыш,хуьрек
425,Fleisch::N,шыл,як
426,Getreide::N,шу́рно,техил
427,Brei::N,пу́чымыш,хапӏа
428,Brei::N,пу́чымыш,хешил
429,Brot::N,ки́нде,фу
430,Scheibe::N,ка́тыш,чӏук
431,Fett::N,коя́,ягълу
432,Butter::N,ӱй,гъери
433,Öl::N,ӱй,ягълу
434,Salz::N,шинча́л,кьел
435,Suppe::N,шӱр,суп
436,Suppe::N,шӱр,шурпа
437,Honig::N,мӱй,вирт
438,Milch::N,шӧр,нек
439,Tee::N,чай,чай
440,Leder::N,сура́н,тумаж
441,Leder::N,шӱ́штӧ,тумаж
442,Wolle::N,пун,йис
443,Stoff::N,куэ́м,парча
444,Stoff::N,посто́,парча
445,Nadel::N,и́ме,раб
446,Faden::N,шӱ́ртӧ,гъал
447,Knopf::N,по́лдыш,дуьгме
448,Knoten::N,пышке́м,тӏвал
449,Farbe::N,чия́,ранг
450,Kleidung::N,чие́м,партал
451,Kleidung::N,вурге́м,партал
452,Hemd::N,ту́выр,перем
453,Kragen::N,сога́,хев
454,Ärmel::N,шокш,хел
455,Hose::N,йола́ш,шалвар
456,Gürtel::N,ӱ́штӧ,чӏул
457,Mütze::N,упш,бармак
458,Mütze::N,упш,бапӏах
459,Schuh::N,боти́нке,ботинка
460,Stiefel::N,кем,чекме
461,Ring::N,шерга́ш,тупӏал
462,Band::N,тасма́,тасма
463,Band::N,ле́нте,тасма
464,Kamm::N,шерге́,регъ
465,Spiegel::N,вошто́нчыш,гуьзгуь
466,Riemen::N,кӱзанӱ́штӧ,къайиш
467,Schnur::N,кере́м,еб
468,Schnur::N,кандыра́,еб
469,Leine::N,вӱра́ҥ,
470,Decke::N,леве́дыш,яргъан
471,Decke::N,одея́л,яргъан
472,Kissen::N,кӱ́пчык,хъуьцуьган
473,Tuch::N,шо́выч,шал
474,Handtuch::N,со́лык,дасмал
475,Kraft::N,вий,гуж
476,Kraft::N,куа́т,гуж
477,Stärke::N,куа́т,къуват
478,Stärke::N,карма́н,къуват
479,Gesundheit::N,таза́лык,сагъвал
480,Krankheit::N,чер,тӏал
481,Schmerz::N,ко́рштыш,тӏал
482,Schmerz::N,ко́рштыш,тӏарвал
483,Wunde::N,су́сыр,хер
484,Fieber::N,йӱштыму́ж,ифин
485,Fieber::N,лихора́дке,ифин
486,Arznei::N,эм,дарман
487,Brücke::N,кӱва́р,муьгъ
488,Brunnen::N,вӱдвыне́м,къуй
489,Weide::N,нурше́р,уьруьш
490,Pfad::N,йолго́рно,рехъ
491,Pfad::N,сокма́к,рехъ
492,Weg::N,ко́рно,рехъ
493,Straße::N,ко́рно,рехъ
494,Dorf::N,ял,хуьр
495,Stadt::N,ола́,шегьер
496,Brief::N,се́рыш,кагъаз
497,Buch::N,книга́,улуб
498,Buchstabe::N,буква́,гьарф
499,Zeitung::N,газе́т,газета
500,Leben::N,и́лыш,уьмуьр
501,Tod::N,колыма́ш,кьиникь
502,Grab::N,шӱга́р,сур
503,Kirche::N,че́рке,килиса
504,Sünde::N,су́лык,гунагь
505,Gott::N,ю́мо,аллагь
506,Arbeiter::N,паша́зе,фяле
507,Chef::N,тӧра́,гьаким
508,Meister::N,маста́р,устӏар
509,Arzt::N,врач,доктор
510,Lehrer::N,ту́ныктышо,муаллим
511,Geld::N,окса́,пул
512,Geschäft::N,сатулыма́ш,
513,Laden::N,ке́выт,магазин
514,Preis::N,ак,къимет
515,Ware::N,сату́,мал
516,Ware::N,сату́,товар
517,Nutzen::N,пайда́,хийир
518,Nutzen::N,пайда́,менфят
