,Concept_ID,tr,ru
609,schmal::A,dar,узкий
610,dicht::A,sık,густой
611,dicht::A,yoğun,густой
612,dick[Gegenstand]::A,kalın,толстый
613,dick[Gegenstand]::A,iri,толстый
614,dünn::A,ince,тонкий
615,fein::A,ince,тонкий
616,fein::A,narin,тонкий
617,fest::A,sabit,крепкий
618,fest::A,sağlam,крепкий
619,flach::A,düz,плоский
620,flach::A,yassı,плоский
621,glatt::A,düz,гладкий
622,hart::A,katı,твердый
623,weich::A,yumuşak,мягкий
624,rund::A,yuvarlak,круглый
625,spitz::A,sivri,остроконечный
626,scharf::A,keskin,острый
627,stumpf::A,kör,тупой
628,schwer::A,ağır,тяжелый
629,schön::A,güzel,красивый
630,heiß::A,kızgın,жаркий
631,warm::A,sıcak,теплый
632,kalt::A,soğuk,холодный
633,kühl::A,serin,прохладный
634,frisch::A,taze,свежий
635,feucht::A,nemli,влажный
636,feucht::A,rutubetli,влажный
637,nass::A,yaş,мокрый
638,nass::A,ıslak,мокрый
639,trocken::A,kuru,сухой
640,voll::A,dolu,полный
641,voll::A,dolu,наполненный
642,voll::A,dolmuş,полный
643,voll::A,dolmuş,наполненный
644,leer::A,boş,пустой
645,offen::A,açık,открытый
646,geschlossen::A,kapalı,закрытый
647,sauber::A,pak,чистый
648,sauber::A,temiz,чистый
649,schmutzig::A,pis,грязный
650,schmutzig::A,kirli,грязный
651,roh::A,çiğ,сырой
652,reif::A,olgun,зрелый
653,lecker::A,lezzetli,вкусный
654,süß::A,tatlı,сладкий
655,süß::A,şekerli,сладкий
656,bitter::A,acı,горький
657,sauer::A,ekşi,кислый
658,hell::A,aydınlık,светлый
659,dunkel::A,karanlık,темный
660,schwarz::A,kara,черный
661,schwarz::A,siyah,черный
662,weiß::A,ak,белый
663,weiß::A,beyaz,белый
664,rot::A,kırmızı,красный
665,gelb::A,sarı,желтый
666,blau::A,mavi,синий
667,grün::A,yeşil,зеленый
668,grau::A,boz,серый
669,bunt::A,renkli,пестрый
670,billig::A,ucuz,дешевый
671,teuer::A,pahalı,дорогой
672,wertvoll::A,değerli,ценный
673,blind::A,kör,слепой
674,taub::A,sağır,глухой
675,kräftig::A,dinç,могучий
676,kräftig::A,kuvvetli,могучий
677,stark::A,güçlü,сильный
678,stark::A,kuvvetli,сильный
679,schwach::A,zayıf,слабый
680,schwach::A,güçsüz,слабый
681,fett::A,şişman,жирный
682,schlank::A,narin,стройный
683,hübsch::A,güzel,прелестный
684,hübsch::A,sevimli,прелестный
685,böse::A,kötü,злой
686,dumm::A,aptal,глупый
687,faul::A,tembel,ленивый
688,fleißig::A,çalışkan,прилежный
689,geizig::A,cimri,жадный
690,klug::A,zekî,умный
691,klug::A,akıllı,умный
692,geschickt::A,becerikli,искусный
693,lieb::A,sevimli,милый
694,lustig::A,neşeli,веселый
695,sanft::A,nazik,нежный
696,hungrig::A,aç,голодный
697,krank::A,hasta,больной
698,krank::A,rahatsız,больной
699,nackt::A,çıplak,голый
700,traurig::A,kederli,грустный
701,traurig::A,üzüntülü,грустный
702,lebendig::A,canlı,живой
703,gut::A,iyi,хороший
704,schlecht::A,kötü,плохой
705,richtig::A,doğru,правильный
706,schlimm::A,kötü,отвратительный
707,schlimm::A,kötü,мерзкий
708,wahr::A,doğru,настоящий
709,wahr::A,gerçek,настоящий
710,alt::A,eski,старый
711,neu::A,yeni,новый
712,ehemalig::A,önceki,бывший
713,alt[Lebewesen]::A,yaşlı,пожилой
714,jung::A,genç,молодой
715,arm::A,fakir,бедный
716,reich::A,zengin,богатый
717,bekannt::A,bilinen,знакомый
718,berühmt::A,ünlü,знаменитый
719,berühmt::A,meşhur,знаменитый
720,fremd::A,yabancı,чужой
721,verschieden::A,ayrı,разный
722,verschieden::A,farklı,разный
723,nah::A,yakın,близкий
724,nah::A,bitişik,близкий
725,fern::A,uzak,далекий
726,linker::A,sol,левый
727,rechter::A,sağ,правый
728,anderer::A,diğer,другой
729,erster::A,ilk,первый
730,erster::A,birinci,первый
731,zweiter::A,ikinci,второй
732,dritter::A,üçüncü,третий
733,letzter::A,son,последний
734,letzter::A,sonuncu,последний
735,allein::ADV,yalnız,один
736,allein::ADV,tek başına,один
737,auf einmal::ADV,birden,сразу
738,zusammen::ADV,beraber,вместе
739,zusammen::ADV,birlikte,вместе
740,lange::ADV,çok,долго
741,lange::ADV,uzun,долго
742,plötzlich::ADV,ansızın,вдруг
743,plötzlich::ADV,birdenbire,вдруг
744,sofort::ADV,hemen,тотчас
745,sofort::ADV,derhal,тотчас
746,später::ADV,daha sonra,позже
747,jetzt::ADV,şimdi,сейчас
748,heute::ADV,bugün,сегодня
749,morgen::ADV,yarın,завтра
750,bald::ADV,yakında,скоро
751,dann::ADV,sonra,потом
752,gestern::ADV,dün,вчера
753,einst::ADV,eskiden,однажды
754,damals::ADV,o zamanlar,тогда
755,danach::ADV,sonradan,затем
756,danach::ADV,ondan sonra,затем
757,vorher::ADV,önce,раньше
758,vorher::ADV,önceden,раньше
759,zuerst::ADV,ilk önce,сперва
760,einmal::ADV,bir defa,раз
761,manchmal::ADV,bazan,иногда
762,oft::ADV,sık sık,часто
763,oft::ADV,çok defa,часто
764,immer::ADV,daima,всегда
765,immer::ADV,her zaman,всегда
766,niemals::ADV,asla değil,никогда
767,niemals::ADV,hiçbir zaman,никогда
768,hier::ADV,burada,здесь
769,hierhin::ADV,buraya,сюда
770,von hier::ADV,buradan,отсюда
771,dort::ADV,orada,там
772,dort::ADV,şurada,там
773,dorthin::ADV,oraya,туда
774,dorthin::ADV,şuraya,туда
775,geradeaus::ADV,doğru,прямо
776,vorwärts::ADV,ileri,вперед
777,rückwärts::ADV,geri,назад
778,zurück::ADV,geriye,обратно
779,unten::ADV,aşağıda,внизу
780,hinab::ADV,aşağıya,вниз
781,oben::ADV,yukarıda,наверху
782,hinauf::ADV,yukarı,вверх
783,hinauf::ADV,yukarıya,вверх
784,überall::ADV,her yerde,везде
785,nicht::ADV,-mi-,не
786,nicht::ADV,değil,не
787,ein wenig::ADV,biraz,немного
788,kaum::ADV,dar,едва
789,kaum::ADV,hemen hemen değil,едва
790,sehr::ADV,pek,очень
791,sehr::ADV,gayet,очень
792,so::ADV,öyle,так
793,so::ADV,böyle,так
794,noch::ADV,hâlâ,еще
795,noch::ADV,henüz,еще
796,nur::ADV,ancak,только
797,nur::ADV,yalnız,только
798,schon::ADV,çoktan,уже
799,wieder::ADV,tekrar,опять
800,wieder::ADV,yeniden,опять
801,vergebens::ADV,boşuna,напрасно
802,vor::PRP,önünde,перед
803,hinter::PRP,arkasında,за
804,hinter::PRP,arkasında,позади
805,unter::PRP,altında,под
806,durch::PRP,sayesinde,сквозь
807,durch::PRP,ortasından,сквозь
808,neben::PRP,yanında,возле
809,zwischen::PRP,arasında,между
810,wegen::PRP,dolayı,из-за
811,dies::PRN,bu,это
812,das::PRN,o,то
813,das::PRN,şu,то
814,alles::PRN,hepsi,все
815,alles::PRN,her şey,все
816,ich::PRN,ben,я
817,du::PRN,sen,ты
818,er::PRN,o,он
819,wir::PRN,biz,мы
820,ihr::PRN,siz,вы
821,sie::PRN,onlar,они
822,was::FPRN,ne,что
823,wer::FPRN,kim,кто
824,wo::FADV,nerede,где
825,wohin::FADV,nereye,куда
826,wie::FADV,nasıl,как
827,warum::FADV,neden,почему
828,wieviel::FNUM,kaç,сколько
829,wieviel::FNUM,ne kadar,сколько
830,eins::NUM,bir,один
831,zwei::NUM,iki,два
