,Concept_ID,fi,nl
768,anderer::A,muu,andere
769,anderer::A,toinen,andere
770,erster::A,ensimmäinen,eerste
771,zweiter::A,toinen,tweede
772,dritter::A,kolmas,derde
773,letzter::A,viimeinen,laatste
774,allein::ADV,yksin,alleen
775,auf einmal::ADV,yhdellä kertaa,ineens
776,auf einmal::ADV,yhdellä kertaa,tegelijk
777,zusammen::ADV,yhdessä,samen
778,zusammen::ADV,yhdessä,bijeen
779,lange::ADV,kauan,lang
780,lange::ADV,pitkään,lang
781,plötzlich::ADV,äkkiä,eensklaps
782,plötzlich::ADV,äkkiä,plotsklaps
783,sofort::ADV,heti,terstond
784,sofort::ADV,heti,aanstonds
785,sofort::ADV,heti,onmiddelijk
786,später::ADV,myöhemmin,later
787,jetzt::ADV,nyt,nu
788,jetzt::ADV,nyt,nou
789,jetzt::ADV,nyt,thans
790,heute::ADV,tänään,heden
791,heute::ADV,tänään,vandaag
792,morgen::ADV,huomenna,morgen
793,bald::ADV,pian,gauw
794,bald::ADV,pian,weldra
795,dann::ADV,sitten,dan
796,dann::ADV,sitten,toen
797,gestern::ADV,eilen,gisteren
798,einst::ADV,aikanaan,eens
799,damals::ADV,silloin,toen
800,damals::ADV,silloin,destijds
801,damals::ADV,siihen aikaan,toen
802,damals::ADV,siihen aikaan,destijds
803,danach::ADV,sen jälkeen,daarna
804,vorher::ADV,ennen,vooraf
805,vorher::ADV,ennen,van tevoren
806,zuerst::ADV,ensin,eerst
807,zuerst::ADV,ensin,het eerst
808,zuerst::ADV,ensiksi,eerst
809,zuerst::ADV,ensiksi,het eerst
810,einmal::ADV,kerran,eens
811,einmal::ADV,kerran,eenmaal
812,manchmal::ADV,joskus,soms
813,oft::ADV,usein,vaak
814,oft::ADV,usein,dikwijls
815,immer::ADV,aina,altijd
816,niemals::ADV,ei koskaan,nooit
817,hier::ADV,tässä,hier
818,hier::ADV,täällä,hier
819,hierhin::ADV,tähän,hierheen
820,von hier::ADV,tästä,van hier
821,von hier::ADV,tästä,hiervandaan
822,von hier::ADV,täältä,van hier
823,von hier::ADV,täältä,hiervandaan
824,dort::ADV,siinä,daar
825,dort::ADV,siinä,ginds
826,dort::ADV,siellä,daar
827,dort::ADV,siellä,ginds
828,dorthin::ADV,sinne,daarheen
829,dorthin::ADV,tuonne,daarheen
