,Concept_ID,av,fr
349,Haufen::N,гъуни,tas
350,Reihe::N,ирга́,file
351,Reihe::N,ирга́,rangée
352,Boot::N,раса,canot
353,Boot::N,раса,bateau
354,Ruder::N,раххан,rame
355,Ruder::N,раххан,aviron
356,Schlitten::N,чанагъ,traîneau
357,Ski::N,лыжаби,ski
358,Lagerfeuer::N,цӏа,feu de camp
359,Last::N,бакӏлъи,charge
360,Last::N,бакӏлъи,fardeau
361,Gang::N,хьвади,tour
362,Gang::N,хьвади,marche
363,Gang::N,хьвада-чӏвади,tour
364,Gang::N,хьвада-чӏвади,marche
365,Schritt::N,гали,pas
366,Norden::N,шимал,nord
367,Süden::N,юг,sud
368,Süden::N,къибла,sud
369,Westen::N,гъарб,ouest
370,Westen::N,гъарб,occident
371,Westen::N,магъриб,ouest
372,Westen::N,магъриб,occident
373,Osten::N,шаркъ,est
374,Osten::N,шаркъ,orient
375,Osten::N,машрикъ,est
376,Osten::N,машрикъ,orient
377,Holz::N,цӏул,bois
378,Brett::N,хъарщи,planche
379,Platte::N,къоно,plaque
380,Stange::N,гӏер,barre
381,Stange::N,гӏер,perche
382,Stock::N,тӏил,canne
383,Stab::N,гӏер,bâton
384,Rohr::N,турба,tube
385,Rohr::N,турба,tuyau
386,Haus::N,ригь,maison
387,Haus::N,рукъзал,maison
388,Heim::N,рукъ,maison
389,Ofen::N,печь,poêle
390,Fußboden::N,чӏабар,plancher
391,Tisch::N,стол,table
392,Stuhl::N,бакӏу,chaise
393,Wiege::N,кини,berceau
394,Bett::N,кровать,lit
395,Regal::N,хъарщи,étagère
396,Kiste::N,ящик,caisse
397,Kiste::N,тӏалагъуд,caisse
398,Fenster::N,гордо,fenêtre
399,Tür::N,нуцӏа,porte
400,Tor::N,каву,porte
401,Tor::N,каву,portail
402,Zaun::N,раци,clôture
403,Dach::N,тӏох,toit
404,Leiter::N,мали,échelle
405,Besen::N,жул,balai
406,Spaten::N,бел,bêche
407,Schaufel::N,раххан,pelle
408,Gabel::N,гӏучӏ,fourchette
409,Löffel::N,гъуд,cuiller
410,Messer::N,нус,couteau
411,Nagel::N,магӏ,clou
412,Netz::N,гьин,filet
413,Haken::N,гъанцӏа,croc
414,Haken::N,гъанцӏа,crochet
415,Griff::N,гӏоркь,prise
416,Griff::N,гӏоркь,manche
417,Schloss::N,кӏулал,serrure
418,Bild::N,сурат,image
419,Bild::N,сурат,tableau
420,Puppe::N,нани,poupée
421,Beutel::N,таргьа,sac
422,Beutel::N,таргьа,petit sac
423,Bündel::N,къай,paquet
424,Bündel::N,къай,faisceau
425,Tasche::N,сумка,sac
426,Tasche::N,къвачӏа,sac
427,Eimer::N,ведро,seau
428,Deckel::N,тӏалъел,couvercle
429,Deckel::N,дадитӏалъел,couvercle
430,Geschirr::N,цӏарагӏ,vaisselle
431,Sack::N,хъап,sac
432,Sack::N,къандалъо,sac
433,Tasse::N,чашка,tasse
434,Topf::N,хьаг,pot
435,Topf::N,хьаг,marmite
436,Kessel::N,хьаг,chaudron
437,Kessel::N,гереги,chaudron
438,Essen::N,тӏагӏам,repas
439,Essen::N,тӏагӏам,manger
440,Nahrung::N,квен,nourriture
441,Speise::N,квен,plat
442,Fleisch::N,гьан,viande
443,Getreide::N,бугӏа-ролъ,blé
444,Getreide::N,бугӏа-ролъ,céréales
445,Getreide::N,могьолабл_культураби,blé
446,Getreide::N,могьолабл_культураби,céréales
447,Brei::N,карщ,purée
448,Brei::N,карщ,bouillie
449,Brot::N,чед,pain
450,Scheibe::N,мочӏу,tranche
451,Fett::N,беэнлъи,graisse
452,Butter::N,нах,beurre
453,Öl::N,нах,huile
454,Salz::N,цӏам,sel
455,Suppe::N,чурпа,soupe
456,Suppe::N,чурпа,potage
457,Honig::N,гьоцӏо,miel
458,Milch::N,рахь,lait
459,Tee::N,чай,thé
460,Leder::N,тӏом,cuir
461,Wolle::N,квас,laine
462,Stoff::N,ххам,tissu
463,Stoff::N,ххам,étoffe
464,Nadel::N,рокӏкӏен,aiguille
465,Faden::N,кун,fil
466,Knopf::N,маргъал,bouton
467,Knoten::N,гарацӏ,nœud
468,Farbe::N,релъен,peinture
469,Kleidung::N,ретӏел,vêtements
470,Kleidung::N,ретӏел,habillement
471,Hemd::N,гурде,chemise
472,Kragen::N,габур,col
473,Ärmel::N,къвал,manche
474,Hose::N,тӏажу,pantalon
475,Gürtel::N,рачел,ceinture
476,Mütze::N,тӏагъур,bonnet
477,Mütze::N,тӏагъур,casquette
478,Stiefel::N,этек,botte
479,Stiefel::N,чакма,botte
480,Ring::N,баргъич,bague
481,Band::N,лента,ruban
482,Kamm::N,гьоркьо,peigne
483,Spiegel::N,матӏу,glace
484,Spiegel::N,матӏу,miroir
485,Riemen::N,рижу,lanière
486,Riemen::N,рижу,courroie
487,Decke::N,одея́ло,couverture
488,Kissen::N,къандалъо,oreiller
489,Tuch::N,квархьи,drap
490,Tuch::N,квархьи,fichu
491,Handtuch::N,беркӏалрацӏцӏ,serviette
492,Handtuch::N,беркӏалрацӏцӏ,essuie-mains
493,Kraft::N,гуч,force
494,Kraft::N,къуват,force
495,Stärke::N,хӏалкӏвей,vigueur
496,Gesundheit::N,сахлъи́,santé
497,Krankheit::N,унти,maladie
498,Krankheit::N,щокълъи,maladie
499,Schmerz::N,унти,douleur
500,Wunde::N,ругъун,plaie
501,Wunde::N,ругъун,blessure
502,Fieber::N,цӏа-кан,fièvre
503,Arznei::N,дару,remède
504,Arznei::N,дару,médecine
505,Brücke::N,кьо,pont
506,Brunnen::N,гъуй,puits
507,Weide::N,рицӏцӏ,pâturage
508,Weide::N,лъичӏирма,pâturage
509,Weide::N,гӏурдаллъи,pâturage
510,Weide::N,ри́цӏигъветӏ,pâturage
511,Weide::N,рицӏцӏигъветӏ,pâturage
512,Pfad::N,сухъмахъ,sentier
513,Weg::N,нух,voie
514,Weg::N,нух,chemin
515,Straße::N,нух,route
516,Dorf::N,росу,village
517,Stadt::N,шагьар,cité
518,Stadt::N,шагьар,ville
519,Brief::N,кагъат,lettre
520,Brief::N,рисалат,lettre
521,Buch::N,тӏехь,livre
522,Buchstabe::N,хӏарп,lettre
523,Buchstabe::N,хӏарп,caractère
524,Zeitung::N,газет,journal
525,Leben::N,яшав,vie
526,Tod::N,хвел,mort
527,Grab::N,хоб,tombe
528,Kirche::N,килиса,église
529,Sünde::N,хӏакъ,péché
530,Sünde::N,мунагь,péché
531,Gott::N,бичас,dieu
