,Concept_ID,he,ka
432,Fett::N,שמן,ცხიმი
433,Butter::N,חמאה,კარაქი
434,Öl::N,שמן,ზეთი
435,Salz::N,מלח,მარილი
436,Suppe::N,מרק,სუფი
437,Honig::N,דבש,თაფლი
438,Milch::N,חלב,რძე
439,Tee::N,תה,ჩაი
440,Leder::N,עור,ტყავი
441,Wolle::N,צמר,მატყლი
442,Stoff::N,בד,ქსოვილი
443,Stoff::N,אריג,ქსოვილი
444,Nadel::N,מחט,ნემსი
445,Faden::N,חוט,ძაფი
446,Faden::N,חוט,მკედი
447,Knopf::N,כפתור,ღილი
448,Knoten::N,קשר,ნასკვი
449,Farbe::N,צבע,საღებავი
450,Kleidung::N,בגדים,ტანსაცმელი
451,Hemd::N,חלצה,ხალათი
452,Hemd::N,חלצה,პერანგი
453,Kragen::N,צוארון,საყელო
454,Ärmel::N,שרוול,სახელო
455,Hose::N,מכנסים,შარვალი
456,Gürtel::N,חגורה,ქამარი
457,Mütze::N,כובע,ქუდი
458,Schuh::N,נעל,ფეხსაცმელი
459,Stiefel::N,מגף,ჩექმა
460,Ring::N,טבעת,ბეჭედი
461,Band::N,סרט,ბაფთი
462,Kamm::N,מסרק,სავარცხელი
463,Spiegel::N,מראה,სარკე
464,Riemen::N,רצועה,ღვედი
465,Schnur::N,חבל,ლარი
466,Leine::N,מושכות,ჯაჭვი
467,Decke::N,שמיכה,საბანი
468,Kissen::N,כרית,ბალიში
469,Tuch::N,צעיף,მაუდი
470,Tuch::N,צעיף,თავშალი
471,Handtuch::N,מגבת,ხელსახოცი
472,Kraft::N,כוח,ძალა
473,Stärke::N,און,ღონე
474,Gesundheit::N,בריאות,ჯანმრთელობა
475,Krankheit::N,מחלה,სენი
476,Krankheit::N,מחלה,ავადმყოფობა
477,Schmerz::N,כאב,ტკივილი
478,Wunde::N,פציעה,იარი
479,Wunde::N,פציעה,ჭრილობა
480,Fieber::N,חם,ციება
481,Arznei::N,תרופה,წამალი
482,Brücke::N,גשר,ხიდი
483,Brunnen::N,באר,ჭა
484,Weide::N,אחו,საძოვარი
485,Weide::N,מרעה,საძოვარი
486,Pfad::N,שביל,ბილიკი
487,Pfad::N,מדרכה,ბილიკი
488,Weg::N,דרך,გზა
489,Straße::N,כביש,შარაგზა
490,Dorf::N,כפר,დაბა
491,Dorf::N,כפר,სოფელი
492,Stadt::N,עיר,ქალაქი
493,Brief::N,מכתב,წერილი
494,Buch::N,ספר,წიგნი
495,Buchstabe::N,אות,ასო
496,Zeitung::N,עתון,გაზეთი
497,Leben::N,חיים,სიცოცხლე
498,Tod::N,מות,სიკვდილი
499,Grab::N,קבר,სამარე
500,Grab::N,קבר,საფლავი
501,Kirche::N,כנסיה,ეკლესია
502,Sünde::N,חטא,ცოდვა
503,Gott::N,אל,ღმერთი
504,Arbeiter::N,פועל,მუშა
505,Chef::N,ראש,გამგე
506,Chef::N,מנהל,გამგე
507,Meister::N,ממחה,ოსტატი
508,Arzt::N,רופא,ექიმი
509,Arzt::N,רופא,მკურნალი
510,Lehrer::N,מורה,მასწავლებელი
511,Geld::N,כסף,ფული
512,Geschäft::N,עסקה,საქმე
513,Geschäft::N,עסקה,ბიზნესი
514,Laden::N,חנות,დუქანი
515,Laden::N,חנות,მაღაზია
516,Preis::N,מחיר,ფასი
517,Ware::N,סחורה,საქონელი
518,Nutzen::N,תועלת,ხეირი
519,Reichtum::N,עשר,სიმდიდრე
520,Welt::N,עולם,მსოფლიო
521,Land::N,ארץ,მხარე
522,Land::N,ארץ,ქვეყანა
523,Staat::N,מדינה,სახელმწიფო
524,König::N,מלך,მეფე
525,Macht::N,כוח,ძლიერება
526,Grenze::N,גבול,ზღვარი
527,Krieg::N,מלחמה,ომი
528,Feind::N,אויב,მტერი
529,Gewalt::N,אלימות,სისასტიკე
530,Kampf::N,קרב,ბრძოლა
531,Kampf::N,לחימה,ბრძოლა
532,Bogen[Waffe]::N,קשת,მშვილდი
533,Pfeil::N,חץ,ისარი
534,Pfeil::N,חץ,მახვილი
535,Gewehr::N,רובה,თოფი
536,Gewehr::N,רובה,შაშხანა
537,Fehler::N,טעות,შეცდომა
538,Lüge::N,שקר,სიცრუე
539,Schaden::N,נזק,ვნება
540,Unglück::N,מזל רע,ხიფათი
541,Unglück::N,מזל רע,უბედურება
542,Schuld::N,אשמה,ბრალი
543,Alter::N,גיל,ასაკი
544,Schluss::N,סיום,ბოლო
545,Schluss::N,סיום,დასასრული
546,Zeit::N,זמן,დრო
547,Tag::N,יום,დღე
548,Morgen::N,בקר,დილა
549,Mittag::N,צהרים,შუადღე
550,Abend::N,ערב,საღამო
551,Nacht::N,לילה,ღამე
552,Woche::N,שבוע,კვირა
553,Monat::N,חדש,თვე
554,Jahr::N,שנה,წელი
555,Frühling::N,אביב,გაზაფხული
556,Sommer::N,קיץ,ზაფხული
557,Herbst::N,סתו,შემოდგომა
558,Winter::N,חרף,ზამთარი
559,Januar::N,ינואר,იანვარი
560,Februar::N,פברואר,თებერვალი
561,März::N,מרץ,მარტი
562,April::N,אפריל,აპრილი
563,Mai::N,מאי,მაისი
564,Juni::N,יוני,ივნისი
565,Juli::N,יולי,ივლისი
566,August::N,אוגוסט,აგვისტო
567,September::N,ספטמבר,სექტემბერი
568,Oktober::N,אוקטובר,ოქტომბერი
569,November::N,נובמבר,ნოემბერი
570,Dezember::N,דצמבר,დეკემბერი
571,Montag::N,יום שני,ორშაბათი
572,Dienstag::N,יום שלישי,სამშაბათი
573,Mittwoch::N,יום רביעי,ოთხშაბათი
574,Donnerstag::N,יום חמישי,ხუთშაბათი
575,Freitag::N,יום ששי,პარასკევი
576,Samstag::N,יום שבת,შაბათი
577,Sonntag::N,יום ראשון,კვირა
578,groß::A,גדול,დიდი
579,klein::A,קטן,მცირე
580,klein::A,קטן,პატარა
581,lang::A,ארך,გრძელი
582,kurz::A,קצר,მოკლე
583,breit::A,רחב,ფართო
584,breit::A,רחב,განიერი
585,schmal::A,צר,ვიწრო
586,schmal::A,צר,წვრილი
587,dicht::A,צפוף,მჭიდრო
588,dick[Gegenstand]::A,עבה,სქელი
589,dünn::A,דק,წვრილი
590,fein::A,מעדן,თხელი
591,fest::A,מוצק,მყარი
592,flach::A,שטוח,ბრტყელი
593,glatt::A,חלק,გლუ
594,hart::A,קשיח,მაგარი
595,weich::A,רך,რბილი
596,rund::A,עגל,მრგვალი
597,spitz::A,חד,წვეტიანი
598,scharf::A,חד,მჭრელი
599,stumpf::A,קהה,ბლაგვი
600,schwer::A,כבד,მძიმე
601,schön::A,יפה,ლამაზი
602,heiß::A,חם,ცხელი
603,warm::A,חם,თბილი
604,kalt::A,קר,ცივი
605,kühl::A,צונן,გრილი
606,frisch::A,טרי,სუფთა
607,feucht::A,לח,ნოტიო
608,nass::A,רטוב,სველი
609,trocken::A,יבש,მშრალი
610,voll::A,מלא,სავსე
611,leer::A,ריק,ცარიელი
612,offen::A,פתוח,ღია
613,offen::A,פתוח,გაშლილი
614,geschlossen::A,סגור,დახურული
615,sauber::A,נקי,სუფთა
616,sauber::A,נקי,წმინდა
617,schmutzig::A,מלכלך,ტალახიანი
618,roh::A,חי,უმი
619,reif::A,בשל,მწიფე
620,lecker::A,טעים,გემრიელი
621,süß::A,מתוק,ტკბილი
622,bitter::A,מר,მწარე
623,sauer::A,חמוץ,მჟავე
624,hell::A,בהיר,ნათელი
625,dunkel::A,עמום,ბნელი
626,schwarz::A,שחר,შავი
627,weiß::A,לבן,თეთრი
628,rot::A,אדם,წითელი
629,gelb::A,צהב,ყვითელი
630,blau::A,כחל,ლურჯი
631,blau::A,כחל,ცისფერი
632,grün::A,ירק,მწვანე
633,grau::A,אפר,რუხი
634,grau::A,אפר,ნაცრისფერი
635,bunt::A,צבעוני,ჭრელი
636,bunt::A,צבעוני,ფერადი
637,billig::A,זול,იაფი
638,teuer::A,יקר,ძვირი
639,wertvoll::A,יקר ערך,ღირსიანი
640,blind::A,עור,ბრმა
641,taub::A,חרש,ყრუ
642,kräftig::A,חסן,ძალავანი
643,stark::A,חזק,ძლიერი
644,stark::A,חזק,ღონიერი
645,schwach::A,חלש,სუსტი
646,fett::A,שמן,სქელი
647,schlank::A,רזה,გამხდარი
648,hübsch::A,יפה תאר,ეშხიანი
649,hübsch::A,יפה תאר,მშვენიერი
650,böse::A,רשע,ავი
651,böse::A,רשע,ბოროტი
652,dumm::A,טפש,ბოთე
653,dumm::A,טפש,სულელი
654,faul::A,עצלן,ზანტი
655,faul::A,עצלן,ზარმაცი
656,fleißig::A,חרוץ,ბეჯითი
657,fleißig::A,חרוץ,მუყაითი
658,geizig::A,קמצן,ძუნწი
659,klug::A,נבון,ჭკვიანი
660,klug::A,פקח,ჭკვიანი
661,geschickt::A,מימן,მარჯვე
662,geschickt::A,מימן,გაწაფული
663,lieb::A,יקר,სატრფიალო
664,lieb::A,אהוב,სატრფიალო
665,lustig::A,עליז,მხიარული
666,sanft::A,עדין,ალერსიანი
667,sanft::A,עדין,გრძნობიერი
668,hungrig::A,רעב,მშიერი
669,krank::A,חולה,სნეული
670,krank::A,חולה,ავადმყოფი
671,nackt::A,ערום,ტიტველი
672,traurig::A,עצוב,მწუხარე
673,traurig::A,עצוב,სევდიანი
674,lebendig::A,חי,ცოცხალი
675,gut::A,טוב,კარგი
676,schlecht::A,גרוע,უხეირო
677,richtig::A,נכון,ნამდვილი
678,schlimm::A,רע,ცუდი
679,wahr::A,אמתי,სწორი
680,wahr::A,אמתי,ჭეშმარიტი
681,alt::A,ישן,ძველი
682,neu::A,חדש,ახალი
683,ehemalig::A,לשעבר,ყოფილი
684,alt[Lebewesen]::A,זקן,ბებერი
685,jung::A,צעיר,ნორჩი
686,jung::A,צעיר,ახალგაზრდა
687,arm::A,עני,ღარიბი
688,reich::A,עשיר,მდიდარი
689,bekannt::A,ידוע,ცნობილი
690,berühmt::A,מפרסם,გამოჩენილი
691,fremd::A,זר,უცხო
692,fremd::A,זר,გარეშე
693,verschieden::A,שונה,სხვაგვარი
694,nah::A,קרוב,ახლო
695,fern::A,רחוק,შორი
696,fern::A,רחוק,შორეული
697,linker::A,שמאלי,მარცხენა
698,rechter::A,ימין,მარჯვენა
699,anderer::A,אחר,სხვა
700,erster::A,ראשון,პირველი
701,zweiter::A,שני,მეორე
702,dritter::A,שלישי,მესამე
703,letzter::A,אחרון,ბოლო
704,letzter::A,אחרון,უკანასკნელი
705,allein::ADV,לבד,მარტო
706,auf einmal::ADV,בו-זמנית,ერთდროულად
707,zusammen::ADV,ביחד,ერთად
708,lange::ADV,הרבה זמן,დიდხანს
709,plötzlich::ADV,לפתע,მოულოდნელად
710,plötzlich::ADV,פתאום,მოულოდნელად
711,sofort::ADV,מיד,ახლავე
712,später::ADV,לאחר זמן,მოგვიანებით
713,später::ADV,יותר מאחר,მოგვიანებით
714,jetzt::ADV,עכשיו,ახლა
715,heute::ADV,היום,დღეს
716,morgen::ADV,מחר,ხვალ
717,bald::ADV,בקרוב,მალე
718,dann::ADV,אחר-כך,მერე
719,gestern::ADV,אתמול,გუშინ
720,einst::ADV,לפנים,ოდესღაც
721,damals::ADV,אז,მაშინ
722,danach::ADV,אחר-כך,მერმე
