,Concept_ID,da,et
491,Welt::N,verden,maailm
492,Land::N,land,maa
493,Staat::N,stat,riik
494,König::N,konge,kuningas
495,Macht::N,magt,võim
496,Grenze::N,grænse,piir
497,Krieg::N,krig,sõda
498,Feind::N,fjende,vaenlane
499,Gewalt::N,vold,väevõim
500,Kampf::N,kamp,võitlus
501,Bogen[Waffe]::N,bue,vibu
502,Pfeil::N,pil,nool
503,Gewehr::N,gevær,püss
504,Fehler::N,fejl,viga
505,Lüge::N,løgn,vale
506,Schaden::N,skade,kahju
507,Unglück::N,uheld,häda
508,Unglück::N,uheld,õnnetus
509,Unglück::N,ulykke,häda
510,Unglück::N,ulykke,õnnetus
511,Schuld::N,skyld,süü
512,Alter::N,alder,iga
513,Schluss::N,slut,lõpp
514,Schluss::N,slutning,lõpp
515,Zeit::N,tid,aeg
516,Tag::N,dag,päev
517,Morgen::N,morgen,hommik
518,Mittag::N,middag,lõuna
519,Mittag::N,middag,keskpäev
520,Abend::N,aften,õhtu
521,Nacht::N,nat,öö
522,Woche::N,uge,nädal
523,Monat::N,måned,kuu
524,Jahr::N,år,aasta
525,Frühling::N,forår,kevad
526,Sommer::N,sommer,suvi
527,Herbst::N,efterår,sügis
528,Winter::N,vinter,talv
529,Januar::N,januar,jaanuar
530,Februar::N,februar,veebruar
531,März::N,marts,märts
532,April::N,april,aprill
533,Mai::N,maj,mai
534,Juni::N,juni,juuni
535,Juli::N,juli,juuli
536,August::N,august,august
537,September::N,september,september
538,Oktober::N,oktober,oktoober
539,November::N,november,november
540,Dezember::N,december,detsember
541,Montag::N,mandag,esmaspäev
542,Dienstag::N,tirsdag,teisipäev
543,Mittwoch::N,onsdag,kesknädal
544,Donnerstag::N,torsdag,neljapäev
545,Freitag::N,fredag,reede
546,Samstag::N,lørdag,laupäev
547,Sonntag::N,søndag,pühapäev
548,groß::A,stor,suur
549,klein::A,lille,väike
550,klein::A,lille,pisike
551,lang::A,lang,pikk
552,kurz::A,kort,lühike
553,breit::A,bred,lai
554,schmal::A,smal,kitsas
555,dicht::A,tæt,tihe
556,dick[Gegenstand]::A,tyk,jäme
557,dünn::A,tynd,õhuke
558,dünn::A,tynd,peenike
559,fein::A,fin,peen
560,fein::A,fin,õhuke
561,fest::A,fast,püsiv
562,fest::A,fast,kindel
563,flach::A,flad,lame
564,flach::A,flad,tasane
565,glatt::A,glat,sile
566,hart::A,hård,kõva
567,weich::A,blød,pehme
568,rund::A,rund,ümar
569,spitz::A,spids,torkav
570,scharf::A,skarp,terav
571,stumpf::A,sløv,nüri
572,stumpf::A,stump,nüri
573,schwer::A,tung,raske
574,schön::A,skøn,kena
575,heiß::A,hed,kuum
576,heiß::A,hed,palav
577,warm::A,varm,soe
578,kalt::A,kold,külm
579,kühl::A,kølig,jahe
580,frisch::A,frisk,värske
581,feucht::A,fugtig,niiske
582,nass::A,våd,märg
583,trocken::A,tør,kuiv
584,voll::A,fuld,täis
585,leer::A,tom,tühi
586,offen::A,åben,avatud
587,offen::A,åben,lahtine
588,geschlossen::A,lukket,suletud
589,sauber::A,ren,puhas
590,schmutzig::A,snavset,räpane
591,schmutzig::A,snavset,määrdunud
592,roh::A,rå,toores
593,reif::A,moden,küps
594,lecker::A,lækker,hõrk
595,lecker::A,lækker,maitsev
596,süß::A,sød,magus
597,bitter::A,bitter,mõru
598,sauer::A,sur,hapu
599,hell::A,lys,hele
600,dunkel::A,mørk,pime
601,schwarz::A,sort,must
602,weiß::A,hvid,valge
603,rot::A,rød,punane
604,gelb::A,gul,kollane
605,blau::A,blå,sinine
606,grün::A,grøn,roheline
607,grau::A,grå,hall
608,bunt::A,broget,kirju
609,bunt::A,broget,värviline
610,billig::A,billig,odav
611,teuer::A,dyr,kallis
612,wertvoll::A,værdifuld,väärtuslik
613,blind::A,blind,pime
614,taub::A,døv,kurt
615,kräftig::A,kraftig,jõuline
616,stark::A,stærk,tugev
617,schwach::A,svag,nõrk
618,schwach::A,svag,jõuetu
619,fett::A,fed,rasvane
620,schlank::A,slank,sale
621,hübsch::A,køn,kena
622,böse::A,ond,tige
623,böse::A,slem,tige
624,dumm::A,dum,juhm
625,dumm::A,dum,rumal
626,faul::A,doven,laisk
627,fleißig::A,flittig,virk
628,fleißig::A,flittig,hoolas
629,geizig::A,gerrig,ihne
630,klug::A,klog,tark
631,klug::A,klog,arukas
632,klug::A,klog,mõistlik
633,geschickt::A,dygtig,osav
634,geschickt::A,behændig,osav
635,lieb::A,rar,armas
636,lustig::A,lystig,lõbus
637,sanft::A,blid,õrn
638,hungrig::A,sulten,näljane
639,krank::A,syg,haige
640,nackt::A,nøgen,alasti
641,traurig::A,bedrøvet,kurb
642,lebendig::A,levende,elus
643,gut::A,god,hea
644,schlecht::A,dårlig,halb
645,richtig::A,rigtig,õige
646,schlimm::A,slem,paha
647,wahr::A,sand,tõene
648,alt::A,gammel,vana
649,neu::A,ny,uus
650,ehemalig::A,forhenværende,endine
651,alt[Lebewesen]::A,gammel,vana
652,jung::A,ung,noor
653,arm::A,fattig,vaene
654,reich::A,rig,rikas
655,bekannt::A,kendt,teada
656,bekannt::A,kendt,tuttav
657,berühmt::A,berømt,tuntud
658,fremd::A,fremmed,võõras
659,verschieden::A,forskellig,erinev
660,nah::A,nær,lähedane
661,fern::A,fjern,kauge
662,linker::A,venstre,vasak
663,rechter::A,højre,parem
664,anderer::A,anden,muu
665,anderer::A,anden,teine
666,erster::A,første,esimene
667,zweiter::A,anden,teine
668,dritter::A,tredje,kolmas
669,letzter::A,sidste,viimane
670,allein::ADV,alene,üksi
671,auf einmal::ADV,på én gang,korraga
672,auf einmal::ADV,på én gang,ühekorraga
673,zusammen::ADV,sammen,koos
674,zusammen::ADV,sammen,üheskoos
675,lange::ADV,længe,kaua
676,plötzlich::ADV,pludselig,äkki
677,plötzlich::ADV,pludselig,järsku
678,sofort::ADV,straks,kohe
679,später::ADV,senere,hiljem
680,jetzt::ADV,nu,nüüd
681,heute::ADV,i dag,täna
682,morgen::ADV,i morgen,homme
683,bald::ADV,snart,pea
684,bald::ADV,snart,varsti
685,dann::ADV,så,siis
686,gestern::ADV,i går,eile
687,einst::ADV,engang,vanasti
688,damals::ADV,dengang,tookord
