,Concept_ID,tt,zh
799,funkeln::V,ялтырау,闪烁
800,lärmen::V,шаулау,吵闹
801,läuten::V,шалтырату,响
802,klingeln::V,шалтырату,按铃
803,klirren::V,чылтырау,
804,brausen::V,давыллау,疾驶
805,brausen::V,дулау,疾驶
806,rauschen::V,кыштырдау,
807,klingen::V,ишетелү,听起来
808,bellen::V,өрү,吠
809,heulen::V,улау,嗥
810,blasen::V,өрү,吹
811,pfeifen::V,сызгырту,吹口哨
812,schreien::V,кычкыру,叫喊
813,stöhnen::V,ыңгырашу,呻吟
814,zittern::V,калтырау,颤抖
815,zittern::V,калтырану,颤抖
816,leben::V,яшәү,生存
817,leben::V,гомер итү,生存
818,geboren werden::V,туу,出生
819,atmen::V,сулау,呼吸
820,trinken::V,эчү,喝
821,essen::V,ашау,吃
822,schlucken::V,йоту,咽
823,müde werden::V,ялыгу,疲倦
824,müde werden::V,йөгенү,疲倦
825,einschlafen::V,йокыга китү,入睡
826,schlafen::V,йоклау,睡觉
827,aufwachen::V,уяну,睡醒
828,aufstehen::V,тору,起床
829,sich erholen::V,ял алу,休养
830,sich erholen::V,истирахәт итү,休养
831,krank werden::V,чирләү,生病
832,krank sein::V,чирләү,生病
833,schmerzen::V,авырту,疼痛
834,husten::V,ютәлләү,咳
835,genesen::V,савыгу,痊愈
836,genesen::V,сәламәтләнү,痊愈
837,sterben::V,үлү,死
838,sterben::V,дөнья кую,死
839,sterben::V,вафат булу,死
840,umkommen::V,үлү,丧命
