,Concept_ID,ml,kn
149,Hase::N,മുയൽ,ಮೊಲ
150,Maus::N,ചുണ്ടലി,ಇಲಿ
151,Wolf::N,ചെന്നായ,ತೋಳ
152,Vogel::N,പക്ഷി,ಪಕ್ಷಿ
153,Schwarm::N,കൂട്ടം,ಗುಂಪು
154,Huhn::N,കോഴി,ಚಿಕ್
155,Hahn::N,പൂവൻകോഴി,ಹುಂಜ
156,Gans::N,അരയന്നം,ವರಟೆ
157,Adler::N,കഴുകൻ,ಗರುಡ
158,Ente::N,താറാവ്,ಬಾತು
159,Eule::N,മൂങ്ങ,ಗೂಬೆ
160,Kranich::N,കൊക്ക്,ಕೊಕ್ಕರ
161,Krähe::N,കാക്ക,ಕಾಗೆ
162,Kuckuck::N,കുയിൽ,ಕೋಗಿಲೆ
163,Schwan::N,അരയന്നം,ಹಂಸಪಕ್ಷಿ
164,Fisch::N,മത്സ്യം,ಮೀನು
165,Barsch::N,ഒരിനം മത്സ്യം,ಪರ್ಚ್ ಮೀನು
166,Hecht::N,ഒരു മത്സ്യം,ಪೈಕ್ ಮೀನು
167,Schlange[Tier]::N,പാമ്പ്,ಹಾವು
168,Wurm::N,വിര,ಹುಳು
169,Spinne::N,ചിലന്തി,ಊರ್ಣನಾಭ
170,Ameise::N,ഉറുമ്പ്,ಇರುವೆ
171,Laus::N,പേന്,ಹೇನು
172,Mücke::N,മശകം,ಸೊಳ್ಳೆ
173,Fliege::N,ഈച്ച,ನೊಣ
174,Schmetterling::N,ചിത്രശലഭം,ಪತಂಗ
175,Beere::N,ബെറി,ನಯವಣ್ಣು
176,Apfel::N,ആപ്പിൾ,ಸೇಬು
177,Pilz::N,കൂൺ,ಅಣಬೆ
178,Zwiebel::N,സവാള,ನೀರುಳ್ಳಿ
179,Saat::N,വിത്ത്,ಬಿತ್ತ
180,Korn::N,ധാന്യം,ಬೀಜ
181,Heu::N,വയ്ക്കോൽ,ಕರಡ
182,Schale::N,തൊലി,ಹೊಟ್ಟು
183,Grube::N,കുഴി,ಗುಂಡಿ
184,Falle::N,കെണി,ಬೋನು
185,Schlinge::N,കുടുക്ക്,ಉರುಲು
186,Spur::N,ചുവട്,ಜಾಡು
187,Asche::N,ചാരം,ಬೂದಿ
188,Dreck::N,അഴുക്ക്,ಹೊಲಸು
189,Eisen::N,ഇരുമ്പ്,ಕಬ್ಬಿಣ
190,Gold::N,സ്വർണ്ണം,ಚಿನ್ನ
191,Silber::N,വെള്ളി,ಬೆಳ್ಳಿ
192,Kohle::N,കൽക്കരി,ಕಲ್ಲಿದ್ದಲು
193,Glas::N,ഗ്ലാസ്,ಗಾಜು
194,Lehm::N,കളിമണ്ണ്,ಜೇಡಿಮಣ್ಣು
195,Sand::N,മണൽ,ಮರಳು
196,Mensch::N,മനുഷ്യർ,ಪುರುಷ
197,Mann::N,പുരുഷൻ,ಆಳು
198,Frau::N,സ്ത്രീ,ಹೆಣ್ಣು
199,Kind::N,കുഞ്ഞ്,ಮಗು
200,Junge::N,ആൺകുട്ടി,ಹುಡುಗ
201,Mädchen::N,പെൺകുട്ടി,ಹುಡುಗಿ
202,Familie::N,കുടുംബം,ಕುಟುಂಬ
203,Großvater::N,അപ്പൂപ്പൻ,ಅಜ್ಜ
204,Großmutter::N,അമ്മുമ്മ,ಅಮ್ಮ
