,Concept_ID,eu,ab
1356,belästigen::V,gohaindu,аргəамҵра
1357,belästigen::V,alamena eman,аргəамҵра
1358,verbergen::V,ezkutatu,аӡара
1359,täuschen::V,tronpatu,ажьара
1360,täuschen::V,engainatu,ажьара
1361,betrügen::V,iruzurtu,ажьара
1362,töten::V,hil,ашьра
1363,töten::V,heriotza eman,ашьра
1364,wohnen::V,bizi izan,анхара
1365,arbeiten::V,lan egin,аусура
1366,arbeiten::V,behar egin,аусура
1367,sammeln::V,bildu,аҟəшəара
1368,sammeln::V,bildumatu,аҟəшəара
1369,pflücken::V,batu,аҿыршəара
1370,pflücken::V,batu,аҿыхра
1371,pflücken::V,bildu,аҿыршəара
1372,pflücken::V,bildu,аҿыхра
1373,jagen::V,ehizatu,ашəарыцара
1374,fischen::V,arrantzatu,аҧсыӡ икуеит
1375,fischen::V,arrantza egin,аҧсыӡ икуеит
1376,fassen::V,harrapatu,акра
1377,hüten::V,begiratu,арҳəра
1378,hüten::V,begiratu,ахьчара
1379,treiben::V,bultza egin,акацара
1380,anbinden::V,estekatu,адҳəалара
1381,füttern::V,bazkatu,акырҿаҵара
1382,melken::V,jetzi,ахьара
1383,hacken::V,xehatu,аҟəаҟəара
1384,gießen::V,isuri,аҵаҭəара
1385,reifen::V,heldu,ашəра
1386,reifen::V,heldu,аҟалара
1387,reifen::V,zoritu,ашəра
1388,reifen::V,zoritu,аҟалара
1389,zubereiten::V,prestatu,ацура
1390,kochen::V,egosi,ажəра
1391,backen::V,labean egin,аӡра
1392,braten::V,erregosi,аӡра
1393,umrühren::V,eragin,аилрыхра
1394,stricken::V,trikotatu,аҧара
1395,stricken::V,puntu egin,аҧара
1396,nähen::V,josi,аӡахра
1397,färben::V,tindatu,ашəра
1398,reinigen::V,ikuzi,арыцқьара
1399,reinigen::V,garbitu,арыцқьара
1400,waschen::V,xahutu,аӡәӡәара
1401,waschen::V,garbitu,аӡәӡәара
1402,abwischen::V,xukatu,арбара
1403,spülen::V,irakutzi,аҭыршара
1404,fegen::V,erraztatu,аҧссара
1405,kehren::V,isastu,
1406,baden::V,bainatu,аҽыкəабара
1407,baden::V,bainua hartu,аҽыкəабара
1408,sich waschen::V,burua garbitu,аҽыӡəӡəара
1409,ausziehen::V,erantzi,ашəыхра
1410,anziehen::V,jantzi,ашəҵара
1411,sich anziehen::V,jantzi,аҽеилаҳəара
1412,kämmen::V,orraztu,аҳəара
1413,schmücken::V,apaindu,арҧшӡара
1414,sagen::V,esan,аҳəара
1415,sprechen::V,mintzatu,ацəажəара
1416,sprechen::V,hitz egin,ацəажəара
1417,reden::V,hitz egin,ацəажəара
1418,reden::V,hitz egin,аицәажәара
1419,sich unterhalten::V,solastu,аицәажәара
1420,sich unterhalten::V,solas egin,аицәажәара
1421,fragen::V,galdetu,азҵаара
1422,bitten::V,eskatu,аҳəара
1423,bitten::V,galdegin,аҳəара
1424,erzählen::V,edestu,аҳəара
1425,erzählen::V,kontatu,аҳəара
1426,mitteilen::V,jakinarazi,азыцҳара
1427,nennen::V,izena eman,ахьӡҵара
1428,rufen::V,dei egin,азҿыҭра
1429,prahlen::V,harrokerian ibili,аҽхəара
1430,prahlen::V,ahoberokeriak esan,аҽхəара
1431,übersetzen::V,itzuli,аиҭагара
1432,denken::V,pentsatu,азхəыцра
1433,denken::V,gogoeta egin,азхəыцра
1434,glauben::V,sinetsi,ахаҵара
1435,bemerken::V,ohartu,агəаҭара
1436,bemerken::V,konturatu,агəаҭара
1437,erkennen::V,ezagutu,адырра
1438,erkennen::V,antzeman,адырра
1439,begreifen::V,ulertu,аилкаара
1440,verstehen::V,aditu,аҳара
1441,lernen::V,ikasi,аҵара
1442,wissen::V,jakin,адырра
1443,sich erinnern an::V,gogoratu,агəаларшəара
1444,sich erinnern an::V,gogoan izan,агəаларшəара
1445,vergessen::V,ahaztu,ахашҭра
1446,vergessen::V,ahantzi,ахашҭра
1447,messen::V,neurtu,ашəара
1448,zählen::V,zenbatu,аҧхьаӡара
1449,zählen::V,kopuratu,аҧхьаӡара
1450,rechnen::V,kalkulatu,аҳасабра
1451,lesen::V,irakurri,аҧхьара
1452,malen::V,margotu,
1453,zeichnen::V,marraztu,
1454,schreiben::V,idatzi,
1455,besitzen::V,ukan,амазаара
1456,besitzen::V,eduki,амазаара
1457,kaufen::V,erosi,Аахəара
1458,verkaufen::V,saldu,аҭира
1459,bezahlen::V,ordaindu,ахҭынҵара
1460,bezahlen::V,ordaindu,ашəара
1461,zahlen::V,ordaindu,ашəара
1462,beherrschen::V,menpean izan,
1463,ertragen::V,jasan,ачҳара
1464,ertragen::V,pairatu,ачҳара
